description,artist,album,format,extra
Arkhaaik - *dʰg̑ʰm̥tós - Vinyl,Arkhaaik,*dʰg̑ʰm̥tós,Vinyl,
Impaled Nazarene - Nihil - Vinyl,Impaled Nazarene,Nihil,Vinyl,
Mons Veneris / Seance Of - Split - Vinyl,Mons Veneris / Seance Of,Split,Vinyl,
Jours Pâles - Éclosion - Vinyl,Jours Pâles,Éclosion,Vinyl,
Pa Vesh En - Catacombs - Vinyl,Pa Vesh En,Catacombs,Vinyl,
Kalmankantaja - Korpi - Vinyl,Kalmankantaja,Korpi,Vinyl,
Wolftower - Throne of Nightfall's Wrath - Vinyl,Wolftower,Throne of Nightfall's Wrath,Vinyl,
Hegemon - Sidereus Nuncius - Vinyl,Hegemon,Sidereus Nuncius,Vinyl,
Lore - Altars Of The Precipice Possession - Vinyl,Lore,Altars Of The Precipice Possession,Vinyl,
Diabolical Fullmoon - The Pagan Wolves Will Rise Again - Vinyl,Diabolical Fullmoon,The Pagan Wolves Will Rise Again,Vinyl,
Obskuritatem / Nidernes - Somber Winter Evocations - Vinyl,Obskuritatem / Nidernes,Somber Winter Evocations,Vinyl,
Baxaxaxa - Catacomb Cult - Vinyl,Baxaxaxa,Catacomb Cult,Vinyl,
Gorgon - Traditio Satanae - Vinyl,Gorgon,Traditio Satanae,Vinyl,
Mahr - Antelux - Vinyl,Mahr,Antelux,Vinyl,
I Myrkri - Black Fortress of Solitude - Vinyl,I Myrkri,Black Fortress of Solitude,Vinyl,
Black Cilice - Banished From Time - Vinyl,Black Cilice,Banished From Time,Vinyl,
"Mütiilation - Remains of a Ruined, Dead, Cursed Soul - Vinyl",Mütiilation,"Remains of a Ruined, Dead, Cursed Soul",Vinyl,
Wampyric Rites / Funeral Fullmoon - Spectral Shadows of the Forgotten Castle - Vinyl,Wampyric Rites / Funeral Fullmoon,Spectral Shadows of the Forgotten Castle,Vinyl,
Windir - Sóknardalr - Vinyl,Windir,Sóknardalr,Vinyl,
Sordide - Les Idées Blanches - Vinyl,Sordide,Les Idées Blanches,Vinyl,
Caladan Brood - Echoes Of Battle - Vinyl,Caladan Brood,Echoes Of Battle,Vinyl,
Crépuscule d'Hiver - Par-delà Noireglaces et Brumes-Sinistres - Vinyl,Crépuscule d'Hiver,Par-delà Noireglaces et Brumes-Sinistres,Vinyl,
Emperor - Emperor (EP) - Vinyl,Emperor,Emperor (EP),Vinyl,
Vleddermos - Worshippers of the Unhuly Gather Under the Fullmoon - Vinyl,Vleddermos,Worshippers of the Unhuly Gather Under the Fullmoon,Vinyl,
Meyhnach - Non Omnis Moriar - Vinyl,Meyhnach,Non Omnis Moriar,Vinyl,
Darkenhöld - Echoes From The Stone Keeper - Vinyl,Darkenhöld,Echoes From The Stone Keeper,Vinyl,
Pestis Cultus - S/T - Vinyl,Pestis Cultus,S/T,Vinyl,
Absu - The Third Storm Of Cythrául - Vinyl,Absu,The Third Storm Of Cythrául,Vinyl,
Pyreficativm - Oneiron - Vinyl,Pyreficativm,Oneiron,Vinyl,
Enslaved - Frost - Vinyl,Enslaved,Frost,Vinyl,
Panopticon - The Scars Of Man On The Once Nameless Wilderness Pt. II - Vinyl,Panopticon,The Scars Of Man On The Once Nameless Wilderness Pt. II,Vinyl,
Funeral Winds - Essence - Vinyl,Funeral Winds,Essence,Vinyl,
Oppressive Descent - Sulfuric Wrath - Vinyl,Oppressive Descent,Sulfuric Wrath,Vinyl,
Endalok - Ür Draumend Viðurstyggðar - Vinyl,Endalok,Ür Draumend Viðurstyggðar,Vinyl,
Enslaved - Mardraum - Beyond the Within - Vinyl,Enslaved,Mardraum - Beyond the Within,Vinyl,
Korgonthurus - Korgonthurus / Ristillä Mädäntyen - Vinyl,Korgonthurus,Korgonthurus / Ristillä Mädäntyen,Vinyl,
Mantiel / Wampyric Rites - Ensomhet (Shattered Memories From A Distant Past) - Vinyl,Mantiel / Wampyric Rites,Ensomhet (Shattered Memories From A Distant Past),Vinyl,
Immortal - At The Heart Of Winter - Vinyl,Immortal,At The Heart Of Winter,Vinyl,
Dodenbezweerder - Vrees de toorn van de wezens verscholen achter majestueuze vleugels - Vinyl,Dodenbezweerder,Vrees de toorn van de wezens verscholen achter majestueuze vleugels,Vinyl,
Nächtlich - Satanas Solum Initium Est - Vinyl,Nächtlich,Satanas Solum Initium Est,Vinyl,
Deluge - Æther - Vinyl,Deluge,Æther,Vinyl,
Wampyric Rites - Demo II - Vinyl,Wampyric Rites,Demo II,Vinyl,
Wampyric Rites - Demo IV - Vinyl,Wampyric Rites,Demo IV,Vinyl,
Funeral Fullmoon - Unholy Kingdom of Diabolic Emperors - Vinyl,Funeral Fullmoon,Unholy Kingdom of Diabolic Emperors,Vinyl,
Funeral Fullmoon - Poetry of the Death Poison - Vinyl,Funeral Fullmoon,Poetry of the Death Poison,Vinyl,
Vetëvrakh - Satanic Black Moloch - Vinyl,Vetëvrakh,Satanic Black Moloch,Vinyl,
"Deliverance - Doomsday, Please. - Vinyl",Deliverance,"Doomsday, Please.",Vinyl,
Miasmes - Vermines - Vinyl,Miasmes,Vermines,Vinyl,
Pa Vesh En - Knife Ritual / Dead Womb - Vinyl,Pa Vesh En,Knife Ritual / Dead Womb,Vinyl,
Sorcier Des Glaces - Snowland MMXII - Vinyl,Sorcier Des Glaces,Snowland MMXII,Vinyl,
