description,artist,album,format,extra
"Slutet ""Bortom Vansinnets Grepp"" CD | Cassette",Slutet,Bortom Vansinnets Grepp,Cassette,
"Meslamtaea ""New Era"" MC | Cassette",Meslamtaea,New Era,Cassette,
"Nözaakr ""Sanguinem Nebula"" Demo | Cassette",Nözaakr,Sanguinem Nebula,Cassette,
"Thangorodrim ""Towers of the Teeth"" MC | Cassette",Thangorodrim,Towers of the Teeth,Cassette,
"Warahraan ""Stellar Shine"" Demo | Cassette",Warahraan,Stellar Shine,Cassette,
"Forest Mysticism ""Blood Of The Woodland"" Demo | Cassette",Forest Mysticism,Blood Of The Woodland,Cassette,
"Hersker ""Befængt"" MC | Cassette",Hersker,Befængt,Cassette,
"Blood Tyrant ""Codex Cruor"" MC | Cassette",Blood Tyrant,Codex Cruor,Cassette,
"Angel Witch ""Angel Witch / Gorgon"" MC | Cassette",Angel Witch,Angel Witch / Gorgon,Cassette,
"Acid Drinkers ""The State Of Mind Report"" MC | Cassette",Acid Drinkers,The State Of Mind Report,Cassette,
"Erscheinung ""Spokerij I"" MC | Cassette",Erscheinung,Spokerij I,Cassette,
"Gosforth ""Scourge of Dark Dominion"" MC | Cassette",Gosforth,Scourge of Dark Dominion,Cassette,
"Castle Zagyx ""Doors to the Battlefields of Ertbe"" MC | Cassette",Castle Zagyx,Doors to the Battlefields of Ertbe,Cassette,
Ignis Serpentis “Ad Chao : I” MC | Cassette,Ignis Serpentis,Ad Chao : I,Cassette,
"Massacred ""The Devil's Awakening"" MC | Cassette",Massacred,The Devil's Awakening,Cassette,
"Fjeldtaagen ""Promo 2020"" Demo (Lim to 100) | Cassette",Fjeldtaagen,Promo 2020,Cassette,
"Dead Night Boostin ""Nitesharade"" Demo | Cassette",Dead Night Boostin,Nitesharade,Cassette,
"Kaliya / Vaginal Bear Trap ""Ripped Off"" Split MC | Cassette",Kaliya / Vaginal Bear Trap,Ripped Off,Cassette,
"Pok Gai ""Pok Gai"" Demo | Cassette",Pok Gai,Pok Gai,Cassette,
"Wrang ""De Vaendrig"" MC | Cassette",Wrang,De Vaendrig,Cassette,
"Cimmerian Possession ""Sadistic Storm"" MC | Cassette",Cimmerian Possession,Sadistic Storm,Cassette,
Gig Ticket: Blasphemy / Death Worship etc. 12/7/24 Mexico City | Cassette,?,?,Cassette,
"Prediction ""The Unholy Flame"" MC | Cassette",Prediction,The Unholy Flame,Cassette,
"Cemetery Lights ""Consumption"" CD | CD",Cemetery Lights,Consumption,CD,
"Zoldier Noiz ""Merci"" CD | CD",Zoldier Noiz,Merci,CD,
"Furnace Floor ""Furnace Floor"" CD | CD",Furnace Floor,Furnace Floor,CD,
"Graves ""Liturgia da Blasfemia"" CD | CD",Graves,Liturgia da Blasfemia,CD,
"Voodus ""Into the Wild"" Digipak CD | CD",Voodus,Into the Wild,CD,
"Lord Belial ""Revelation"" CD | CD",Lord Belial,Revelation,CD,
"Agrath ""The Fall of Mankind"" CD | CD",Agrath,The Fall of Mankind,CD,
"Piarevaracień ""U pošukach pačatku tych šlachoŭ"" Digipak CD (Belarusian folk BM) | CD",Piarevaracień,U pošukach pačatku tych šlachoŭ,CD,
"V/A ""Annihilation of the Antichrist"" Bootleg CD | CD",V/A,Annihilation of the Antichrist,CD,
"Slave Agent ""Alternate Histories"" CD | CD",Slave Agent,Alternate Histories,CD,
"Necronaut ""Necronaut"" CD | CD",Necronaut,Necronaut,CD,
"Watain ""Casus Luciferi"" CD | CD",Watain,Casus Luciferi,CD,
"Akefal ""Opus Darkness"" CD | CD",Akefal,Opus Darkness,CD,
"Power From Hell ""The True Metal"" Digipak CD | CD",Power From Hell,The True Metal,CD,
"Negative Plane ""Et In Saecula Saeculorum"" CD | CD",Negative Plane,Et In Saecula Saeculorum,CD,
"Transmetal ""20 Años Ondeando la Bandera del Metal"" CD | CD",Transmetal,20 Años Ondeando la Bandera del Metal,CD,
"Nocturnal Breed ""Aggressor"" (La Cripta version) CD | CD",Nocturnal Breed,Aggressor,CD,
"Disiecta Membrae ""Taedium Vitae"" CD | CD",Disiecta Membrae,Taedium Vitae,CD,
"Dead Dog's Howl ""Black Circle Transcendency"" Digipak CD | CD",Dead Dog's Howl,Black Circle Transcendency,CD,
"Krater ""Nocebo"" Digipak CD | CD",Krater,Nocebo,CD,
"Divine Noise Attack ""Creating the End"" CD | CD",Divine Noise Attack,Creating the End,CD,
"Skald of Morgoth ""The Siege of Angband"" CD | CD",Skald of Morgoth,The Siege of Angband,CD,
"Fjord ""Vor Tru"" CD | CD",Fjord,Vor Tru,CD,
"Marduk ""Plague Angel"" CD | CD",Marduk,Plague Angel,CD,
"Old Sorcery ""Clandestine Meditation in Two Chapters"" Digipak CD | CD",Old Sorcery,Clandestine Meditation in Two Chapters,CD,
"Aihos ""Hävityksen Maa"" CD | CD",Aihos,Hävityksen Maa,CD,
"Paimonia ""Disease Named Humanity"" CD | CD",Paimonia,Disease Named Humanity,CD,
"Wóddréa Mylenstede ""Cwylmendéaþ"" Digipak CD | CD",Wóddréa Mylenstede,Cwylmendéaþ,CD,
"Somrak ""The Blackwinged Serpent Crowned"" CD | CD",Somrak,The Blackwinged Serpent Crowned,CD,
"Diocletian ""Annihilation Rituals"" CD | CD",Diocletian,Annihilation Rituals,CD,
"Inisans ""Transition"" CD | CD",Inisans,Transition,CD,
"Sardonic Smile ""Wraith"" CD | CD",Sardonic Smile,Wraith,CD,
"Broken Bones ""A Single Decade"" Digipak CD | CD",Broken Bones,A Single Decade,CD,
"Sol Evil ""Sanctum Satanas"" CD | CD",Sol Evil,Sanctum Satanas,CD,
"Korpituli ""Pohjola"" Digipak CD | CD",Korpituli,Pohjola,CD,
"Gauze ""言いたかねえけど目糞鼻糞"" CD | CD",Gauze,言いたかねえけど目糞鼻糞,CD,
"Morketsvind ""The Journey"" Digipak CD | CD",Morketsvind,The Journey,CD,
"Necrotomy ""Inhuman Mankind"" CD | CD",Necrotomy,Inhuman Mankind,CD,
"Burning Winds ""Return to Hell"" CD | CD",Burning Winds,Return to Hell,CD,
"Orcrist ""Union of Evil"" CD | CD",Orcrist,Union of Evil,CD,
"Thou Art Lord ""Diabolou Archaes Legeones"" CD | CD",Thou Art Lord,Diabolou Archaes Legeones,CD,
"Decayed ""In Lustful Mayhem + Bonus"" Digipak CD | CD",Decayed,In Lustful Mayhem,CD,
"Amen Corner ""Darken in Quir Haresete"" CD | CD",Amen Corner,Darken in Quir Haresete,CD,
"Venom ""Live at Ijsselhal - Zwolle, Holland February 11, 1984"" CD | CD",Venom,"Live at Ijsselhal - Zwolle, Holland February 11, 1984",CD,
"Crime ""First Crime"" CD | CD",Crime,First Crime,CD,
"Order From Chaos ""Dawn Bringer"" CD | CD",Order From Chaos,Dawn Bringer,CD,
"Hurusoma ""Sombre Iconoclasm"" CD | CD",Hurusoma,Sombre Iconoclasm,CD,
"Serpent Cobra ""Beware"" Digipak CD | CD",Serpent Cobra,Beware,CD,
"Transmetal ""Las Alas del Emperador"" CD | CD",Transmetal,Las Alas del Emperador,CD,
"Totalt Jävla Mörker ""Söndra & Härska"" Digipak CD | CD",Totalt Jävla Mörker,Söndra & Härska,CD,
"Wapentake ""Madrigals"" Digipak CD | CD",Wapentake,Madrigals,CD,
"Elimi ""The Seed"" CD | CD",Elimi,The Seed,CD,
"Spiral Wheel ""Resurrection For Revenge"" CD | CD",Spiral Wheel,Resurrection For Revenge,CD,
"Hermóðr ""Tidens Tand"" Digipak CD | CD",Hermóðr,Tidens Tand,CD,
"V/A Blasphemous Mockery Productions ""Fetching Items of Power Vol. I"" CD | CD",V/A Blasphemous Mockery Productions,Fetching Items of Power Vol. I,CD,
"Sol Invictus ""Blood is Thicker than Water"" CD | CD",Sol Invictus,Blood is Thicker than Water,CD,
"Gorugoth ""Gorugoth"" CD | CD",Gorugoth,Gorugoth,CD,
"Mortala ""Demo Live Compilation"" A5 Digipak CD | CD",Mortala,Demo Live Compilation,CD,
"Daniel ""Šakal"" Švarc & GIWMÜR - Varuji nebe!!!"" CD (Ex Torr) | CD",Daniel,Šakal,CD,
Sonneillon BM / Sardonic Witchery / Black Command / Saterdum Split CD | CD,Sonneillon / Sardonic Witchery / Black Command / Saterdum,Split,CD,
"Gyotrelem / Haunted Sanity ""Gyotrelem / Haunted Sanity"" Split CD | CD",Gyotrelem / Haunted Sanity,Gyotrelem / Haunted Sanity,CD,
Bunkur / Mordor Split CD | CD,Bunkur / Mordor,Split,CD,
"Machinery ""The Passing"" CD | CD",Machinery,The Passing,CD,
"Fornace ""Deep Melancholic Wrath"" CD | CD",Fornace,Deep Melancholic Wrath,CD,
"Vulturine ""Tentácvlos Da Aberração"" Digipak CD | CD",Vulturine,Tentácvlos Da Aberração,CD,
"Disorder ""En El Rio Del Olvido"" CD | CD",Disorder,En El Rio Del Olvido,CD,
"Nam-Khar ""Dok-Pa"" Digipak CD | CD",Nam-Khar,Dok-Pa,CD,
"Gorgoroth ""Bergen 1996"" Digipak CD | CD",Gorgoroth,Bergen 1996,CD,
"Black Flame ""Imperivm"" CD | CD",Black Flame,Imperivm,CD,
"Morbid Holocaust ""Atmospheric Armageddon"" CD | CD",Morbid Holocaust,Atmospheric Armageddon,CD,
"Pest ""Vado Mori"" CD | CD",Pest,Vado Mori,CD,
"Akhkharu ""Celebratum"" CD | CD",Akhkharu,Celebratum,CD,
V/A USBM Digipak CD | CD,V/A,USBM,CD,
"Doombringer ""Walpurgis Fires"" CD | CD",Doombringer,Walpurgis Fires,CD,
"Sallow Moth ""Deathspore"" CD | CD",Sallow Moth,Deathspore,CD,
"V/A ""Drzite Skupaj? Front Rock"" CD | CD",V/A,Drzite Skupaj? Front Rock,CD,
"Kiira ""Lättömän Sanat"" Digipak CD | CD",Kiira,Lättömän Sanat,CD,
"Niundi ""Niundi"" Digipak CD | CD",Niundi,Niundi,CD,
"Dhak ""Demos & Rarezas"" CD | CD",Dhak,Demos & Rarezas,CD,
"Burzum ""Fallen"" CD | CD",Burzum,Fallen,CD,
"Extermination Alchemist ""Black Magic Of Genocide"" LP | CD",Extermination Alchemist,Black Magic Of Genocide,CD,
"Sabbat ""The Dwelling"" CD (Iron Pegasus Edition) | CD",Sabbat,The Dwelling,CD,
"Old Tower ""Draconic Synthesis"" Digibook CD | CD",Old Tower,Draconic Synthesis,CD,
"Voodus / Domgård ""Ginnungagap / Ljungeld över Människan"" Split Double CD | CD",Voodus / Domgård,Ginnungagap / Ljungeld över Människan,CD,
"Blood Magic ""Goetic Blood Spells"" CD | CD",Blood Magic,Goetic Blood Spells,CD,
"Goatpenis ""Blessed by War"" CD | CD",Goatpenis,Blessed by War,CD,
"Left in Ruins ""Sound of Defeat"" CD | CD",Left in Ruins,Sound of Defeat,CD,
"Nebelwerfer ""The Spirit of Violation"" CD | CD",Nebelwerfer,The Spirit of Violation,CD,
"Demonio ""Electric Voodoo of the Black Dawn"" CD | CD",Demonio,Electric Voodoo of the Black Dawn,CD,
"Iron Stream ""Endless Pain"" CD | CD",Iron Stream,Endless Pain,CD,
"Balmog ""Necroangels' Revelations"" CD | CD",Balmog,Necroangels' Revelations,CD,
"Fimbulwinter ""Servants of Sorcery"" CD | CD",Fimbulwinter,Servants of Sorcery,CD,
"Woodtemple ""The Call From the Pagan Woods"" CD | CD",Woodtemple,The Call From the Pagan Woods,CD,
"Spiritwood ""Cold Moon Blasphemies"" CD | CD",Spiritwood,Cold Moon Blasphemies,CD,
"Aghast ""Hexerei im Zwielicht der Finsternis"" CD | CD",Aghast,Hexerei im Zwielicht der Finsternis,CD,
"Erupted Evil ""Teufel"" CD | CD",Erupted Evil,Teufel,CD,
"Sort Vokter ""Folkloric Necro Metal"" LP (AKA ildjarn) | Vinyl",Sort Vokter,Folkloric Necro Metal,Vinyl,
"Deathless Void ""Deathless Void"" LP | Vinyl",Deathless Void,Deathless Void,Vinyl,
"Weregoat / Eggs of Gomorrh ""Orgiastic Rape of Resurrected Remains"" LP | Vinyl",Weregoat / Eggs of Gomorrh,Orgiastic Rape of Resurrected Remains,Vinyl,
"Bunker 66 / Lucifuge ""Of Night and Lust"" Split LP | Vinyl",Bunker 66 / Lucifuge,Of Night and Lust,Vinyl,
"Saturnalia Temple ""To The Other"" LP | Vinyl",Saturnalia Temple,To The Other,Vinyl,
"Lugubrum ""De Zuivering"" LP | Vinyl",Lugubrum,De Zuivering,Vinyl,
"Phlegethon's Majesty / Gouffre Split 7"" | Vinyl",Phlegethon's Majesty / Gouffre,Split,Vinyl,
"Sorcery ""Sinister Soldiers"" Double LP | Vinyl",Sorcery,Sinister Soldiers,Vinyl,
"Koldborn ""The Devil of All Deals"" 10"" | Vinyl",Koldborn,The Devil of All Deals,Vinyl,
"Front Beast ""Ars Satanic Ex Tempus"" 7"" | Vinyl",Front Beast,Ars Satanic Ex Tempus,Vinyl,
"Vort ""Demo"" 7"" | Vinyl",Vort,Demo,Vinyl,
"Celestia ""Delhÿs-cätess"" 10"" | Vinyl",Celestia,Delhÿs-cätess,Vinyl,
"Strongblood ""Crooked Cross 2009"" LP | Vinyl",Strongblood,Crooked Cross 2009,Vinyl,
"Triangulum ""Triangulum"" LP | Vinyl",Triangulum,Triangulum,Vinyl,
"Goatblood (Australia) ""Supreme Triumph of Evil"" LP | Vinyl",Goatblood,Supreme Triumph of Evil,Vinyl,
"Empty Playground ""Make The Pain Go Away"" 7"" | Vinyl",Empty Playground,Make The Pain Go Away,Vinyl,
"Maniac ""Rainbows, Kittens, Flowers & Puppies"" LP | Vinyl",Maniac,"Rainbows, Kittens, Flowers & Puppies",Vinyl,
"Kareliaani ""Patriot"" Test Press 7"" | Vinyl",Kareliaani,Patriot,Vinyl,
"Mephistofeles ""A Path of Black"" MLP + Patch | Vinyl",Mephistofeles,A Path of Black,Vinyl,
Degredo / Cantos de Muerte Split LP | Vinyl,Degredo / Cantos de Muerte,Split,Vinyl,
"Blood Duster / Brutal Truth ""First United Meth Church"" Split 7"" | Vinyl",Blood Duster / Brutal Truth,First United Meth Church,Vinyl,
"Exermination Temple ""Lifeless Forms"" 7"" + Patch | Vinyl",Exermination Temple,Lifeless Forms,Vinyl,
"Grift ""Budet"" LP | Vinyl",Grift,Budet,Vinyl,
"Hellpreacher ""Resurrection"" 7"" (Cult TX Deathrash '86) | Vinyl",Hellpreacher,Resurrection,Vinyl,
"Hakaristi ""Hakaristi"" 7"" | Vinyl",Hakaristi,Hakaristi,Vinyl,
"Ara Solis ""Ashvattha"" LP | Vinyl",Ara Solis,Ashvattha,Vinyl,
"Mycelium ""Mycoticism: Disseminating the Propagules"" LP | Vinyl",Mycelium,Mycoticism: Disseminating the Propagules,Vinyl,
"Abusiveness ""Nad Grobem Ojcow"" 7"" | Vinyl",Abusiveness,Nad Grobem Ojcow,Vinyl,
"Hellish ""The Dance of the Four Elemental Serpents"" LP | Vinyl",Hellish,The Dance of the Four Elemental Serpents,Vinyl,
Saltas “Mors Salis – Opus I” LP (Irkallian Oracle/TFO) | Vinyl,Saltas,Mors Salis – Opus I,Vinyl,
"Anatomy ""Twisting Depths Of Horror"" Double LP | Vinyl",Anatomy,Twisting Depths Of Horror,Vinyl,
"Algaion ""Oimai Algeiou"" LP | Vinyl",Algaion,Oimai Algeiou,Vinyl,
"Necroblood / Psychomorphis ""The Lurking Horror / Amorphous Chaos"" Split LP | Vinyl",Necroblood / Psychomorphis,The Lurking Horror / Amorphous Chaos,Vinyl,
"Old Man's Child ""Slaves of The World"" LP | Vinyl",Old Man's Child,Slaves of The World,Vinyl,
"Marduk ""Fuck Me Jesus"" MLP | Vinyl",Marduk,Fuck Me Jesus,Vinyl,
"Vinterthron ""Reign ov Opposites"" LP | Vinyl",Vinterthron,Reign ov Opposites,Vinyl,
"Gutricyde ""Gutricyde"" LP | Vinyl",Gutricyde,Gutricyde,Vinyl,
"Blood ""Inferno"" LP+CD | Vinyl",Blood,Inferno,Vinyl,
"Sadistik Exekution ""30 Years of Agonizing the Dead"" LP + 7"" | Vinyl",Sadistik Exekution,30 Years of Agonizing the Dead,Vinyl,
"Dämonenblut ""Im Schloß Des Finst'ren Grafen"" 7"" | Vinyl",Dämonenblut,Im Schloß Des Finst'ren Grafen,Vinyl,
"Upamsu ""Ajian Uleman Sang Peteng"" LP | Vinyl",Upamsu,Ajian Uleman Sang Peteng,Vinyl,
"Crusher ""From the Core"" LP | Vinyl",Crusher,From the Core,Vinyl,
"Svartsyn ""Bloodline"" LP | Vinyl",Svartsyn,Bloodline,Vinyl,
"Cadaveric Fumes ""Echoing Chambers of Soul"" LP | Vinyl",Cadaveric Fumes,Echoing Chambers of Soul,Vinyl,
The Ruins of Beverast / Almyrkvi Split MC | CD,The Ruins of Beverast / Almyrkvi,Split,Vinyl,
"Grave Upheaval ""Demo"" Red Vinyl MLP (1st Press Abysmal Sounds) | Vinyl",Grave Upheaval,Demo,Vinyl,
"Immortal ""At the Heart of Winter"" LP | Vinyl",Immortal,At The Heart Of Winter,Vinyl,
"Ptahil ""The Beast of Ptahil"" Double LP | Vinyl",Ptahil,The Beast of Ptahil,Vinyl,
"Ancient Burial ""Beyond The Watchtowers"" LP | Vinyl",Ancient Burial,Beyond The Watchtowers,Vinyl,
"Disma ""Earthendium"" Holographic MLP | Vinyl",Disma,Earthendium,Vinyl,
"Celestial Sword / Mortum ""The Citadel of Scarlet Lament"" Split LP | Vinyl",Celestial Sword / Mortum,The Citadel of Scarlet Lament,Vinyl,
"Rraaumm ""Here, Among The Stars"" LP | Vinyl",Rraaumm,"Here, Among The Stars",Vinyl,
"Moenen of Xezbeth / Obrok split 7"" | Vinyl",Moenen of Xezbeth / Obrok,Split,Vinyl,
"Kaaos ""Ei Enää Kipua Ei Tuskaa"" LP | Vinyl",Kaaos,Ei Enää Kipua Ei Tuskaa,Vinyl,
"Netherdom ""Forsaking, Forseeking"" LP | Vinyl",Netherdom,"Forsaking, Forseeking",Vinyl,
"Black Cilice ""Esoteric Atavism"" LP | Vinyl",Black Cilice,Esoteric Atavism,Vinyl,
"Valac ""Howls of Infinite Horror"" LP | Vinyl",Valac,Howls of Infinite Horror,Vinyl,
"Evil Spectrum / Uttertomb ""Heic Noenum Pax"" Split LP | Vinyl",Evil Spectrum / Uttertomb,Heic Noenum Pax,Vinyl,
"Absu ""The Sun of Tiphareth"" LP | Vinyl",Absu,The Sun of Tiphareth,Vinyl,
"Dodheimsgard ""Monumental Possession"" LP | Vinyl",Dodheimsgard,Monumental Possession,Vinyl,
"V/A Thrash Metal Blitzkrieg Vol. 3 7"" | Vinyl",V/A,Thrash Metal Blitzkrieg Vol. 3,Vinyl,
"Diabolical Principles / Dizziness ""Anno Tenebrae"" Split 7"" | Vinyl",Diabolical Principles / Dizziness,Anno Tenebrae,Vinyl,
"Majestic Ryte ""Majestic Ryte"" LP | Vinyl",Majestic Ryte,Majestic Ryte,Vinyl,
"Toxikull ""Cursed and Punished"" LP | Vinyl",Toxikull,Cursed and Punished,Vinyl,
"Anciients ""Snakebeard"" 7"" | Vinyl",Anciients,Snakebeard,Vinyl,
"Allegiance ""Blodörnsoffer"" LP | Vinyl",Allegiance,Blodörnsoffer,Vinyl,
"Cynabare Urne ""Obsidian Daggers and Cinnabar Skulls"" LP | Vinyl",Cynabare Urne,Obsidian Daggers and Cinnabar Skulls,Vinyl,
"Mythic ""Anthology"" LP (1991-1993 All Female DM) | Vinyl",Mythic,Anthology,Vinyl,
"Phantom ""Hell Has No Form"" 7"" | Vinyl",Phantom,Hell Has No Form,Vinyl,
Sulphuric Night / Borda's Rope Split LP | Vinyl,Sulphuric Night / Broda's Rope,Split,Vinyl,
"Dark Quarterer ""Dark Quarterer"" LP | Vinyl",Dark Quarterer,Dark Quarterer,Vinyl,
"Crucifier ""Led Astray"" LP | Vinyl",Crucifier,Led Astray,Vinyl,
"Malum ""Crowned with the Serpent Sun"" LP | Vinyl",Malum,Crowned with the Serpent Sun,Vinyl,
"Scorpions ""Best of the 70's Recordings"" LP | Vinyl",Scorpions,Best of the 70's Recordings,Vinyl,
"Crucifier ""Coffins Through Time... A Mourning in Nazareth"" Double LP | Vinyl",Crucifier,Coffins Through Time... A Mourning in Nazareth,Vinyl,
"Burning Winds / Kerberos ""Apotheosis of War / Where Darkness Reigns"" Split LP | Vinyl",Burning Winds / Kerberos,Apotheosis of War / Where Darkness Reigns,Vinyl,
Grave Upheaval / The Funeral Orchestra Split LP | Vinyl,Grave Upheaval / The Funeral Orchestra,Split,Vinyl,
"Flauros ""Before My Eyes The New World Rose"" 7"" | Vinyl",Flauros,Before My Eyes The New World Rose,Vinyl,
"Embalm ""Prelude to Obscurity"" LP | Vinyl",Embalm,Prelude to Obscurity,Vinyl,
"Demonic Cremator ""My Dying Breath"" 7"" | Vinyl",Demonic Cremator,My Dying Breath,Vinyl,
"Iku Turso ""Pakana"" LP | Vinyl",Iku Turso,Pakana,Vinyl,
"Cruel Force ""The Rise Of Satanic Might"" LP | Vinyl",Cruel Force,The Rise Of Satanic Might,Vinyl,
"Isolation / Sleeping Village Split 7"" | Vinyl",Isolation / Sleeping Village,Split,Vinyl,
"Drawn And Quartered ""Congregation Pestilence"" LP | Vinyl",Drawn And Quartered,Congregation Pestilence,Vinyl,
Nunslaughter / Blood Split LP | Vinyl,Nunslaughter / Blood,Split,Vinyl,
"Grand Celestial Nightmare ""The Great Apocalyptic Desolation"" LP | Vinyl",Grand Celestial Nightmare,The Great Apocalyptic Desolation,Vinyl,
"Auroch / Mitochondrion ""In Cronian Hour"" 7"" | Vinyl",Auroch / Mitochondrion,In Cronian Hour,Vinyl,
"Writhing ""Of Earth & Flesh"" LP | Vinyl",Writhing,Of Earth & Flesh,Vinyl,
"Forgotten Shrines ""Remembrance"" LP | Vinyl",Forgotten Shrines,Remembrance,Vinyl,
"Sulphurous ""Encircling Darkness"" 7"" | Vinyl",Sulphurous,Encircling Darkness,Vinyl,
"One Master ""The Quiet Eye Of Eternity"" LP | Vinyl",One Master,The Quiet Eye Of Eternity,Vinyl,
"Vuajtje ""Lost Under the Stygian Shade"" LP | Vinyl",Vuajtje,Lost Under the Stygian Shade,Vinyl,
"Runespell ""Voice of Opprobrium"" LP | Vinyl",Runespell,Voice of Opprobrium,Vinyl,
"Rabbath Ammon ""Ammonites' Knights' Nights"" 7"" | Vinyl",Rabbath Ammon,Ammonites' Knights' Nights,Vinyl,
"Palus Somni ""Monarch of Dark Matter"" LP | Vinyl",Palus Somni,Monarch of Dark Matter,Vinyl,
"Wagner Ödegård ""Om Twenne Kosmos"" LP | Vinyl",Wagner Ödegård,Om Twenne Kosmos,Vinyl,
"Revenge ""Infiltration Downfall Death"" LP | Vinyl",Revenge,Infiltration Downfall Death,Vinyl,
"Trajeto de Cabra ""Supreme Command of Satanic Will"" LP | Vinyl",Trajeto de Cabra,Supreme Command of Satanic Will,Vinyl,
"Solstice ""New Dark Age"" Double LP | Vinyl",Solstice,New Dark Age,Vinyl,
"Necromantia ""Ancient Pride"" LP | Vinyl",Necromantia,Ancient Pride,Vinyl,
The Amenta ”Mictlan” 7’’ | Vinyl,The Amenta,Mictlan,Vinyl,
"Old Forest ""Into the Old Forest"" Test Press LP | Vinyl",Old Forest,Into the Old Forest,Vinyl,
"Ignivomous ""Hieroglossia"" Test Press LP | Vinyl",Ignivomous,Hieroglossia,Vinyl,
"Black Witchery ""Desecration of the Holy Kingdom"" Test Press LP | Vinyl",Black Witchery,Desecration of the Holy Kingdom,Vinyl,
"Gowl ""Blurrr"" 7"" | Vinyl",Gowl,Blurrr,Vinyl,
"Requiem ""Nunc Et Semper"" LP | Vinyl",Requiem,Nunc Et Semper,Vinyl,
"Gorgoroth ""Under the Sign of Hell"" White Marble Vinyl LP | Vinyl",Gorgoroth,Under The Sign Of Hell,Vinyl,
"Gräfenstein ""Death Born"" Black Vinyl LP | Vinyl",Gräfenstein,Death Born,Vinyl,
"Ossuary ""Supreme Degradation"" LP | Vinyl",Ossuary,Supreme Degradation,Vinyl,
"Ex Inferiis ""Ngul A Crist"" Black Vinyl 7"" | Vinyl",Ex Inferiis,Ngul A Crist,Vinyl,
"S.F.H. ""Cold Death"" LP | Vinyl",S.F.H.,Cold Death,Vinyl,
"Gnaargakh ""Zhymørkh Demo I"" 10"" | Vinyl",Gnaargakh,Zhymørkh Demo I,Vinyl,
"Wulkanaz ""Paúrpura Fræovíbôkôs"" LP | Vinyl",Wulkanaz,Paúrpura Fræovíbôkôs,Vinyl,
"Malokarpatan / Necromante Split 7"" (Boob demon cover) | Vinyl",Malokarpatan / Necromante,Split,Vinyl,
"Deeds of Flesh ""Trading Pieces"" LP | Vinyl",Deeds Of Flesh,Trading Pieces,Vinyl,
Regere Sinister / Reptile Womb Split LP | Vinyl,Regere Sinister / Reptile Womb,Split,Vinyl,
"Ildjarn-Nidhogg ""Hardangervidda Part I"" LP (The Devil's Elixirs Press) | Vinyl",Ildjarn-Nidhogg,Hardangervidda Part I,Vinyl,
"Kawir ""Kydoimos"" LP | Vinyl",Kawir,Kydoimos,Vinyl,
"Clotted Symmetric Sexual Organ / Vivisection Green Vinyl Split 7"" | Vinyl",Clotted Symmetric Sexual Organ / Vivisection,Split,Vinyl,
"The Mezmerist “The Innocent, the Forsaken, the Guilty” Blue Vinyl Test Press LP | Vinyl",The Mezmerist,"The Innocent, the Forsaken, the Guilty",Vinyl,
"Mutilate ""Contagium"" LP | Vinyl",Mutilate,Contagium,Vinyl,
"Osculum Infame ""Manifesto from the Dark Age"" Double LP (Demos Collection) | Vinyl",Osculum Infame,Manifesto from the Dark Age,Vinyl,
