description,artist,album,format,extra
HARVEST GULGALTHA &#8211; Altars of Devotion CASSETTE,Harvest Gulgaltha,Altars of Devotion,Cassette,
GOREFEST &#8211; Erase CASSETTE,Gorefest,Erase,Cassette,
LLYR / LOST &#8211; Split CASSETTE,Llyr / Lost,Split,Cassette,
NADIWRATH &#8211; Nihilistic Stench CASSETTE,Nadiwrath,Nihilistic Stench,Cassette,
CRUCIFIED &#8211; Tales of the Tainted Messiah CASSETTE,Crucified,Tales of the Tainted Messiah,Cassette,
POISON MIST &#8211; Poison Mist CASSETTE,Poison Mist,Poison Mist,Cassette,
RAVENDARK&#8217;S MONARCHAL CANTICLE / WALSUNG &#8211; Brotherhood in Battle CASSETTE,Ravendark’S Monarchal Canticle / Walsung,Brotherhood in Battle,Cassette,
VOMIT &#8211; Desecration (Demo 1) CASSETTE,Vomit,Desecration (Demo 1),Cassette,
ASSUMPTION &#8211; Mosaic of the Dismal Dominion CASSETTE,Assumption,Mosaic of the Dismal Dominion,Cassette,
IRAE &#8211; Lurking in the Depths CASSETTE,Irae,Lurking in the Depths,Cassette,
PNEUMA HAGION &#8211; Trinity I CASSETTE,Pneuma Hagion,Trinity I,Cassette,
WITCHCRAFT &#8211; Diablerie CASSETTE,Witchcraft,Diablerie,Cassette,
ECCE HOMMO &#8211; Rehearsal Demo CASSETTE,Ecce Hommo,Rehearsal Demo,Cassette,
BLASPHEMY &#8211; Live Ritual CASSETTE,Blasphemy,Live Ritual,Cassette,
WEST WALL &#8211; On My Shield CASSETTE,West Wall,On My Shield,Cassette,
THE MIST FROM THE MOUNTAINS &#8211; Monumental &#8211; The Temple of Twilight CD,The Mist From The Mountains,Monumental – The Temple of Twilight,CD,
NOXIA / FREMDREICH &#8211; Kein Platz / Remnants of the Arcane CD,Noxia / Fremdreich,Kein Platz / Remnants of the Arcane,CD,
SVARTA / ELANDE &#8211; Invokation DIGIPAK CD,Svarta / Elande,Invokation,CD,
STOSSTRUP &#8211; Wir Kommen &#8211; Rehearsal 110 CD,Stosstrup,Wir Kommen – Rehearsal 110,CD,
MOLOCH &#8211; Stiller Schrei des winters CD,Moloch,Stiller Schrei des winters,CD,
ASSASSINATION &#8211; Red Magick Faction A5 DIGIPAK CD,Assassination,Red Magick Faction,CD,
DISSECTION &#8211; The Somberlain CD,Dissection,THE SOMBERLAIN,CD,
ARKTOGAA &#8211; Æra Yersinia Pestis Spiritvs CD,Arktogaa,Æra Yersinia Pestis Spiritvs,CD,
SAMMAS EQUINOX &#8211; Maailmantaonta DIGIPAK CD,Sammas Equinox,Maailmantaonta,CD,
KATHARSIS &#8211; VVorldvvithoutend CD,Katharsis,VVorldvvithoutend,CD,
DYSANGELIUM &#8211; Dysangelium DOUBLE CD,Dysangelium,Dysangelium,CD,
ADORIA / FEUERNACHT / STAHLFRONT &#8211; Wehrwolf Jugend CD,Adoria / Feuernacht / Stahlfront,Wehrwolf Jugend,CD,
MAESTRO CROQUE MORT &#8211; Je tuerai votre monde DIGIPAK CD,Maestro Croque Mort,Je tuerai votre monde,CD,
VOLKOLUN &#8211; Path Through the Mist DIGIPAK CD,Volkolun,Path Through the Mist,CD,
PAGAN FLAME &#8211; Symbole de vie et de lumière CD,Pagan Flame,Symbole de vie et de lumière,CD,
EMBATERION &#8211; The Sound of Charge DIGISLEEVE CD,Embaterion,The Sound of Charge,CD,
WAKBOTH / RIENAUS &#8211; Split CD,Wakboth / Rienaus,Split,CD,
CIRCLE OF OUROBORUS &#8211; Thurisa DIGIPAK CD,Circle Of Ouroborus,Thurisa,CD,
ARMAGGEDON &#8211; Trumpets of Christian CD,Armaggedon,Trumpets of Christian,CD,
ABSURD &#8211; Promo 11/2019 A.Y.P.S. DIGISLEEVE CD,Absurd,Promo 11/2019 A.Y.P.S.,CD,
VLAD TEPES &#8211; War Funeral March CD,Vlad Tepes,War Funeral March,CD,
ETERNUM &#8211; The Devouring Descent CD,Eternum,The Devouring Descent,CD,
EVIL &#8211; Revenge of Iron and Thunder DIGIPAK CD,Evil,Revenge of Iron and Thunder,CD,
NECRO RITUS &#8211; Fiery Necromancy CD,Necro Ritus,Fiery Necromancy,CD,
BEHEXEN &#8211; By the Blessing of Satan CD,Behexen,By the Blessing of Satan,CD,
BLACKDEATH &#8211; Chronicles of Hellish Circles II CD,Blackdeath,Chronicles of Hellish Circles II,CD,
INTOL &#8211; Berserker Savagery DIGIPAK CD,Intol,Berserker Savagery,CD,
HELDUNE &#8211; Echoes of the Fallen CD,Heldune,Echoes of the Fallen,CD,
MANIFESTING &#8211; Descension Through the Seven Forbidden Seals CD,Manifesting,Descension Through the Seven Forbidden Seals,CD,
IRAE &#8211; Lurking in the Depths DIGIPAK CD,Irae,Lurking in the Depths,CD,
ARYMAN &#8211; &#8230;i nienazwanych Dyjabłów CD,Aryman,…i nienazwanych Dyjabłów,CD,
SLAEGT &#8211; Ildsvanger CD,Slaegt,Ildsvanger,CD,
LIK &#8211; Avgrundspoetens flamma CD,LIK,Avgrundspoetens flamma,CD,
AKASHAH &#8211; Taran CD,Akashah,Taran,CD,
WODULF &#8211; Wargus Esto CD,Wodulf,Wargus Esto,CD,
FUNERAL PYRE &#8211; Funeral Pyre CD,Funeral Pyre,Funeral Pyre,CD,
MALIGNAMENT &#8211; Hypocrisis Absolution CD,Malignament,Hypocrisis Absolution,CD,
DARKNESS ENSHROUDED THE MIST &#8211; The Black Curses CD,Darkness Enshrouded The Mist,The Black Curses,CD,
CROSS OF IRON &#8211; In the Steelstorms CD,Cross Of Iron,In the Steelstorms,CD,
AKROTHEISM / SEPTUAGINT &#8211; Sphinx: The Great Enigma of Times CD,Akrotheism / Septuagint,Sphinx: The Great Enigma Of Times,CD,
VAAL &#8211; Visioen van het verborgen land CD,Vaal,Visioen van het verborgen land,CD,
LEGION / PERUNWIT &#8211; Split CD,Legion / Perunwit,Split,CD,
BLOOD STRONGHOLD &#8211; Vengeance in Sacrificial Blood DIGIPAK CD,Blood Stronghold,Vengeance in Sacrificial Blood,CD,
BESTIAL WHORE &#8211; Pentagram Perversion CD,Bestial Whore,Pentagram Perversion,CD,
HORNA &#8211; Hiidentorni CD,Horna,Hiidentorni,CD,
NEFARIOUS RITES &#8211; Nefarious Rites CD,Nefarious Rites,Nefarious Rites,CD,
PESTIS CULTUS &#8211; Pestis Cultus DIGIPAK CD,Pestis Cultus,Pestis Cultus,CD,
ANNIHILATUS &#8211; Blood and War DIGIPAK CD,Annihilatus,Blood and War,CD,
MARDUK &#8211; Heaven Shall Burn When We Are Gathered CD,Marduk,Heaven Shall Burn When We Are Gathered,CD,
ANTHEM &#8211; Art Et Dictature DIGIPAK CD,Anthem,Art Et Dictature,CD,
SADOMATIC RITES &#8211; Demo 2023 CD,Sadomatic Rites,Demo 2023,CD,
MARDUK &#8211; Panzer Division Marduk DIGIPAK CD,Marduk,Panzer Division Marduk,CD,
POPRAVA &#8211; Supredator CD,Poprava,Supredator,CD,
CELTIC DANCE &#8211; Oderint Dum Metuant CD,Celtic Dance,Oderint Dum Metuant,CD,
SVARTR STURM &#8211; En Route vers le Front CD,Svartr Sturm,En Route vers le Front,CD,
HEATHEN HAMMER &#8211; Clandestine Oath DIGIPAK CD,Heathen Hammer,Clandestine Oath,CD,
PANZERJAGER / AESIR &#8211; War Chants for Ragnarok CD,Panzerjager / Aesir,War Chants for Ragnarok,CD,
SATURNALIA TEMPLE &#8211; To the Other CD,Saturnalia Temple,To The Other,CD,
HORNA / BEHEXEN &#8211; Split DIGIPAK CD,Horna / Behexen,Split,CD,
MARDUK &#8211; Opus Nocturne CD,Marduk,Opus Nocturne,CD,
KOLAC / KROWOS / VON HEXE &#8211; Herebus Trinity Rebus DIGIPAK CD,Kolac / Krowos / Von Hexe,Herebus Trinity Rebus,CD,
PIAREVARACIEN &#8211; Symbole de vie et de lumièreU pošukach pačatku tych šlachoŭ DIGIPAK CD,Piarevaracien,Symbole de vie et de lumièreU pošukach pačatku tych šlachoŭ,CD,
OVADER &#8211; Wotankult CD,Ovader,Wotankult,CD,
KORGONTHURUS &#8211; Vuohen Siunaus CD,Korgonthurus,Vuohen Siunaus,CD,
BURZUM &#8211; Umskiptar CD,Burzum,Umskiptar,CD,
MALEDICERE &#8211; Leave Only What is Fit to Burn CD,Maledicere,Leave Only What Is Fit to Burn,CD,
DARK FURY &#8211; Slavonic Thunder DIGIPAK CD,Dark Fury,Slavonic Thunder,CD,
ICONOCLAST CONTRA &#8211; Combat is the Voice of the Heathen CD,Iconoclast Contra,Combat is the Voice of the Heathen,CD,
GEISTAZ&#8217;IKA &#8211; 	Trolddomssejd i skovens dybe kedel DIGIPAK CD,Geistaz’Ika,Trolddomssejd i skovens dybe kedel,CD,
KUUPYR &#8211; Black Forest Path CD,Kuupyr,Black Forest Path,CD,
BLACKDEATH &#8211; Phantasmhassgorie CD,Blackdeath,Phantasmhassgorie,CD,
NARGAROTH &#8211; Rasluka CD,Nargaroth,Rasluka,CD,
RUHO &#8211; Mouth of Extinction CD IN CLOTH BAG,Ruho,Mouth of Extinction,CD,
FERAL HOWL &#8211; Worshipper CD,Feral Howl,Worshipper,CD,
REVENGE &#8211; Victory.Intolerance.Mastery CD,Revenge,Victory.Intolerance.Mastery,CD,
OHTAR &#8211; Emptiness CD,Ohtar,Emptiness,CD,
LOITS &#8211; Tulisilma Sund CD,Loits,Tulisilma Sund,CD,
GRAND CELESTIAL NIGHTMARE &#8211; The Great Apocalyptic Desolation CD,Grand Celestial Nightmare,The Great Apocalyptic Desolation,CD,
RESURGENCE &#8211; Graves of the Eclipse &#8211; Blood of the Zenith CD,Resurgence,Graves of the Eclipse – Blood of the Zenith,CD,
SUDWIND / BLOOD RITUAL &#8211; The Silence of Death Shall Follow CD,Sudwind / Blood Ritual,The Silence of Death Shall Follow,CD,
MONDFINSTERNIS &#8211; Where the Heaven Ends CD,Mondfinsternis,Where the Heaven Ends,CD,
INSANE APOLLYON &#8211; Insane Apollyon CD,Insane Apollyon,Insane Apollyon,CD,
BLUTKULT / CELTIC DANCE &#8211; We Are the Roar of Thunder DIGIPAK CD,Blutkult / Celtic Dance,We Are the Roar of Thunder,CD,
COUNTESS &#8211; Into Battle CD,Countess,Into Battle,CD,
AKOLYYTTI &#8211; Akolyytti CD,Akolyytti,Akolyytti,CD,
UNGRUN &#8211; Itjinge Tonei Barre Scil DIGIPAK CD,Ungrun,Itjinge Tonei Barre Scil,CD,
ANNIHILATUS &#8211; Annihilation DIGIPAK CD,Annihilatus,Annihilation,CD,
POWER FROM HELL &#8211; Lust and Violence CD,Power From Hell,Lust and Violence,CD,
GRANSKOG &#8211; Carpathian Outlaws &#8211; 15 Years Of Bukowinian Pagan Madness DIGIPAK CD,Granskog,Carpathian Outlaws – 15 Years Of Bukowinian Pagan Madness,CD,
PAGAN HERITAGE &#8211; Forn Sed CD,Pagan Heritage,Forn Sed,CD,
VOLSHEBNIK &#8211; An Infertile Memory CD,Volshebnik,An Infertile Memory,CD,
GARDIEN DE PORCS &#8211; Dans les terres CD,Gardien De Porcs,Dans les terres,CD,
PHOBIA &#8211; Slaughterhouse Tapes CD,Phobia,Slaughterhouse Tapes,CD,
ARGHOSLENT &#8211; Resuscitation of the Revanchists CD,Arghoslent,Resuscitation of the Revanchists,CD,
WOTANORDEN &#8211; From the Storm Come the Wolves 12&#8243; DOUBLE LP,Wotanorden,From the Storm Come the Wolves,Vinyl,
1389 &#8211; Islamske Bolesti/Dolazak Antihrista 7&#8243; EP,1389,Islamske Bolesti/Dolazak Antihrista,Vinyl,
AB / CAPRICORNUS &#8211; Split 7&#8243; EP,Ab / Capricornus,Split,Vinyl,
NECROSTRIGIS / WINTER BLACKNESS &#8211; W Mrokach Roziskrzonych Mrozem 7&#8243; EP,Necrostrigis / Winter Blackness,W Mrokach Roziskrzonych Mrozem,Vinyl,
COUNCIL DAIMONION &#8211; Rise Into the Dark 7&#8243; GATEFOLD EP,Council Daimonion,Rise Into the Dark,Vinyl,
DARK FURY / KVASIR&#8217;S BLOOD &#8211; Split 7&#8243; EP,Dark Fury / Kvasir's Blood,Split,Vinyl,
STORMHEIT &#8211; Kvenland 12&#8243; LP,Stormheit,Kvenland,Vinyl,
MISTREAT / WHITE MINORITY &#8211; Split 12&#8243; LP,Mistreat / White Minority,Split,Vinyl,
AKOLYYTTI &#8211; Origin – Igniting The Luciferian Flame 12&#8243; LP,Akolyytti,Origin – Igniting The Luciferian Flame,Vinyl,
PENTAGAMMADION / MOONTOWER &#8211; Dies Imperii 12&#8243; LP,Pentagammadion / Moontower,Dies Imperii,Vinyl,
GROM &#8211; Pagan War Machine 12&#8243; LP,Grom,Pagan War Machine,Vinyl,
WITCHCRAFT &#8211; Bestial Vociferation 12&#8243; LP,Witchcraft,Bestial Vociferation,Vinyl,
NOCTURNAL FEAR &#8211; Fog of War &#8211; Line of Fire 12&#8243; LP + 10&#8243; MLP,Nocturnal Fear,Fog of War – Line of Fire,Vinyl,
WOLFNACHT &#8211; Eine Flamme im Dunkeln 12&#8243; LP,Wolfnacht,Eine Flamme im Dunkeln,Vinyl,
AZAXUL &#8211; The Saints Impaled 12&#8243; LP,Azaxul,The Saints Impaled,Vinyl,
ABSURD &#8211; Schwarze Bande 12&#8243; PICTURE DISC LP,Absurd,Schwarze Bande,Vinyl,
BURSHTYN &#8211; Прах Відчайдухів 12&#8243; GATEFOLD LP,Burshtyn,Прах Відчайдухів,Vinyl,
KOHORT &#8211; Megiddo Eve 12&#8243; LP,Kohort,Megiddo Eve,Vinyl,
SACRIFICIA MORTUORUM &#8211; Maturum Est 12&#8243; GATEFOLD LP,Sacrificia Mortuorum,Maturum Est,Vinyl,
TENEBRAE &#8211; Serenades of the Damned 12&#8243; LP,Tenebrae,Serenades of the Damned,Vinyl,
BONE AWL &#8211; An Obelisk Marks the Line 12&#8243; LP,Bone Awl,An Obelisk Marks The Line,Vinyl,
DS / TLATEOTOCANI &#8211; Split 12&#8243; LP,Ds / Tlateotocani,Split,Vinyl,
CELTIC DANCE &#8211; Oderint Dum Metuant 12&#8243; GATEFOLD LP,Celtic Dance,Oderint Dum Metuant,Vinyl,
PHLEGEIN &#8211; Labyrinth of Wonder MCD,Phlegein,Labyrinth of Wonder,CD,
