description,artist,album,format,extra
Tribulation - Where the Gloom Becomes Sound - Melt Vinyl LP,Tribulation,Where the Gloom Becomes Sound,Vinyl,Melt Vinyl LP
THERION - Symphony Masses - Ho Drakon Ho Megas - Black Vinyl LP,Therion,Symphony Masses - Ho Drakon Ho Megas,Vinyl,Ho Drakon Ho Megas - Black Vinyl LP
Between The Buried And Me - Automata - BLACK IN TRANS. HIGHLIGHTER YELLOW W/ BLACK HEAVY SPLATTER,Between The Buried And Me,Automata,Vinyl,BLACK IN TRANS. HIGHLIGHTER YELLOW W/ BLACK HEAVY SPLATTER
[NESI-Rarity] Mayhem - Ordo Ad Chao - *NUMBERED* Ltd 100 Splatter Vinyl + Poster - Asian Market Exclusive,Mayhem,Ordo Ad Chao,Vinyl,*NUMBERED* Ltd 100 Splatter Vinyl + Poster - Asian Market Exclusive
200 STAB WOUNDS - Slave To The Scalpel - Silver/Bloodred Splatter LTD 300 (numbered),200 Stab Wounds,Slave To The Scalpel,Vinyl,Silver/Bloodred Splatter LTD 300 (numbered)
Asking Alexandria - From Death To Destiny - 2 LTD Variants,Asking Alexandria,From Death To Destiny,Vinyl,2 LTD Variants
Suffocation - Despise The Sun - Butterfly Effect with Splatter Vinyl,Suffocation,Despise The Sun,Vinyl,Butterfly Effect with Splatter Vinyl
Hypocrisy - Abducted - Reissue 2023 - Red Vinyl (Gatefold LP),Hypocrisy,Abducted,Vinyl,Reissue 2023 - Red Vinyl (Gatefold LP)
[NESI] Sigh - Hangman's Hymn LP - Ltd 150 Splatter - Asian Market Exclusive,Sigh,Hangman's Hymn,Vinyl,Ltd 150 Splatter - Asian Market Exclusive
[NESI] Dark Tranquillity - The Gallery - Ltd 200 Swirl Vinyl,Dark Tranquillity,The Gallery,Vinyl,Ltd 200 Swirl Vinyl
Enisum - Seasons of Desolation - 2LP Aside/Bside Green/Black Vinyl DLP,ENISUM,Seasons of Desolation,Vinyl,2LP Aside/Bside Green/Black Vinyl DLP
Observers - The Age of the Machine Entities - Vinyl LP w/ signed card & Goodies,Observers,The Age of the Machine Entities,Vinyl,Vinyl LP w/ signed card & Goodies
Katatonia - Dance of December Souls - Pink & Black Marble - 30th Anniversary Edition Vinyl LP,Katatonia,Dance of December Souls,Vinyl,Pink & Black Marble - 30th Anniversary Edition Vinyl LP
Spastic Ink - Ink Compatible - Double Vinyl DLP,Spastic Ink,Ink Compatible,Vinyl,Double Vinyl DLP
"Weald and Woe - For the Good of the Realm - Hand Numbered, LTD100, Gold Vinyl LP (BBV Exclusive)",Weald and Woe,For the Good of the Realm,Vinyl,"Hand Numbered, LTD100, Gold Vinyl LP (BBV Exclusive)"
Cynic - Ascension Codes - Double LP Picture Disc!,Cynic,Ascension Codes,Vinyl,Double LP Picture Disc!
Electric Wizard - Dopethrone - DOUBLE LP Gatefold - Dark Green,Electric Wizard,Dopethrone,Vinyl,DOUBLE LP Gatefold - Dark Green
NAPALM DEATH - Coded Smears & More Uncommon Slurs - 2LP Transparent Red vinyl DLP,Napalm Death,Coded Smears & More Uncommon Slurs,Vinyl,2LP Transparent Red vinyl DLP
Mourir - Disgrâce- Black/Magenta Merge Vinyl LP,Mourir,Disgrâce,Vinyl,Black/Magenta Merge Vinyl LP
Katatonia - Dead End Kings 2xLP Gatefold Vinyl,Katatonia,Dead End Kings,Vinyl,
"OUBLIETTE - ETERNITY WHISPERS - LTD 100 ""PRIMOSRDIAL"" Vinyl LP",OUBLIETTE,ETERNITY WHISPERS,Vinyl,"LTD 100 ""PRIMOSRDIAL"" Vinyl LP"
Full of Hell - Coagulated Bliss - Orange/Yellow/Black Vinyl LP,Full Of Hell,Coagulated Bliss,Vinyl,Orange/Yellow/Black Vinyl LP
VALDRIN - Throne of the Lunar Soul - 2LP Double Vinyl (DLP),Valdrin,Throne of the Lunar Soul,Vinyl,2LP Double Vinyl (DLP)
Taubrą - THERIZO - brown / black merge heavy vinyl w/ splatters Vinyl LP,Taubrą,THERIZO,Vinyl,brown / black merge heavy vinyl w/ splatters Vinyl LP
SCAR SYMMETRY - The Singularity (Phase II - Xenotaph) - Limited Splatter Double LP,SCAR SYMMETRY,The Singularity (Phase II - Xenotaph),Vinyl,Xenotaph) - Limited Splatter Double LP
GLASS CASKET - Self-Titled EP - 50/50 with one side splatter Vinyl LP,GLASS CASKET,Self-Titled,Vinyl,50/50 with one side splatter Vinyl LP
[Damaged Sleeve] Electric Wizard - Come My Fanatics... 2xLP Gatefold,Electric Wizard,Come My Fanatics...,Vinyl,
UADA - Djinn- 2LP 180g Silver DLP Vinyl,UADA,Djinn,Vinyl,2LP 180g Silver DLP Vinyl
Akouphenom - Death·Chaos·Void - Orange Vinyl LP,Akouphenom,Death·Chaos·Void,Vinyl,Orange Vinyl LP
Job For a Cowboy (JFAC) Moon Healer - White/Purple Splatter (LTD 300) Vinyl LP,Job For a Cowboy,Moon Healer,Vinyl,
Selbst - DESPONDENCY CHORD PROGRESSIONS - Blue/Black Smoke Vinyl LP (staff pick!),Selbst,Despondency Chord Progressions,Vinyl,Blue/Black Smoke Vinyl LP (staff pick!)
Full of Hell - Garden of Burning Apparitions - Relapse Exclusive Gold Nugget Vinyl LP,Full Of Hell,Garden Of Burning Apparitions,Vinyl,Relapse Exclusive Gold Nugget Vinyl LP
Arch Enemy - Burning Bridges - Clear Green Vinyl LP,Arch Enemy,Burning Bridges,Vinyl,Clear Green Vinyl LP
Dying Fetus - Stop At Nothing - Pool of Blood Edition - Color LP Vinyl,Dying Fetus,Stop At Nothing,Vinyl,Pool of Blood Edition - Color LP Vinyl
Ingested - Ashes Lie Still (Smoke Black Vinyl LP),Ingested,Ashes Lie Still,Vinyl,
