description,artist,album,format,extra
Depressive Silence - V : Medieval Demons MMXIX - Grey/Black Swirl Vinyl LP,Depressive Silence,V : Medieval Demons MMXIX,Vinyl,Grey/Black Swirl Vinyl LP
Hamferð - Men Guðs hond er sterk - NUMBERED LTD 300 Sand Marbled Vinyl LP,Hamferð,Men Guðs hond er sterk,Vinyl,NUMBERED LTD 300 Sand Marbled Vinyl LP
[NESI Rarity] Rings Of Saturn - Ultu Ulla - Black Vinyl with Purple+Yellow Splatter LTD 100 - Asian Market Exclusive,Rings Of Saturn,Ultu Ulla,Vinyl,Black Vinyl with Purple+Yellow Splatter LTD 100 - Asian Market Exclusive
"UADA - Crepuscule Natura, LP (Bone Splatter) - LTD to 500",UADA,Crepuscule Natura,Vinyl,LTD to 500
"Chapel Of Disease – Echoes Of Light - ""Lavish Edition"" Vinyl LP",Chapel Of Disease,Echoes Of Light,Vinyl,"""Lavish Edition"" Vinyl LP"
Inquisition - Veneration of Medieval Mysticism and Cosmological Violence - Orange/Black Galaxy Vinyl LP,Inquisition,Veneration of Medieval Mysticism and Cosmological Violence,Vinyl,Orange/Black Galaxy Vinyl LP
Cannibal Corpse ‎- The Bleeding - Limited Splatter Vinyl LP (Import),Cannibal Corpse,The Bleeding,Vinyl,Limited Splatter Vinyl LP (Import)
hanging moss - Autumn Journeys & Reflections - Vinyl LP (Faidh x BBV),hanging moss,Autumn Journeys & Reflections,Vinyl,Vinyl LP (Faidh x BBV)
On Thorns I Lay - On Thorns I Lay - Limited Gold Vinyl LP,On Thorns I Lay,On Thorns I Lay,Vinyl,Limited Gold Vinyl LP
Enisum - Seasons Of Desolation - 2LP LTD 139 Clear/Black Splatter Vinyl DLP,ENISUM,Seasons of Desolation,Vinyl,2LP LTD 139 Clear/Black Splatter Vinyl DLP
Vomitory Revelation Nausea - Orange-Brown / Black Marbled Vinyl (LTD to 200),Vomitory,Revelation Nausea,Vinyl,
UADA - Devoid of Light -  180g Silver LP Vinyl,UADA,Devoid of Light,Vinyl,180g Silver LP Vinyl
[NESI] Unanimated – In The Light Of Darkness - Ltd 180 Japan Version Black + Purple Splatter - Asian Market Exclusive,Unanimated,In The Light of Darkness,Vinyl,Ltd 180 Japan Version Black + Purple Splatter - Asian Market Exclusive
Gosudar – Morbid Despotic Ritual LP (2 Variants Available),Gosudar,Morbid Despotic Ritual,Vinyl,
WARBRINGER -  WORLDS TORN ASUNDER  - LTD BLUE VINYL LP,WARBRINGER,WORLDS TORN ASUNDER,Vinyl,LTD BLUE VINYL LP
Axioma - Sepsis- Custom Color in Color with Splatter,Axioma,Sepsis,Vinyl,Custom Color in Color with Splatter
[NESI] Sigh - Hangman's Hymn - Musikalische Exequien 3LP - Asian Market Exclusive,Sigh,Hangman's Hymn,Vinyl,Musikalische Exequien 3LP - Asian Market Exclusive
[NESI-Rarity] Cannibal Corpse ‎– Gallery Of Suicide - LTD 100 Splatter Vinyl - Asian Market Exclusive,Cannibal Corpse,Gallery Of Suicide,Vinyl,LTD 100 Splatter Vinyl - Asian Market Exclusive
MARDUK  - Nightwing - Donation Edition Limited /300 Color Vinyl LP,Marduk,Nightwing,Vinyl,Donation Edition Limited /300 Color Vinyl LP
Moonspell - Irreligious - Limited White Vinyl LP,Moonspell,Irreligious,Vinyl,Limited White Vinyl LP
Moonlight Sorcery - Horned Lord of the Thorned Castle - Coke Bottle Green Vinyl LP,Moonlight Sorcery,Horned Lord of the Thorned Castle,Vinyl,Coke Bottle Green Vinyl LP
MARDUK  - Serpent Sermon - Limited /300 Splatter Vinyl LP + Booklet,Marduk,Serpent Sermon,Vinyl,Limited /300 Splatter Vinyl LP + Booklet
200 Stab Wounds - Manual Manic Procedures - *NUMBERED* Seaweed LTD 300 Vinyl LP (EU Import),200 Stab Wounds,Manual Manic Procedures,Vinyl,*NUMBERED* Seaweed LTD 300 Vinyl LP (EU Import)
Pestilence - Consuming Impulse - Red LP with fat black splatter,Pestilence,Consuming Impulse,Vinyl,Red LP with fat black splatter
Asinhell - Impii Hora - Crimson Red Marbled Vinyl - EU Import Variant,Asinhell,Impii Hora,Vinyl,Crimson Red Marbled Vinyl - EU Import Variant
MORBID ANGEL - GATEWAYS TO ANNIHILATION - FDR RED/BLACK MARBLE VINYL LP,Morbid Angel,Gateways To Annihilation,Vinyl,FDR RED/BLACK MARBLE VINYL LP
Cân Bardd - The Last Rain - 2LP Green/Black Swirl Vinyl DLP,Cân Bardd,The Last Rain,Vinyl,2LP Green/Black Swirl Vinyl DLP
UNDERGANG – Til Døden Os Skiller- Slime Green Vinyl LP,Undergang,Til Døden Os Skiller,Vinyl,Slime Green Vinyl LP
Mastodon - Leviathan - Gold Nugget Vinyl LP,Mastodon,Leviathan,Vinyl,Gold Nugget Vinyl LP
CHILDREN OF BODOM - HEXED - (180 GRAM INDIE EXCLUSIVE VINYL LP),CHILDREN OF BODOM,HEXED,Vinyl,(180 GRAM INDIE EXCLUSIVE VINYL LP)
KRISIUN - Apocalyptic Revelations - LIMITED EDITION TRANSPARENT RED VINYL,Krisiun,Apocalyptic Revelations,Vinyl,LIMITED EDITION TRANSPARENT RED VINYL
SUFFOCATION - Pierced from Within - LTD Splatter Vinyl LP,Suffocation,Pierced from Within,Vinyl,LTD Splatter Vinyl LP
Cannibal Corpse ‎- Gallery of Suicide - Bone/Red Splatter Vinyl LP - Import,Cannibal Corpse,Gallery Of Suicide,Vinyl,Bone/Red Splatter Vinyl LP - Import
Dying Fetus - Reign Supreme - Pool of Blood edition Color Vinyl LP,Dying Fetus,Reign Supreme,Vinyl,Pool of Blood edition Color Vinyl LP
Hour Of 13 - s/t (Hour of 13) - Limited Purple Vinyl LP,Hour Of 13,s/t,Vinyl,Limited Purple Vinyl LP
[NESI] Cannibal Corpse ‎- Butchered At Birth - Swirl Vinyl- Asian Market Exclusive,Cannibal Corpse,Butchered At Birth,Vinyl,Swirl Vinyl- Asian Market Exclusive
Bilwis - Hameln - Blue/Grey Galaxy Vinyl LP,BILWIS,Hameln,Vinyl,Blue/Grey Galaxy Vinyl LP
Wolvennest - The Dark Path To The Light -  Limited Smoke Vinyl LP in Gatefold [BBV Import],Wolvennest,The Dark Path To The Light,Vinyl,Limited Smoke Vinyl LP in Gatefold [BBV Import]
VICIOUS RUMORS - Soldiers Of The Night - LTD 200 Transparent Orange Vinyl LP,Vicious Rumors,Soldiers Of The Night,Vinyl,LTD 200 Transparent Orange Vinyl LP
Periphery - Icarus - Tan w/ Cobalt Splatter Indie Exclusive Vinyl LP,Periphery,Icarus,Vinyl,Tan w/ Cobalt Splatter Indie Exclusive Vinyl LP
"[NESI] Despised Icon - Consumed By Your Poison Splatter Vinyl, Ltd 200 - Asian Market Exclusive",Despised Icon,Consumed By Your Poison,Vinyl,Asian Market Exclusive
"ORBIT CULTURE - DESCENT -  Revolver Exclusive 2LP LTD 500, Red w/ Black Blob Vinyl",ORBIT CULTURE,DESCENT,Vinyl,"Revolver Exclusive 2LP LTD 500, Red w/ Black Blob Vinyl"
OPPRESSOR - Agony -  Transparent Black/White Splatter Vinyl LP (IMPORT),OPPRESSOR,Agony,Vinyl,Transparent Black/White Splatter Vinyl LP (IMPORT)
IMPALED NAZARENE - Ugra Karma - Limited Marble Vinyl LP,Impaled Nazarene,Ugra Karma,Vinyl,Limited Marble Vinyl LP
Job For a Cowboy (JFAC) Moon Healer - Ice Blue Marbled Vinyl LP,Job For a Cowboy,Moon Healer,Vinyl,
SUFFOCATION - Effigy of the Forgotten - Limited Transparent Blue vinyl LP,Suffocation,Effigy of the Forgotten,Vinyl,Limited Transparent Blue vinyl LP
Tesseract - Polaris Vinyl LP,TESSERACT,Polaris,Vinyl,
Kardashev - Liminal Rite - Pale-Blue/Grey Marbled Vinyl (Direct Import),Kardashev,Liminal Rite,Vinyl,Pale-Blue/Grey Marbled Vinyl (Direct Import)
Locrian - End Terrain - Lavender/Ghost color Mix w/ Splatter,Locrian,End Terrain,Vinyl,Lavender/Ghost color Mix w/ Splatter
Moonlight Sorcery - Horned Lord of the Thorned Castle - Vinyl LP (multi variant choices),Moonlight Sorcery,Horned Lord of the Thorned Castle,Vinyl,Vinyl LP (multi variant choices)
Unleashed - Sworn Allegiance - Orange-Brown Swirl Vinyl LP,Unleashed,Sworn Allegiance,Vinyl,Orange-Brown Swirl Vinyl LP
Tribulation - Where the Gloom Becomes Sound - Melt Vinyl LP,Tribulation,Where the Gloom Becomes Sound,Vinyl,Melt Vinyl LP
THERION - Symphony Masses - Ho Drakon Ho Megas - Black Vinyl LP,Therion,Symphony Masses - Ho Drakon Ho Megas,Vinyl,Ho Drakon Ho Megas - Black Vinyl LP
Between The Buried And Me - Automata - BLACK IN TRANS. HIGHLIGHTER YELLOW W/ BLACK HEAVY SPLATTER,Between The Buried And Me,Automata,Vinyl,BLACK IN TRANS. HIGHLIGHTER YELLOW W/ BLACK HEAVY SPLATTER
[NESI-Rarity] Mayhem - Ordo Ad Chao - *NUMBERED* Ltd 100 Splatter Vinyl + Poster - Asian Market Exclusive,Mayhem,Ordo Ad Chao,Vinyl,*NUMBERED* Ltd 100 Splatter Vinyl + Poster - Asian Market Exclusive
200 STAB WOUNDS - Slave To The Scalpel - Silver/Bloodred Splatter LTD 300 (numbered),200 Stab Wounds,Slave To The Scalpel,Vinyl,Silver/Bloodred Splatter LTD 300 (numbered)
Asking Alexandria - From Death To Destiny - 2 LTD Variants,Asking Alexandria,From Death To Destiny,Vinyl,2 LTD Variants
Suffocation - Despise The Sun - Butterfly Effect with Splatter Vinyl,Suffocation,Despise The Sun,Vinyl,Butterfly Effect with Splatter Vinyl
Hypocrisy - Abducted - Reissue 2023 - Red Vinyl (Gatefold LP),Hypocrisy,Abducted,Vinyl,Reissue 2023 - Red Vinyl (Gatefold LP)
[NESI] Sigh - Hangman's Hymn LP - Ltd 150 Splatter - Asian Market Exclusive,Sigh,Hangman's Hymn,Vinyl,Ltd 150 Splatter - Asian Market Exclusive
[NESI] Dark Tranquillity - The Gallery - Ltd 200 Swirl Vinyl,Dark Tranquillity,The Gallery,Vinyl,Ltd 200 Swirl Vinyl
Enisum - Seasons of Desolation - 2LP Aside/Bside Green/Black Vinyl DLP,ENISUM,Seasons of Desolation,Vinyl,2LP Aside/Bside Green/Black Vinyl DLP
Observers - The Age of the Machine Entities - Vinyl LP w/ signed card & Goodies,Observers,The Age of the Machine Entities,Vinyl,Vinyl LP w/ signed card & Goodies
Katatonia - Dance of December Souls - Pink & Black Marble - 30th Anniversary Edition Vinyl LP,Katatonia,Dance of December Souls,Vinyl,Pink & Black Marble - 30th Anniversary Edition Vinyl LP
Spastic Ink - Ink Compatible - Double Vinyl DLP,Spastic Ink,Ink Compatible,Vinyl,Double Vinyl DLP
"Weald and Woe - For the Good of the Realm - Hand Numbered, LTD100, Gold Vinyl LP (BBV Exclusive)",Weald and Woe,For the Good of the Realm,Vinyl,"Hand Numbered, LTD100, Gold Vinyl LP (BBV Exclusive)"
Cynic - Ascension Codes - Double LP Picture Disc!,Cynic,Ascension Codes,Vinyl,Double LP Picture Disc!
Electric Wizard - Dopethrone - DOUBLE LP Gatefold - Dark Green,Electric Wizard,Dopethrone,Vinyl,DOUBLE LP Gatefold - Dark Green
NAPALM DEATH - Coded Smears & More Uncommon Slurs - 2LP Transparent Red vinyl DLP,Napalm Death,Coded Smears & More Uncommon Slurs,Vinyl,2LP Transparent Red vinyl DLP
Mourir - Disgrâce- Black/Magenta Merge Vinyl LP,Mourir,Disgrâce,Vinyl,Black/Magenta Merge Vinyl LP
Katatonia - Dead End Kings 2xLP Gatefold Vinyl,Katatonia,Dead End Kings,Vinyl,
"OUBLIETTE - ETERNITY WHISPERS - LTD 100 ""PRIMOSRDIAL"" Vinyl LP",OUBLIETTE,ETERNITY WHISPERS,Vinyl,"LTD 100 ""PRIMOSRDIAL"" Vinyl LP"
Full of Hell - Coagulated Bliss - Orange/Yellow/Black Vinyl LP,Full Of Hell,Coagulated Bliss,Vinyl,Orange/Yellow/Black Vinyl LP
VALDRIN - Throne of the Lunar Soul - 2LP Double Vinyl (DLP),Valdrin,Throne of the Lunar Soul,Vinyl,2LP Double Vinyl (DLP)
Taubrą - THERIZO - brown / black merge heavy vinyl w/ splatters Vinyl LP,Taubrą,THERIZO,Vinyl,brown / black merge heavy vinyl w/ splatters Vinyl LP
SCAR SYMMETRY - The Singularity (Phase II - Xenotaph) - Limited Splatter Double LP,SCAR SYMMETRY,The Singularity (Phase II - Xenotaph),Vinyl,Xenotaph) - Limited Splatter Double LP
GLASS CASKET - Self-Titled EP - 50/50 with one side splatter Vinyl LP,GLASS CASKET,Self-Titled,Vinyl,50/50 with one side splatter Vinyl LP
[Damaged Sleeve] Electric Wizard - Come My Fanatics... 2xLP Gatefold,Electric Wizard,Come My Fanatics...,Vinyl,
UADA - Djinn- 2LP 180g Silver DLP Vinyl,UADA,Djinn,Vinyl,2LP 180g Silver DLP Vinyl
Akouphenom - Death·Chaos·Void - Orange Vinyl LP,Akouphenom,Death·Chaos·Void,Vinyl,Orange Vinyl LP
Job For a Cowboy (JFAC) Moon Healer - White/Purple Splatter (LTD 300) Vinyl LP,Job For a Cowboy,Moon Healer,Vinyl,
Selbst - DESPONDENCY CHORD PROGRESSIONS - Blue/Black Smoke Vinyl LP (staff pick!),Selbst,Despondency Chord Progressions,Vinyl,Blue/Black Smoke Vinyl LP (staff pick!)
Full of Hell - Garden of Burning Apparitions - Relapse Exclusive Gold Nugget Vinyl LP,Full Of Hell,Garden Of Burning Apparitions,Vinyl,Relapse Exclusive Gold Nugget Vinyl LP
Arch Enemy - Burning Bridges - Clear Green Vinyl LP,Arch Enemy,Burning Bridges,Vinyl,Clear Green Vinyl LP
Dying Fetus - Stop At Nothing - Pool of Blood Edition - Color LP Vinyl,Dying Fetus,Stop At Nothing,Vinyl,Pool of Blood Edition - Color LP Vinyl
Ingested - Ashes Lie Still (Smoke Black Vinyl LP),Ingested,Ashes Lie Still,Vinyl,
Lake of Tears – Headstones – Limited Purple & Black Splatter Vinyl LP,Lake of Tears,Headstones,Vinyl,Limited Purple & Black Splatter Vinyl LP
Cattle Decapitation - Death Atlas - Blot out the Sun Vinyl (2LP),Cattle Decapitation,Death Atlas,Vinyl,Blot out the Sun Vinyl (2LP)
Blut Aus Nord - Disharmonium - Nahab - LTD 300 SoM EXCLUSIVE Beer/Black Splatter Gatefold- Import,Blut Aus Nord,Disharmonium,Vinyl,Nahab - LTD 300 SoM EXCLUSIVE Beer/Black Splatter Gatefold- Import
Amorphis - Elegy - 2023 Reissue - Blue & White Galaxy Merge - 2LP Vinyl Gatefold,Amorphis,Elegy,Vinyl,2023 Reissue - Blue & White Galaxy Merge - 2LP Vinyl Gatefold
Sleep Token – Take Me Back To Eden - Double Vinyl LP,Sleep Token,Take Me Back To Eden,Vinyl,Double Vinyl LP
Deafheaven - Sunbather-  10th Anniversary Remaster - Indie Exclusive - 2xLP - Orange / Yellow / Pink Haze Vinyl,Deafheaven,Sunbather,Vinyl,Indie Exclusive - 2xLP - Orange / Yellow / Pink Haze Vinyl
[NESI] Cannibal Corpse ‎– Kill - Color Splatter Vinyl Asian Market Exclusive,Cannibal Corpse,Kill,Vinyl,Color Splatter Vinyl Asian Market Exclusive
Narzissus - Akt III: Erlösung - Black/Brown Marble Vinyl LP,Narzissus,Akt III: Erlösung,Vinyl,Black/Brown Marble Vinyl LP
Obituary - Obituary - Halloween Orange and Black Galaxy Merge Vinyl LP,Obituary,Obituary,Vinyl,Halloween Orange and Black Galaxy Merge Vinyl LP
Engulfed - Unearthly Litanies of Despair - Red/Black Splatter Vinyl LP,Engulfed,Unearthly Litanies of Despair,Vinyl,Red/Black Splatter Vinyl LP
Ayyur - Prevail - Vinyl LP - LTD to 100,Ayyur,Prevail,Vinyl,Vinyl LP - LTD to 100
The Mosaic Window - Plight of Acceptance - *LTD 100* Splatter Vinyl LP,The Mosaic Window,Plight of Acceptance,Vinyl,*LTD 100* Splatter Vinyl LP
END - The Sin of Human Frailty - Bone in Milky Clear with Splatter Vinyl LP,END,The Sin Of Human Frailty,Vinyl,Bone in Milky Clear with Splatter Vinyl LP
The Night Eternal - Fatale - Grey Vinyl LP,The Night Eternal,Fatale,Vinyl,Grey Vinyl LP
DISBELIEF - Killing Karma - LTD 666 Fire Marble Vinyl LP,DISBELIEF,Killing Karma,Vinyl,LTD 666 Fire Marble Vinyl LP
Blut Aus Nord - 777 - THE DESANCTIFICATION - Transparent Blue Vinyl LP,Blut Aus Nord,777,Vinyl,THE DESANCTIFICATION - Transparent Blue Vinyl LP
Origin - Chaosmos - Limited to 250 (handnumbered) - Picturedisc,Origin,Chaosmos,Vinyl,Limited to 250 (handnumbered) - Picturedisc
Vale Of Pnath - Between The Worlds Of Life And Death - Limited 200 Merge Vinyl LP,VALE OF PNATH,Between The Worlds Of Life And Death,Vinyl,Limited 200 Merge Vinyl LP
STORTREGN - FINITUDE - Xeno Variant (LTD 150) - Vinyl LP,STORTREGN,FINITUDE,Vinyl,Xeno Variant (LTD 150) - Vinyl LP
Demolition Hammer - Tortured Existence (Re-issue 2023) - Ltd. transp. blue LP - BBV Import,Demolition Hammer,Tortured Existence,Vinyl,Ltd. transp. blue LP - BBV Import
Nekrasov - Lust of Consciousness - Translucent Lava Orange Vinyl,Nekrasov,Lust of Consciousness,Vinyl,Translucent Lava Orange Vinyl
Moonspell - Night Eternal - 2LP Deluxe Vinyl DLP,Moonspell,Night Eternal,Vinyl,2LP Deluxe Vinyl DLP
[Blemish] Tiamat - Clouds - LTD 200 White Vinyl LP,Tiamat,Clouds,Vinyl,LTD 200 White Vinyl LP
SEPTAGE - Septic Worship - Clear/Red Galaxy Vinyl LP,Septage,Septic Worship,Vinyl,Clear/Red Galaxy Vinyl LP
"Chapel Of Disease – Echoes Of Light - ""Echoes Edition"" Vinyl LP",Chapel Of Disease,Echoes Of Light,Vinyl,"""Echoes Edition"" Vinyl LP"
The Black Dahlia Murder - Verminous - Nuclear Slime Green Vinyl,The Black Dahlia Murder,Verminous,Vinyl,Nuclear Slime Green Vinyl
ENSLAVED - Below The Light - Laguna Vinyl LP,Enslaved,Below The Light,Vinyl,Laguna Vinyl LP
Mental Cruelty - Zwielicht (Ltd. Gatefold white 180g LP) - BBV Import,Mental Cruelty,Zwielicht,Vinyl,BBV Import
Spirit Possession -  Of The Sign...  - Vinyl LP (Multiple Limited Variants),Spirit Possession,Of The Sign...,Vinyl,Vinyl LP (Multiple Limited Variants)
Xasthur - All Reflections Drained - Double Silver/ Blue Marble Vinyl DLP,Xasthur,All Reflections Drained,Vinyl,Double Silver/ Blue Marble Vinyl DLP
Grand Cadaver- Deities Of Deathlike Sleep - Vortex of Blood edition (LTD to 150),Grand Cadaver,Deities Of Deathlike Sleep,Vinyl,
Animals As Leaders - The Joy of Motion - LTD Mint Green/Orange with Black Splatter,Animals As Leaders,The Joy of Motion,Vinyl,LTD Mint Green/Orange with Black Splatter
Cannibal Corpse - Eaten Back to Life - Red Swirl Vinyl LP,Cannibal Corpse,Eaten Back to Life,Vinyl,Red Swirl Vinyl LP
Insomnium - Winter's Gate - 2024 Reissue - Limited 180g Gray Vinyl LP,Insomnium,Winter's Gate,Vinyl,2024 Reissue - Limited 180g Gray Vinyl LP
WALDGEFLÜSTER – FEMUNDSMARKA - 2LP LTD 300 CLEAR VINYL DLP,WALDGEFLÜSTER,FEMUNDSMARKA,Vinyl,2LP LTD 300 CLEAR VINYL DLP
Dismember - Dismember [Indie Exclusive] Gold Marble,Dismember,Dismember,Vinyl,
LIMBONIC ART - Moon In The Scorpio - 2LP Yellow/Blue Color in Color Double Vinyl LP,Limbonic Art,Moon In The Scorpio,Vinyl,2LP Yellow/Blue Color in Color Double Vinyl LP
Sentenced - Amok - Clear w/ Red Smoke Vinyl LP,Sentenced,Amok,Vinyl,Clear w/ Red Smoke Vinyl LP
*Blemish* Grima - Frostbitten - Limited Blue/White Galaxy Vinyl LP,Grima,Frostbitten,Vinyl,Limited Blue/White Galaxy Vinyl LP
Sanguisugabogg - Pornographic Seizures - EP (black LP & Poster) - BBV Import,Sanguisugabogg,Pornographic Seizures,Vinyl,EP (black LP & Poster) - BBV Import
Ad Nauseam - Imperative Imperceptible Impulse- 2LP Galaxy Vinyl DLP,Ad Nauseam,Imperative Imperceptible Impulse,Vinyl,2LP Galaxy Vinyl DLP
Vomitory - Blood Rapture - Swamp Green Marbled LP Vinyl (limited to 200),Vomitory,Blood Rapture,Vinyl,Swamp Green Marbled LP Vinyl (limited to 200)
"VORGA - Striving Toward Oblivion - LTD 100 ""LP9"" Splatter Vinyl LP",VORGA,Striving Toward Oblivion,Vinyl,"LTD 100 ""LP9"" Splatter Vinyl LP"
Currents - The Death We Seek - White Vinyl Record,Currents,The Death We Seek,Vinyl,White Vinyl Record
Inquisition - Veneration of Medieval Mysticism and Cosmological Violence - Clear Vinyl LP,Inquisition,Veneration of Medieval Mysticism and Cosmological Violence,Vinyl,Clear Vinyl LP
Moonspell - Extinct - 2LP Limited Yellow (band exclusive) Vinyl LP,Moonspell,Extinct,Vinyl,2LP Limited Yellow (band exclusive) Vinyl LP
Olhava - Sacrifice - 2LP *SPECIAL EDITION* Splatter DLP,OLHAVA,Sacrifice,Vinyl,2LP *SPECIAL EDITION* Splatter DLP
DARKTHRONE - Under A Funeral Moon - 30th Anniversary Marble Vinyl LP,Darkthrone,Under a Funeral Moon,Vinyl,30th Anniversary Marble Vinyl LP
Gothmog - Medieval Journeys - Black/White Swirl Vinyl LP,Gothmog,Medieval Journeys,Vinyl,Black/White Swirl Vinyl LP
Sylvaine - Nova - Blue/Purple/Marble - LTD. 400 Vinyl LP,SYLVAINE,Nova,Vinyl,Blue/Purple/Marble - LTD. 400 Vinyl LP
200 STAB WOUNDS - Slave To The Scalpel - 180g Audiophile Black Vinyl LP *Restock*,200 Stab Wounds,Slave To The Scalpel,Vinyl,180g Audiophile Black Vinyl LP *Restock*
Nornír - Skuld - Clear/Black Galaxy Vinyl LP,Nornír,Skuld,Vinyl,Clear/Black Galaxy Vinyl LP
Death -  Scream Bloody Gore (Reissue) Vinyl LP,Death,Scream Bloody Gore,Vinyl,
Antichrist Siege Machine - Vengeance Of Eternal Fire - Blood Cloud Vinyl LP,Antichrist Siege Machine,Vengeance Of Eternal Fire,Vinyl,Blood Cloud Vinyl LP
Bolt Thrower Mercenary - Yellow / Black Marbled Vinyl LP,Bolt Thrower,Mercenary,Vinyl,
Non Est Deus - Impious - Trans. Blue Vinyl LP,Non Est Deus,Impious,Vinyl,Trans. Blue Vinyl LP
Torn Within - The Peregrination EP - Hand-Numbered Vinyl,Torn Within,The Peregrination,Vinyl,Hand-Numbered Vinyl
Suffocation - Human Waste (Reissue) - Tri-Color Splatter - LP Vinyl,Suffocation,Human Waste,Vinyl,Tri-Color Splatter - LP Vinyl
DREAM UNENDING & WORM - STARPATH (SPLIT) - SEA-BLUE / BABY-BLUE MERGE,Dream Unending & Worm,STARPATH (SPLIT),Vinyl,SEA-BLUE / BABY-BLUE MERGE
Pig Destroyer - Prowler In The Yard - Orange with Black Smoke,Pig Destroyer,Prowler In The Yard,Vinyl,Orange with Black Smoke
Sentenced - North From Here - Green with Black Smoke Vinyl LP,Sentenced,North From Here,Vinyl,Green with Black Smoke Vinyl LP
DISSECTION - THE SOMBERLAIN - DOUBLE LP GATEFOLD COLORED - Limited,Dissection,THE SOMBERLAIN,Vinyl,DOUBLE LP GATEFOLD COLORED - Limited
TIAMAT - Skeleton Skeletron - Limited Gold Vinyl LP,Tiamat,Skeleton Skeletron,Vinyl,Limited Gold Vinyl LP
Grave - You'll Never See... -  Cherry Red Vinyl LP,Grave,You'll Never See...,Vinyl,Cherry Red Vinyl LP
GOJIRA - The Way of All Flesh - Double Vinyl BLACK LP,GOJIRA,The Way of All Flesh,Vinyl,Double Vinyl BLACK LP
Endseeker - Global Worming - Clear Dust LTD 300 (numbered) Vinyl LP,Endseeker,Global Worming,Vinyl,Clear Dust LTD 300 (numbered) Vinyl LP
"EMPEROR - PROMETHEUS: THE DISCIPLINE OF FIRE & DEMISE- Color LP (Half-Speed, Black, Gray, White, Blue Swirl)",Emperor,PROMETHEUS: THE DISCIPLINE OF FIRE & DEMISE,Vinyl,"Color LP (Half-Speed, Black, Gray, White, Blue Swirl)"
Slayer - Repentless - Transparent Red W/ Orange & Black Vinyl LP,Slayer,Repentless,Vinyl,Transparent Red W/ Orange & Black Vinyl LP
Sulphur Aeon - Seven Crowns and Seven Seals - Red Corona Effect + Slipcase,Sulphur Aeon,Seven Crowns And Seven Seals,Vinyl,Red Corona Effect + Slipcase
The Black Dahlia Murder - Miasma - Emerald Green Marbled Vinyl LP,The Black Dahlia Murder,Miasma,Vinyl,Emerald Green Marbled Vinyl LP
GRIFT – DOLT LAND - LTD 300 GOLD VINYL LP,Grift,Dolt Land,Vinyl,LTD 300 GOLD VINYL LP
Numenorean - Home - LP Gatefold Colored - Limited to 350,Numenorean,Home,Vinyl,LP Gatefold Colored - Limited to 350
"Sadist - Firescorched - LTD 200, Hand Numbered Red Smoke Vinyl",Sadist,Firescorched,Vinyl,"LTD 200, Hand Numbered Red Smoke Vinyl"
Periphery - Clear - Clear Indie Exclusive Vinyl LP,Periphery,Clear,Vinyl,Clear Indie Exclusive Vinyl LP
