description,artist,album,format,extra
"Dagon ""They Who Abideth Amidst the Poison"" CD",Dagon,They Who Abideth Amidst the Poison,CD,
"Masada ""Hideous Rot"" CD",Masada,Hideous Rot,CD,
"Empire of Tharaphita ""Distant Echoes Through Blood Infinite"" DLP",Empire of Tharaphita,Distant Echoes Through Blood Infinite,Vinyl,
"Blind Illusion ""The Demos Ultimate Anthology Vol. 2 (1980-1986)"" DLP",Blind Illusion,The Demos Ultimate Anthology Vol. 2 (1980-1986),Vinyl,
"Arpia ""De Lusioni"" DLP",Arpia,De Lusioni,Vinyl,
"Manilla Road ""Gates of Fire"" DLP",Manilla Road,Gates of Fire,Vinyl,
"Steelwitch ""Steelwitch"" LP",Steelwitch,Steelwitch,Vinyl,
"Catasexual Urge Motivation ""The Encyclopedia Of Serial Murders"" DLP",Catasexual Urge Motivation,The Encyclopedia Of Serial Murders,Vinyl,
"Arkona ""An Eternal Curse Of The Pagan Godz"" LP",Arkona,An Eternal Curse of the Pagan Godz,Vinyl,
"Mysteries ""Promo '94"" LP",Mysteries,Promo '94,Vinyl,
"Mysteries ""In The Dark And Sodomy"" LP",Mysteries,In The Dark And Sodomy,Vinyl,
"Astaroth / Sacrilegio ""Ultra Metal"" split LP",Astaroth / Sacrilegio,Ultra Metal,Vinyl,
"Graveland ""Carpathian Wolves"" LP",Graveland,Carpathian Wolves,Vinyl,
"Jim Kirkwood ""Where Shadows Lie"" LP",JIM KIRKWOOD,Where Shadows Lie,Vinyl,
"Pest ""Buried"" LP",Pest,Buried,Vinyl,
"Carnage ""The Day Man Lost / Infestation of Evil"" LP",Carnage,The Day Man Lost / Infestation of Evil,Vinyl,
"Mother's Ruin ""Road to Ruin"" LP",Mother's Ruin,Road to Ruin,Vinyl,
"Apogeion ""Astrolatria I: Initiatio"" LP",Apogeion,Astrolatria I: Initiatio,Vinyl,
"Südwind / Blood Ritual ""The Silence of Death Shall Follow"" split LP",Südwind / Blood Ritual,The Silence of Death Shall Follow,Vinyl,
"Skarnio ""Horrores Da Vida"" LP",Skarnio,Horrores Da Vida,Vinyl,
Elfenbloed / Kwelhekse split LP,Elfenbloed / Kwelhekse,Split,Vinyl,
"Valhalla ""Unearthed"" LP",Valhalla,Unearthed,Vinyl,
"Jim Kirkwood ""Uruk-Hai"" LP",JIM KIRKWOOD,Uruk-Hai,Vinyl,
"Burshtyn ""Безвірник"" LP",Burshtyn,Безвірник,Vinyl,
"Warlord ""The Holy Empire"" LP + 10""",Warlord,The Holy Empire,Vinyl,
"Order From Chaos ""Stillbirth Machine"" LP",Order From Chaos,Stillbirth Machine,Vinyl,
"Bone Awl ""An Obelisk Marks The Line"" LP (2nd press)",Bone Awl,An Obelisk Marks The Line,Vinyl,
"Dysentery ""Brings Me No Tears"" LP",Dysentery,Brings Me No Tears,Vinyl,
"Arpia ""Bianco Zero"" LP",Arpia,Bianco Zero,Vinyl,
"Grausamkeit ""Splits & B-Sides"" LP",Grausamkeit,Splits & B-Sides,Vinyl,
Magnus “Trash Speed Blood” LP,Magnus,Trash Speed Blood,Vinyl,
"Reencarnación ""Alucinogeno"" LP",Reencarnación,Alucinogeno,Vinyl,
"Arpia ""Resurrezione E Metamorfosi"" LP",Arpia,Resurrezione E Metamorfosi,Vinyl,
"Barathrum ""Devilry"" pic LP",Barathrum,Devilry,Vinyl,
"Dragonne ""On Dragon's Wings"" LP",Dragonne,On Dragon's Wings,Vinyl,
"Vemod ""Demo 1998"" LP",Vemod,Demo 1998,Vinyl,
"Vritra ""Deinde Signum Mortifera"" LP",Vritra,Deinde Signum Mortifera,Vinyl,
"Jim Kirkwood ""King of the Golden Hall"" LP",JIM KIRKWOOD,King of the Golden Hall,Vinyl,
"Taranis ""The Wicked"" LP",Taranis,The Wicked,Vinyl,
"Omega ""The Prophet"" LP",Omega,The Prophet,Vinyl,
"Acid ‎""Hooked On Metal"" LP",Acid,Hooked On Metal,Vinyl,
"Scald ""North Winds"" LP",Scald,North Winds,Vinyl,
"Culprit ""First Offense"" LP",Culprit,First Offense,Vinyl,
"Drawn And Quartered ""The One Who Lurks"" LP",Drawn And Quartered,The One Who Lurks,Vinyl,
"Sortilège ""Métamorphose"" LP",Sortilège,Métamorphose,Vinyl,
"Amputation ""Slaughtered in the Arms of God"" LP",Amputation,Slaughtered In The Arms Of God,Vinyl,
"Morsun Diaboli ""...i zmieni się rzeczywistość"" LP",Morsun Diaboli,...I Zmieni Się Rzeczywistość,Vinyl,
"Sshe Retina Stimulants ""Kusa'i"" LP",Sshe Retina Stimulants,Kusa'i,Vinyl,
"Trollheim ""Im Heidenwald Elfgards & Ensomhet"" LP",Trollheim,Im Heidenwald Elfgards & Ensomhet,Vinyl,
"Majestic Ryte ""Majestic Ryte"" LP",Majestic Ryte,Majestic Ryte,Vinyl,
"Thyabhorrent / Abhorrent ""Occultus Brujeria"" LP",Thyabhorrent / Abhorrent,Occultus Brujeria,Vinyl,
"Darkthule ""Awakening Of The Ancient Past / The Coming From The Past"" LP",Darkthule,Awakening of the Ancient Past / The Coming From the Past,Vinyl,
"Grizelda ""Grizelda"" LP",Grizelda,Grizelda,Vinyl,
"Adversam ""Animadverte"" LP",Adversam,Animadverte,Vinyl,
"Sat’yr ""Sat’yr Demo 1983"" LP",Sat’yr,Sat’yr Demo 1983,Vinyl,
"Cirrhus ""Unimpeachable Madness"" LP",Cirrhus,Unimpeachable Madness,Vinyl,
"Demon Eyes ""Rites of Chaos"" LP",Demon Eyes,Rites of Chaos,Vinyl,
"Asia ""Armed to the Teeth"" LP",Asia,Armed to the Teeth,Vinyl,
"OTT ""Demos 1987 & 1989"" LP",OTT,Demos 1987 & 1989,Vinyl,
"Sondor ""Invoking The Ancient Blood Of The Pagan Gods"" LP",Sondor,Invoking The Ancient Blood Of The Pagan Gods,Vinyl,
"Warlord ""Rising Out of the Ashes"" LP + 7""",Warlord,Rising Out of the Ashes,Vinyl,
Hideous Chaos / Front Terror split LP,Hideous Chaos / Front Terror,Split,Vinyl,
"Mooncitadel ‎""Onyx Castles And Silver Keys"" LP",Mooncitadel,Onyx Castles and Silver Keys,Vinyl,
"Grifteskymfning ""Demo 08"" LP",Grifteskymfning,Demo 08,Vinyl,
"Corneus ""Des Gehörnten Saat / Teufelschmand"" LP",Corneus,Des Gehörnten Saat / Teufelschmand,Vinyl,
"DoomSword ""DoomSword"" LP",DoomSword,DoomSword,Vinyl,
"Blind Assassin ""Put to the Sword"" LP",Blind Assassin,Put to the Sword,Vinyl,
"Black Sword Thunder Attack ""March of the Damned"" tape",Black Sword Thunder Attack,March of the Damned,Cassette,
"Cirrhus ""Cirrhus"" tape",Cirrhus,Cirrhus,Cassette,
"Glacier ""Spears of the Empire"" tape",Glacier,Spears of the Empire,Cassette,
"Brainstorm ""Lords"" tape",Brainstorm,Lords,Cassette,
"Thangorodrim ""Towers of the Teeth"" tape",Thangorodrim,Towers of the Teeth,Cassette,
"Lim Dul ""Desolate Melancholy of Shadows Reign"" tape",Lim Dul,Desolate Melancholy of Shadows Reign,Cassette,
"Cirrhus ""Unimpeachable Madness"" tape",Cirrhus,Unimpeachable Madness,Cassette,
"Sentient Divide ""Haunted by Cruelty"" tape",Sentient Divide,Haunted by Cruelty,Cassette,
"Eunuch ""Winter 2013 Electronic Manifestation"" tape",Eunuch,Winter 2013 Electronic Manifestation,Cassette,
"Gauntlet Ring ""Promo Tape ‘24"" tape",Gauntlet Ring,Promo Tape ‘24,Cassette,
"Doublesion ""Lydian"" tape",Doublesion,Lydian,Cassette,
"Karmic Void ""Armageddon Sun"" tape",Karmic Void,Armageddon Sun,Cassette,
"Second Hell / Skull Crusher ""Metal Deadness"" split tape",Second Hell / Skull Crusher,Metal Deadness,Cassette,
"Grizelda ""A War Drenched in Fantasy"" tape",Grizelda,A War Drenched In Fantasy,Cassette,
