description,artist,album,format,extra
"Malignant Altar - Retribution Of Jealous Gods 12"" EP",Malignant Altar,Retribution of Jealous Gods,Vinyl,Black 2022 press vinyl
"Dagger Lust - Siege Bondage Adverse To The Godhead 12"" EP",Dagger Lust,Siege Bondage Adverse to the Godhead,Vinyl,Black 1st press vinyl
Cough - Ritual Abuse 2xLP,Cough,Ritual Abuse,Vinyl,Ice w/ Splatter 2024 press
Convulse - World Without God Extended 2xLP,Convulse,World Without God Extended,Vinyl,Green 2022 press vinyl
Mouth Of The Architect - The Ties That Blind 2xLP,Mouth Of The Architect,The Ties That Blind,Vinyl,Color-In-Color 2018 press
USED - Cult Of Luna - The Long Road North 2xLP,Cult Of Luna,The Long Road North,Vinyl,White 2022 press vinyl
Cave In - Heavy Pendulum 2xLP,Cave In,Heavy Pendulum,Vinyl,Red 2022 press vinyl
Solbrud - IIII 2xLP,Solbrud,IIII,Vinyl,Black 2024 press vinyl
Void Of Silence – The Sky Over 2xLP,Void Of Silence,The Sky Over,Vinyl,Black 2018 press vinyl
Yakuza - Sutra 2xLP,Yakuza,Sutra,Vinyl,Gold 2023 press vinyl
Anatomy - Twisting Depths Of Horror 2xLP,Anatomy,Twisting Depths Of Horror,Vinyl,Clear 2021 press vinyl
Cleanteeth ‎– Pushing Rope 2xLP,Cleanteeth ‎,Pushing Rope,Vinyl,Swirl 2014 press vinyl
Pilgrim - Misery Wizard 2xLP,Pilgrim,Misery Wizard,Vinyl,Green w/ Splatter 2020 press vinyl
Yob - Clearing The Path To Ascend 2xLP,Yob,Clearing The Path To Ascend,Vinyl,Gold Nugget 2023 press
BLEMISH - Ayreon - Transitus 2xLP,Ayreon,Transitus,Vinyl,Yellow Marble 1st press vinyl
Yakuza - Sutra 2xLP,Yakuza,Sutra,Vinyl,Black 2023 press vinyl
Santa Sangre - Feast For The New Gods 2xLP,Santa Sangre,Feast For The New Gods,Vinyl,Metallic Gold in Clear w/ Splatter 2022 press vinyl
Leviathan (USA) - Unfailing Fall Into Naught 2xLP,Leviathan,Unfailing Fall Into Naught,Vinyl,Green/Yellow 2021 press vinyl
Sun Worship - Emanations Of Desolation 2xLP,Sun Worship,Emanations Of Desolation,Vinyl,Black 2019 press vinyl
Intronaut - The Direction Of Last Things 2xLP,Intronaut,The Direction Of Last Things,Vinyl,Purple 2022 press vinyl
Rosetta - The Galilean Satellites 2xLP,Rosetta,The Galilean Satellites,Vinyl,Aqua/Mustard 2018 press
Converge & Chelsea Wolfe - Bloodmoon: I 2xLP,Converge & Chelsea Wolfe,Bloodmoon: I,Vinyl,Red/Blue Mix 1st press vinyl
Lesbian - Hallucinogenesis 2xLP,Lesbian,Hallucinogenesis,Vinyl,Orange 2016 press vinyl
Tav - Tav 2xLP,Tav,Tav,Vinyl,Black 1st press vinyl
Wolves In The Throne Room - Primordial Arcana Deluxe 2xLP,Wolves In The Throne Room,Primordial Arcana Deluxe,Vinyl,White/Silver/Green Merge w/ Splatter 1st press vinyl
Northless - Last Bastion Of Cowardice 2xLP,Northless,Last Bastion Of Cowardice,Vinyl,Orange 2017 press vinyl
Converge & Chelsea Wolfe - Bloodmoon: I 2xLP,Converge & Chelsea Wolfe,Bloodmoon: I,Vinyl,Black/Red/Blue Mix 2022 press vinyl
Triple-B Records - America's Hardcore Volume 5 2xLP,Triple-B Records,America's Hardcore Volume 5,Vinyl,Clear/Gold + Clear/Silver Splatter 2021 press
Grief - ...And Man Will Become The Hunted 2xLP,Grief,...And Man Will Become The Hunted,Vinyl,Oxblood 2023 press vinyl
Fulgor - Mystical Black Magic Metal 3xLP,Fulgor,Mystical Black Magic Metal,Vinyl,Black 1st press vinyl
"Process Black - Countdown Failure 7""",Process Black,Countdown Failure,Vinyl,Tri-color 1st press vinyl
"Crowning / Swallows Nest – Split 7""",Crowning / Swallows Nest,Split,Vinyl,Black 2018 press vinyl
"Hides – Hides 7""",Hides,Hides,Vinyl,White 2011 press vinyl (limited/250)
"USED - Countdown To Oblivion - Brain Surgery For Beginners 7""",Countdown To Oblivion,Brain Surgery For Beginners,Vinyl,Black vinyl
"Serpents Of Shiva - Serpents Of Shiva 7""",Serpents Of Shiva,Serpents Of Shiva,Vinyl,Clear/Yellow Split w/ Splatter 1st press vinyl
"Rough Ground - No Hard Feelings 7""",Rough Ground,No Hard Feelings,Vinyl,Black 1st press vinyl
"Bulls Shitt - This Is... Bulls Shitt 7""",Bulls Shitt,This Is... Bulls Shitt,Vinyl,Black 2023 press vinyl
"Coma Regalia / Capacities - Split 7""",Coma Regalia / Capacities,Split,Vinyl,Black 2012 press vinyl
"Systematic Elimination / Death Cult Ritual - Anti-Cult Assassins 7""",Systematic Elimination / Death Cult Ritual,Anti-Cult Assassins,Vinyl,Black 2021 press vinyl
"Phantasmagore - Abominations... 7""",Phantasmagore,Abominations...,Vinyl,Black 1st press vinyl
"King Parrot / Frankenbok – Shit On The Liver / Genetic Lego 7""",King Parrot / Frankenbok,Shit On The Liver / Genetic Lego,Vinyl,Green 2015 press vinyl
"The Wrong Side - Dump Truck Demo 7""",The Wrong Side,Dump Truck Demo,Vinyl,White 2014 press vinyl
"Abrasion - Demonstration 7""",Abrasion,Demonstration,Vinyl,Clear 2020 press vinyl
"Most Precious Blood - Demo 7""",Most Precious Blood,Demo,Vinyl,Color 2023 press vinyl
"USED - Nothing / Integrity - Splitsville 7""",Nothing / Integrity,Splitsville,Vinyl,Neon Magenta 2021 press
"Iwakura / Gas Up Yr Hearse! – Split 7""",Iwakura / Gas Up Yr Hearse!,Split,Vinyl,Clear w/ White & Pink Splatter 2016 press vinyl (limited/100)
"Tired Of Life – Suicide Anthems 7""",Tired Of Life,Suicide Anthems,Vinyl,White & Pink 2013 press vinyl
"Sainte Marie Des Loups - Obéissance... Jusqu'à la mort ! 7""",Sainte Marie Des Loups,Obéissance... Jusqu'à la mort !,Vinyl,Black 2022 press vinyl
"Nex Carnis - Black Eternity 7""",Nex Carnis,Black Eternity,Vinyl,Black 2019 press vinyl
"Throane - Une Balle Dans Le Pied 7""",Throane,Une Balle Dans Le Pied,Vinyl,1st Issue Packaging w/ CD & Silver/Black vinyl
"Exhaustion – Demo 7""",Exhaustion,Demo,Vinyl,Transparent Purple 2014 press vinyl
"Burden - Year Of The Wolf 7""",Burden,Year Of The Wolf,Vinyl,Orange Opaque 1st press
"Atavisma - On The Ruins Of A Fallen Empire 7"" EP",Atavisma,On the Ruins of a Fallen Empire,Vinyl,Black 1st press vinyl
"USED - Last In Line - Crosswalk EP 7""",Last In Line,Crosswalk,Vinyl,Black vinyl
"Rain Of Salvation - A War Outside And Within 7""",Rain Of Salvation,A War Outside And Within,Vinyl,Pink w/ Scarlet Splatter 3rd press vinyl
"USED - Antediluvian – Septentrional Theophany 7""",Antediluvian,Septentrional Theophany,Vinyl,Black 2013 press vinyl
"USED - Prong - Turnover 7""",Prong,Turnover,Vinyl,Green 2014 press vinyl
USED - Fantomă Sânge – The Siren Of Black Lake Cassette,Fantomă Sânge,The Siren Of Black Lake,Cassette,Cassette 2021
Cuff - 2010 / 2015 EP Collection Cassette,Cuff,2010 / 2015 EP Collection,Cassette,Blue Tint Shell 2015 press
Serpesta - Inevitable Demise Cassette,Serpesta,Inevitable Demise,Cassette,Cassette Tape 1st press
USED - Ildskær – Paa Daekket Kalder De Dode Tape,Ildskær,Paa Daekket Kalder De Dode,Cassette,Black Shell 2021
Conduit - Technicolor Ecstasy Tape,Conduit,Technicolor Ecstasy,Cassette,Glitter Shell 2022
Fister – IV Cassette,Fister,IV,Cassette,Silver Shell 2015 press
Mal - Malbum Cassette,Mal,Malbum,Cassette,Cassette 2022
Dream Theater - Distance Over Time Cassette (NESI),Dream Theater,Distance Over Time,Cassette,Blue Shell 2021 press
Cruelty - Grey / Decay Cassette,Cruelty,Grey / Decay,Cassette,Cassette 2024
Hesitate - Ahead Of The Game Cassette,Hesitate,Ahead Of The Game,Cassette,Cassette Tape 2021 press
USED - Sprites Of The Wood – Faeries - I Cassette,Sprites Of The Wood,Faeries - I,Cassette,Cassette 2021
True Name - Atlanta Straight Edge Cassette,True Name,Atlanta Straight Edge,Cassette,White Shell 2024
Unholy Maggot - Process Of Putrefaction Bacteria Cadaver Decomposition Tape,Unholy Maggot,Process Of Putrefaction Bacteria Cadaver Decomposition,Cassette,Cassette 2022 press
USED - Tinnīn – Demo I Cassette,Tinnīn,Demo I,Cassette,Cassette Tape 2021
Disrotted – Demo I Cassette,Disrotted,Demo I,Cassette,Clear Shell 2014
USED - Cult Graves - Strange Customs Cassette,Cult Graves,Strange Customs,Cassette,Cassette Tape 2020
Serpens Noctis – Demo I Cassette,Serpens Noctis,Demo I,Cassette,Cassette 2021
Aeviterne - The Ailing Facade Cassette,Aeviterne,The Ailing Facade,Cassette,Cassette 2022
Rough Hands – Let Me Win Your Hearts And Minds Cassette,Rough Hands,Let Me Win Your Hearts And Minds,Cassette,Pink Shell 2016 press (#003/100)
YOB - Elaborations of Carbon Cassette,Yob,Elaborations Of Carbon,Cassette,Cassette 2023
Extispex / Muzgash – Split Cassette,Extispex / Muzgash,Split,Cassette,Black Shell 2022
Mangle - Deposed & Disposed Cassette,Mangle,Deposed & Disposed,Cassette,Cassette Tape 1st press
Gorguts - Pleiades' Dust Cassette (Gutless Productions),Gorguts,Pleiades' Dust,Cassette,Asia Press 2022
Graven Image - Gods Who Decree Cassette,Graven Image,Gods Who Decree,Cassette,Cassette 2023
Six Paths - Demonstration Cassette,Six Paths,Demonstration,Cassette,Coral Shell 2023
Imbroglio – Declared Self Hatred Cassette,Imbroglio,Declared Self Hatred,Cassette,White Shell 2012 press
Lungor – Världsbärare Cassette,Lungor,Världsbärare,Cassette,Cassette 2021
Kormosh – Demo I Cassette,Kormosh,Demo I,Cassette,Cassette 2021
Point Of Existence - Demo Cassette,Point Of Existence,Demo,Cassette,Clear w/ Gold Shell 2023
Kvadrat - Ψυχική Αποσύνθεση Cassette (Desolate Depths),Kvadrat,Ψυχική Αποσύνθεση,Cassette,White Shell 2022 press
Erotica - The Witch And The Return Of The Fallen Tape,Erotica,The Witch And The Return Of The Fallen,Cassette,Cassette 2024
Simulakra - The Infection Spreads Cassette,Simulakra,The Infection Spreads,Cassette,Cassette 2022
USED - Unsleeping Shadow Of Naught – Into Pale Fire Tape,Unsleeping Shadow Of Naught,Into Pale Fire,Cassette,Black Shell 2023
USED - Malum - Devil's Creation Cassette,Malum,Devil's Creation,Cassette,Cassette Tape 2021
USED - Damghar – Exordiri Cassette,Damghar,Exordiri,Cassette,Red Shell 2020
Negative Frame - Small World Cassette,Negative Frame,Small World,Cassette,Red Shell 2022
Anybody But The Cops – This Machine Sews Patches Cassette,Anybody But The Cops,This Machine Sews Patches,Cassette,Grey Shell 2015 press
Olkoth - At The Eye Of Chaos Tape,Olkoth,At The Eye Of Chaos,Cassette,Red Shell 2023
Gneterswart - Gneterswart Cassette,Gneterswart,Gneterswart,Cassette,Cassette Tape 1st press
Bloodspawn - Demo 2021 Tape,Bloodspawn,Demo 2021,Cassette,Cassette Tape 1st press
Seed Of Cain - The Gracious Misery Cassette,Seed Of Cain,The Gracious Misery,Cassette,B/W Insert w/ Clear Shell 2021
Licentious - Licentious Cassette,Licentious,Licentious,Cassette,Red Shell 2022
Downfall - Behind The Curtain Cassette,Downfall,Behind The Curtain,Cassette,Cassette 2022
Woundvac / Glitterbomb – Split Cassette,Woundvac / Glitterbomb,Split,Cassette,Smokey Tint Shell 2016 press (lim/100)
USED - Mephitic Grave - Into The Atrium Of Inhuman Morbidity Cassette,Mephitic Grave,Into The Atrium Of Inhuman Morbidity,Cassette,Silver Shell 1st press
Abraded - Pathological Primitivism Cassette (ASIAN PRESS),Abraded,Pathological Primitivism,Cassette,Green Shell 2023 (lim/100)
USED - Drelnoch / Pyre Of Black Roses - Split Tape,Drelnoch / Pyre Of Black Roses,Split,Cassette,White Shell 2022 press
Expander - NPBG Re-Cracked v0.1 (x96 CrimeGripper) [S.C.U.M.S.] Cassette,Expander,NPBG Re-Cracked v0.1 (x96 CrimeGripper) [S.C.U.M.S.],Cassette,Orange 2022 press tape
Seance Of - Foul Length Cassette,Seance Of,Foul Length,Cassette,Cassette Tape 1st press
Candy - It's Inside You Cassette,Candy,It's Inside You,Cassette,White Shell 2024
Hechael / Fit The Bill – Split Cassette,Hechael / Fit The Bill,Split,Cassette,White Shell w/ Splatter 2020 press (lim/25)
Psycroptic – As The Kingdom Drowns Cassette,Psycroptic,As The Kingdom Drowns,Cassette,Orange Shell 2018 press (lim/200)
USED - Bullshit Market - Wanda Park Cassette,Bullshit Market,Wanda Park,Cassette,White Shell 2021
Tortured Skull - Motorbreathing Disfrost Fuckin' Armageddon Tape,Tortured Skull,Motorbreathing Disfrost Fuckin' Armageddon,Cassette,Cassette Tape 2022
Fulci - The Morrisound Session Cassette,Fulci,The Morrisound Session,Cassette,Cassette 2024
Erzfeynd / Celestial Sword – Split Cassette,Erzfeynd / Celestial Sword,Split,Cassette,Black Shell 2021 press (SEALED)
USED - Gouffre - 2. Crawling Death Cassette,Gouffre,2. Crawling Death,Cassette,Black Shell 2021
USED - Blutumhang – Moonchants To Eternus Cassette,Blutumhang,Moonchants to Eternus,Cassette,White Shell 2022
Abysmalist - Vile Possession Cassette,Abysmalist,Vile Possession,Cassette,Cassette 2023
Beyond the Grasp of Light - Hell Cassette,Beyond the Grasp of Light,Hell,Cassette,Cassette 2023
Existentia - Calculating Failure Cassette,Existentia,Calculating Failure,Cassette,Cassette Tape 1st press
Phenocryst - Explosions Cassette,Phenocryst,Explosions,Cassette,Cassette Tape 1st press
USED - Gergesenes – Exorcism Of The Gerasene Demoniac Cassette,Gergesenes,Exorcism Of The Gerasene Demoniac,Cassette,Cassette Tape 2021
Loth - 616 Cassette,Loth,616,Cassette,Cassette 2023
Dogmatic - Dogmatic Cassette,Dogmatic,Dogmatic,Cassette,Clear Shell 2023
BLEMISH / USED - Betray - Demo 2010 Cassette,Betray,Demo 2010,Cassette,Clear Shell 2010
Wallowing - Planet Loss Cassette (ASIAN PRESS),Wallowing,Planet Loss,Cassette,Splatter 2019 press (lim/100)
BLEMISH - Verdun – The Cosmic Escape Of Admiral Masuka Cassette,Verdun,The Cosmic Escape Of Admiral Masuka,Cassette,Black Shell 2012 press (#33/99)
USED - Kirous - III Cassette,Kirous,III,Cassette,Red Shell 2021
USED - Repulsory – Repulsory Cassette,Repulsory,Repulsory,Cassette,Cassette Tape 2016
USED - Goifer – Grabschlöfer Cassette,Goifer,Grabschlöfer,Cassette,Bronze Shell 2021 press
Nightmarer - Deformity Adrift Cassette,Nightmarer,Deformity Adrift,Cassette,Glitter Shell 2023
Identify – Demo 2007 Cassette,Identify,Demo 2007,Cassette,White Shell 2007 press
Zous - No Ground To Give Cassette,Zous,No Ground To Give,Cassette,White Shell 2022
Detach The Islands – The Burden To Become Fact Cassette,Detach The Islands,The Burden To Become Fact,Cassette,Red Tint Shell 2019 press
Scrambled Defuncts – Souls Despising The God CD,Scrambled Defuncts,Souls Despising The God,CD,Jewel Case 2009
Friisk - …un torügg bleev blot Sand CD,Friisk,…un torügg bleev blot Sand,CD,CD 2021
Molecular Fragmentation – Recurrence Of Blasphemous Maelstrom CD,Molecular Fragmentation,Recurrence Of Blasphemous Maelstrom,CD,CD 2019
BLEMISH - Kaidan - Fury In The Final Hour CD,Kaidan,Fury In The Final Hour,CD,CD 2018
BLEMISH - Infectious Disease – Savagery CD,Infectious Disease,Savagery,CD,CD 2019
With Locusts & Liars – The Turnaround CD,With Locusts & Liars,The Turnaround,CD,Jewel Case 2015 (SEALED)
Alpha Virus – Trauma Model CD,Alpha Virus,Trauma Model,CD,Jewel Case 2019 (SEALED #17/50)
The People's Temple - Musical Garden CD,The People's Temple,Musical Garden,CD,CD 2014
Neurosis - A Sun That Never Sets CD,Neurosis,A Sun That Never Sets,CD,Jewel Case 2017
USED - Bythos - The Womb Of Zero CD,Bythos,The Womb Of Zero,CD,CD
BLEMISH - One Morning Left – Our Sceneration CD,One Morning Left,Our Sceneration,CD,Digipak 2013
Prophasis – Boundaries CD,Prophasis,Boundaries,CD,Digipak 2014 (SEALED)
BLEMISH / USED - Scars On Broadway – Scars On Broadway CD,Scars On Broadway,Scars On Broadway,CD,Jewel Case 2008
Codeine King – Negative Space CD,Codeine King,Negative Space,CD,Jewel Case 2019 (SEALED #17/40)
Seep - Hymns To The Gore CD,Seep,Hymns To The Gore,CD,CD 2023
Disorder - Disorder CD,Disorder,Disorder,CD,Jewel Case 2018 (#05/40)
Macronympha – The Disintegration Of History CD,Macronympha,The Disintegration Of History,CD,CD 2021
Serpentspire – The Cosmic Throne CD,Serpentspire,The Cosmic Throne,CD,CD 2016 (SEALED)
Forevermore – Integral CD,Forevermore,Integral,CD,CD 2016 (SEALED)
USED - Hand Of Mercy – Resolve CD,Hand Of Mercy,Resolve,CD,CD 2014
Regret - Misery Brigade CD,Regret,Misery Brigade,CD,Jewel Case 2006
Sentenced 2 Die - Parasitic Infection CD,Sentenced 2 Die,Parasitic Infection,CD,CD 2023
BLEMISH - Das Oath – Das Oath CD,Das Oath,Das Oath,CD,CD 2006
Writhing Shadows - S/T CD,Writhing Shadows,S/T,CD,CD 2022 press (lim/500)
the.daisy.anthesis. – Surface And The Sky CD,the.daisy.anthesis.,Surface And The Sky,CD,CD 2010
Excommunicatio - Kodex Luzifer CD,Excommunicatio,Kodex Luzifer,CD,CD 2023
Ild - Kvern CD,Ild,Kvern,CD,CD 2023
Imbroglio – Sleep Deprivation CD,Imbroglio,Sleep Deprivation,CD,CD 2011
Helge - Neuroplasticity CD,Helge,Neuroplasticity,CD,CD 2022
"USED - Hayaino Daisuki – The Invincible Gate Mind Of The Infernal Fire Hell, Or Did You Mean Hawaii Daisuki? CD",Hayaino Daisuki,"The Invincible Gate Mind Of The Infernal Fire Hell, Or Did You Mean Hawaii Daisuki? C",CD,CD 2010 w/ Hard Case
Ossuary Anex – Awakening CD,Ossuary Anex,Awakening,CD,Jewel Case 2012
Coffins - Sinister Oath CD,Coffins,Sinister Oath,CD,Jewel Case 2024
USED - Negative Or Nothing – Drowned CD,Negative Or Nothing,Drowned,CD,CD 2020
Writhing - Of Earth & Flesh CD,Writhing,Of Earth & Flesh,CD,CD 2022
Ernte - Geist Und Hexerei CD,Ernte,Geist Und Hexerei,CD,CD 2021
Now Denial - Facemelter CD,Now Denial,Facemelter,CD,CD 2008
Golden Cannibal - Golden Cannibal CD,Golden Cannibal,Golden Cannibal,CD,CD 2023
Ledge – Cold Hard Concrete CD,Ledge,Cold Hard Concrete,CD,Jewel Case 2017 (SEALED)
Left To Drown – Left To Drown CD,Left To Drown,Left To Drown,CD,Digipak 2018 (SEALED #80/100)
Wode - Wode CD,Wode,Wode,CD,CD 2016
USED - Organectomy - Domain Of The Wretched CD,Organectomy,Domain Of The Wretched,CD,Jewel Case 2017
Living Weapon - Paradise CD,Living Weapon,Paradise,CD,CD 2022
USED - The Boils / Last Target – Nobility & Nihilism CD,The Boils / Last Target,Nobility & Nihilism,CD,Jewel Case 2003
Lord Gore - Scalpels For Blind Surgeons CD,Lord Gore,Scalpels For Blind Surgeons,CD,CD 2021
BLEMISH - The Room Colored Charlatan ‎– Primitives CD,The Room Colored Charlatan,Primitives,CD,Jewel Case 2014
BLEMISH / USED - Masachist – Scorned CD,Masachist,Scorned,CD,Jewel Case 2012
Gutvoid - Astral Bestiary CD,Gutvoid,Astral Bestiary,CD,Jewel Case 2020
Borderlines – Child Of Dark CD,Borderlines,Child Of Dark,CD,Jewel Case 2016
Full Of Hell - Coagulated Bliss CD,Full Of Hell,Coagulated Bliss,CD,Jewel Case 2024
Construct Of Lethe - Corpsegod CD,Construct Of Lethe,Corpsegod,CD,CD 2020
Ultha - Forget Everything And Remember - The Lost And Obscure 2xCD,Ultha,Forget Everything And Remember - The Lost And Obscure 2xCD,CD,CD 2022
USED - Lehnen – This Could Be Our Dream Home CD,Lehnen,This Could Be Our Dream Home,CD,CD 2008
Da Crown – Family First CD,Da Crown,Family First,CD,CD 2013
Revocation - Teratogenesis CD,Revocation,Teratogenesis,CD,Jewel Case 2024
Void Witch - Void Witch CD,Void Witch,Void Witch,CD,CD 2022
Like Rats - II CD,Like Rats,II,CD,CD 2016
Białywilk - Zmora CD,Białywilk,Zmora,CD,CD 2023
Dying Fetus - War Of Attrition CD,Dying Fetus,War Of Attrition,CD,Jewel Case 2021
TR3Y 5IVE - Another Day Another Beatdown / $omething 2 Mo$h About CD,TR3Y 5IVE,Another Day Another Beatdown / $omething 2 Mo$h About,CD,Digipak 2021
USED - Lux Ferre ‎– Excaecatio Lux Veritatis CD,Lux Ferre ‎,Excaecatio Lux Veritatis,CD,CD 2015
Scitalis - Awakening CD,Scitalis,Awakening,CD,CD 2021
Queensway - Swift Minds Of The Darkside CD,Queensway,Swift Minds Of The Darkside,CD,Digipak 2017
Morbid Visionz - Cycle Of Cessation CD,Morbid Visionz,Cycle Of Cessation,CD,CD 2022
The Order Of Elijah – Accession CD,The Order Of Elijah,Accession,CD,Jewel Case 2012 (SEALED)
Aleska – Aleska CD,Aleska,Aleska,CD,Digipak 2016 (SEALED)
Author & Punisher - Women & Children CD,Author & Punisher,Women & Children,CD,Jewel Case 2024
Ænigmatum - Deconsecrate CD,Ænigmatum,Deconsecrate,CD,CD 2021
USED - Blessed Sacrifist – Loss Of Innocence CD,Blessed Sacrifist,Loss Of Innocence,CD,Digipak 2021 (SEALED)
Black September - Demo CDr,Black September,Demo,CD,Black Print CD 2007 (num/96)
Maze Of Sothoth - Extirpated Light CD,Maze Of Sothoth,Extirpated Light,CD,CD 2023
Exhibit - Medal Of Honor CD,Exhibit,Medal Of Honor,CD,Jewel Case 2024
Wineville – Mind Of A Dead Man CD,Wineville,Mind Of A Dead Man,CD,Jewel Case 2016 (#9/100)
Assumption - Hadean Tides CD,Assumption,Hadean Tides,CD,CD 2022
Dealey Plaza – Dealey Plaza CD,Dealey Plaza,Dealey Plaza,CD,CD 2016
Kold - Intet Mere Er CD,Kold,Intet Mere Er,CD,CD 2023
Solbrud – Vemod CD,Solbrud,Vemod,CD,CD 2017
Exile Into Suffery – Substitutional Race Of Tomorrow CD,Exile Into Suffery,Substitutional Race Of Tomorrow,CD,Digipak 2015 (SEALED)
Silenus - The Garden Is Burning CD,Silenus,The Garden Is Burning,CD,CD 2021 press
Abrasion - Born To Be Betrayed CD,Abrasion,Born To Be Betrayed,CD,CD 2022
Infested - 1000 Doors CD,Infested,1000 Doors,CD,CD 2009
Wayfarer - A Romance With Violence CD,Wayfarer,A Romance With Violence,CD,Digipak 2020
