description,artist,album,format,extra
Lychgate | Thus sprach Futura | /category/250,Lychgate,Thus sprach Futura,Vinyl,
Tenebrae In Perpetuum | Anorexia Obscura (special white slipcase edition) | /category/261,Tenebrae In Perpetuum,Anorexia Obscura,Vinyl,special white slipcase edition
Inferno | PARADEIGMA (Phosphenes of Aphotic Eternity) | /category/261,Inferno,Paradeigma,Vinyl,Phosphenes of Aphotic Eternity
Archgoat | All Christianity Ends | /category/261,Archgoat,All Christianity Ends,Vinyl,
Eitrin | S/T | /category/261,Eitrin,S/T,Vinyl,
White Ward | Futility Report | /category/261,White Ward,Futility Report,Vinyl,
Arkona | Age Of Capricorn | /category/261,Arkona,Age Of Capricorn,Vinyl,
Mütterlein | Bring Down The Flags | /category/261,Mütterlein,Bring Down The Flags,Vinyl,
Aversio Humanitatis | Longing for the Untold (DMP exclusive) | /category/261,Aversio Humanitatis,Longing for the Untold,Vinyl,DMP exclusive
Aara | Triade I: Eos | /category/261,Aara,Triade I: Eos,Vinyl,
Archgoat | Whore Of Bethlehem | /category/261,Archgoat,Whore Of Bethlehem,Vinyl,
Akhlys | The Dreaming I (DMP 20-year anniversary edition) | /category/263,Akhlys,The Dreaming I,Vinyl,DMP 20-year anniversary edition
Dodsengel | Bab Al On | /category/263,Dodsengel,Bab Al On,Vinyl,
White Ward | False Light | /category/263,White Ward,FALSE LIGHT,Vinyl,
The Amenta | Revelator (US exclusive) | /category/263,The Amenta,Revelator,Vinyl,US exclusive
Perilaxe Occlusion | Vapor Chamber | /category/263,Perilaxe Occlusion,VAPOR CHAMBER,Vinyl,
White Ward | False Light | /category/263,White Ward,FALSE LIGHT,Vinyl,
V/A | Servants Of Chaos II | /category/263,V/A,Servants Of Chaos II,Vinyl,
Ulcerate | Cutting the Throat of God | /category/263,Ulcerate,Cutting the Throat of God,Vinyl,
Crimson Moon | Mors Vincit Omnia | /category/263,Crimson Moon,Mors Vincit Omnia,Vinyl,
Akhlys | House of the Black Geminus (DMP Exclusive) | /category/263,Akhlys,House of the Black Geminus,Vinyl,DMP Exclusive
V/A | Servants Of Chaos II | /category/263,V/A,Servants Of Chaos II,Vinyl,
In The Woods... | Cease The Day | /category/263,In The Woods...,Cease The Day,Vinyl,
Akhlys | The Dreaming I | /category/263,Akhlys,The Dreaming I,Vinyl,
Blut Aus Nord | Memoria Vetusta II - Dialogue With The Stars | /category/263,Blut Aus Nord,Memoria Vetusta II - Dialogue With The Stars,Vinyl,
Suhnopfer | Nous sommes d'Hier (blue / gold merge) | /category/263,Suhnopfer,Nous sommes d'Hier,Vinyl,blue / gold merge
Akhlys | House of the Black Geminus | /category/263,Akhlys,House of the Black Geminus,Vinyl,
White Ward | Love Exchange Failure | /category/263,White Ward,LOVE EXCHANGE FAILURE,Vinyl,
Perilaxe Occlusion | Vapor Chamber | /category/303,Perilaxe Occlusion,VAPOR CHAMBER,Cassette,
Imperial Crystalline Entombment | Apocalyptic End In White | /category/303,Imperial Crystalline Entombment,Apocalyptic End In White,Cassette,
Imperial Crystalline Entombment | Ancient Glacial Resurgence | /category/303,Imperial Crystalline Entombment,Ancient Glacial Resurgence,Cassette,
Akhlys | House of the Black Geminus | /category/303,Akhlys,House of the Black Geminus,Cassette,
Selbst | Despondency Chord Progressions | /category/303,Selbst,Despondency Chord Progressions,Cassette,
Eitrin | S/T | /category/303,Eitrin,S/T,Cassette,
Nightbringer | Death and the Black Work + Rex Ex Ordine Throni | /category/353,Nightbringer,Death and the Black Work + Rex Ex Ordine Throni,Vinyl,
