description,artist,album,format,extra
USED - Proscription - Conduit LP,Proscription,Conduit,Vinyl,Black 2020 press vinyl
USED - Ominous Ruin - Amidst Voices That Echo In Stone LP,Ominous Ruin,Amidst Voices That Echo In Stone,Vinyl,Random Mixed 2021 press
USED - Omega Infinity - Solar Spectre LP,Omega Infinity,Solar Spectre,Vinyl,Black 2020 press vinyl
USED - Niht - Arcanum LP,Niht,Arcanum,Vinyl,Color In Clear 2021 press vinyl
Cursed Earth – Cycles of Grief: The Complete Collection LP,Cursed Earth,Cycles of Grief: The Complete Collection,Vinyl,Pink w/ Splatter 2017 press vinyl
USED - Bleeding Out - Lifelong Death Fantasy LP,Bleeding Out,Lifelong Death Fantasy,Vinyl,Black 2020 press vinyl
Dawn - Nær solen gar niþer for evogher LP,Dawn,Nær solen gar niþer for evogher,Vinyl,Gold/Oxblood Splatter 2022 press vinyl
"BLEMISH - Choke - Desiphon 12"" (MG EXCLUSIVE)",BLEMISH,Choke - Desiphon,Vinyl,Silver Cloudy 2022 press (numbered/100)
Cynic - Kindly Bent To Free Us LP,Cynic,Kindly Bent To Free Us,Vinyl,Sun Yellow 2021 press vinyl
USED - Descent - Order Of Chaos LP,escent,Order Of Chaos,Vinyl,Clear 2022 press vinyl
Cryptworm - Spewing Mephitic Putridity LP,Cryptworm,Spewing Mephitic Putridity,Vinyl,Black 2022 press vinyl
Primitive Warfare - Extinction Protocol LP,Primitive Warfare,Extinction Protocol,Vinyl,Black 2024 press vinyl
Primitive Warfare - Primitive Warfare Cassette,Primitive Warfare,Primitive Warfare,Cassette,Cassette 2024
Antichrist Siege Machine - Vengeance Of Eternal Fire Cassette,Antichrist Siege Machine,Vengeance Of Eternal Fire,Cassette,Cassette 2024
Left Cross - Upon Desecrated Altars Cassette,Left Cross,Upon Desecrated Altars,Cassette,Cassette 2024
Tzompantli – Beating The Drums Of Ancestral Force LP,Tzompantli,Beating The Drums Of Ancestral Force,Vinyl,Black 2024 press vinyl
Tzompantli – Beating The Drums Of Ancestral Force LP,Tzompantli,Beating The Drums Of Ancestral Force,Vinyl,Color 2024 press vinyl
USED - Undeath - It's Time...To Rise From The Grave LP,ndeath,It's Time...To Rise From The Grave,Vinyl,Eye Of The Storm Blue 2022 press
USED - Cannibal Corpse - The Bleeding LP,Cannibal Corpse,The Bleeding,Vinyl,Black 2016 press vinyl
USED - Death - Human LP,eath,Human,Vinyl,Black 2017 press vinyl
"Despize - For Real Pioneers 12""",Despize,For Real Pioneers,Vinyl,Blue In Blue 2022 press
Demigod - Slumber Of Sullen Eyes 30th Anniversary LP,Demigod,Slumber Of Sullen Eyes 30th Anniversary,Vinyl,Black 2022 press vinyl
Demigod - Slumber Of Sullen Eyes 30th Anniversary LP,Demigod,Slumber Of Sullen Eyes 30th Anniversary,Vinyl,Green 2022 press vinyl
Traitors - Mental State CD,Traitors,Mental State,CD,Regular Cover 2016
Traitors - Mental State CD,Traitors,Mental State,CD,White Cover 2016
Varials – Pain Again CD,Varials,Pain Again,CD,Jewel Case 2017 (SEALED)
At The Gates - The Nightmare Of Being LP,At The Gates,The Nightmare Of Being,Vinyl,Black 1st press vinyl
At The Gates - The Nightmare Of Being LP,At The Gates,The Nightmare Of Being,Vinyl,Transparent Blue 1st press vinyl
USED - Inculter - Fatal Visions LP,Inculter,Fatal Visions,Vinyl,Black 2019 press vinyl
"USED - Sanguine Relic – Dogma Of Night 7""",anguine Relic,Dogma Of Night,Vinyl,Red 2022 press vinyl
"USED - Sainte Marie Des Loups - Obéissance... Jusqu'à la mort ! 7""",ainte Marie Des Loups,Obéissance... Jusqu'à la mort !,Vinyl,Black 2022 press vinyl
Kommodus – An Imperial Sun Rises CD,KOMMODUS,An Imperial Sun Rises,CD,Digipak 2020 (SEALED)
USED - Berceau Du Mal – Montagne Noire Cassette,Berceau Du Mal,Montagne Noire,Cassette,Cassette 2022
USED - Eternal Downfall – Drunken Rehearsal 05-2022 Cassette,ternal Downfall – Drunken Rehearsal 05,2022,Cassette,Cassette 2022
USED - Fír – Dodemanswoud Cassette,Fír,Dodemanswoud,Cassette,Black Shell 2022
USED - Fír – De Hellekerkers Cassette,Fír,De Hellekerkers,Cassette,Black Shell 2022
USED - Gruesomealtar – Cold Reflection Of Two Truths Demo Cassette,Gruesomealtar,Cold Reflection Of Two Truths Demo,Cassette,Cassette 2021
"USED - Myrkwisaidaz / Glöqke – L'aube de L'étoile Du Matin, Ou la Naissance de Lucifer Cassette",Myrkwisaidaz / Glöqke,"L'aube de L'étoile Du Matin, Ou la Naissance de Lucifer",Cassette,Cassette 2022
USED - 𝐌𝐚𝐧þ𝐢𝐞𝐥 – Luminous Emissions On The Graveless Entities Cassette,𝐌𝐚𝐧þ𝐢𝐞𝐥,Luminous Emissions On The Graveless Entities,Cassette,Cassette 2020
USED - 𝐌𝐚𝐧þ𝐢𝐞𝐥 – Pagan Winter Battles Cassette,𝐌𝐚𝐧þ𝐢𝐞𝐥,Pagan Winter Battles,Cassette,Cassette 2020
USED - Rotten Moon ‎– The Endless Church Cassette,Rotten Moon ‎,The Endless Church,Cassette,Cassette 2022
USED - Rotten Moon – In The Vale Of Astral Graves Cassette,Rotten Moon,In The Vale Of Astral Graves,Cassette,Cassette 2021
USED - Synistre – M.N.Q.A.M.V.P.U.N.D.M.A.S.X.D.B. Cassette,ynistre,M.N.Q.A.M.V.P.U.N.D.M.A.S.X.D.B.,Cassette,Cassette 2021
USED - Synistre – Synistre Cassette,ynistre,Synistre,Cassette,Cassette 2022
USED - Todesschloss – Undying Majesty Cassette,Todesschloss,Undying Majesty,Cassette,Cassette 2021
USED - Vile Command – Obscene Conjurations Cassette,Vile Command,Obscene Conjurations,Cassette,Cassette 2020
USED - Vile Command – Vile Command Cassette,Vile Command,Vile Command,Cassette,Cassette 2021
USED - Wolfslair – Ateulv Cassette,Wolfslair,Ateulv,Cassette,Cassette 2021
USED - Azarath - In Extremis LP,Azarath,In Extremis,Vinyl,Black 2017 press vinyl
USED - Archspire - Relentless Mutation LP,Archspire,Relentless Mutation,Vinyl,Black 5th press vinyl
BLEMISH / USED - Afsky - Ofte jeg drømmer mig død LP,BLEMISH / USED,Afsky - Ofte jeg drømmer mig død,Vinyl,Clear/Black Marbled 2023 press
Aeviterne - The Ailing Facade LP,Aeviterne,The Ailing Facade,Vinyl,Black 2022 press vinyl
Putrescine - The Fading Flame LP,Putrescine,The Fading Flame,Vinyl,Color 2021 press vinyl
Oak - II LP,Oak,II,Vinyl,Black 2010 press vinyl
Capacities - The Unexamined Life LP,Capacities,The Unexamined Life,Vinyl,Color Mix 2012 press
"Coma Regalia - En Sperata 12""",Coma Regalia,En Sperata,Vinyl,Black 2012 press vinyl
"Less Life - Today Will Be Ours 12""",Less Life,Today Will Be Ours,Vinyl,Green 2011 press vinyl
Stick To Your Guns - True View CD,Stick To Your Guns,True View,CD,Digipak 2017 (SEALED)
"Coma Regalia / Capacities - Split 7""",Coma Regalia / Capacities,Split,Vinyl,Black 2012 press vinyl
"Expired Youth - Where We Stand 7""",Expired Youth,Where We Stand,Vinyl,Clear w/ Splatter 2006 press
"USED - CrimethInc - In Our Time 12""",CrimethInc,In Our Time,Vinyl,Maroon Marbled 1997 press
USED - Damnation AD - No More Dreams Of Happy Endings LP,amnation AD,No More Dreams Of Happy Endings,Vinyl,Pink 2019 press vinyl
USED - Day Of Mourning - Your Future's End LP,ay Of Mourning,Your Future's End,Vinyl,Purple w/ Splatter 2009 press
USED - Dog Eat Dog – All Boro Kings LP,og Eat Dog,All Boro Kings,Vinyl,Black 2021 press vinyl
BLEMISH / USED - Few And The Proud - Stampede LP,BLEMISH / USED,Few And The Proud - Stampede,Vinyl,Blue 2006 press vinyl
BLEMISH / USED - Iron Chic – The Constant One LP,BLEMISH / USED,Iron Chic – The Constant One,Vinyl,Pink 2023 press vinyl
USED - Our Lady – II LP,Our Lady,II,Vinyl,Pink 2014 press vinyl
USED - Stand Atlantic – F.E.A.R. LP,tand Atlantic,F.E.A.R.,Vinyl,Purple/Neon w/ Splatter 2022 press
A Mourning Star - A Reminder Of The Wound Unhealed LP,A Mourning Star,A Reminder Of The Wound Unhealed,Vinyl,Black 2023 press vinyl
A Mourning Star - A Reminder Of The Wound Unhealed LP,A Mourning Star,A Reminder Of The Wound Unhealed,Vinyl,Mint 2023 press vinyl
A Mourning Star - A Reminder Of The Wound Unhealed LP,A Mourning Star,A Reminder Of The Wound Unhealed,Vinyl,Blue 2023 press vinyl
"USED - XHead OnX – XHead OnX 7""",XHead OnX,XHead OnX,Vinyl,Black 2000 press vinyl
"USED - Hickey – From The Depths 7""",Hickey,From The Depths,Vinyl,Black 2023 press vinyl
"USED - Loss Leader – Flex Your Hair 7""",Loss Leader,Flex Your Hair,Vinyl,Clear 2015 press vinyl
"USED - Nothing / Integrity - Splitsville 7""",Nothing / Integrity,Splitsville,Vinyl,Neon Magenta 2021 press
"BLEMISH / USED - What Feeds The Fire - Set Me Free 7""",BLEMISH / USED,What Feeds The Fire - Set Me Free,Vinyl,White 2001 press vinyl
USED - Black Label Society - 1919 Eternal CD,Black Label Society,1919 Eternal C,CD,Jewel Case 2002
USED - Casey Jones - The Messenger CD,Casey Jones,The Messenger C,CD,Jewel Case 2006
USED - Therion - Gothic Kabbalah 2xCD,Therion,Gothic Kabbalah 2xC,CD,Digipak 2003
Mgła - Exercises In Futility LP,Mgła,Exercises In Futility,Vinyl,Black 2024 press vinyl
Mgła - With Hearts Toward None LP,Mgła,With Hearts Toward None,Vinyl,Black 2023 press vinyl
Cannibal Corpse - Gore Obsessed LP,Cannibal Corpse,Gore Obsessed,Vinyl,Black 2019 press vinyl
Cannibal Corpse - Kill LP,Cannibal Corpse,Kill,Vinyl,Black 2020 press vinyl
Bloodsoaked Necrovoid - Expelled Into The Unknown Depths Of The Unfathomable LP,Bloodsoaked Necrovoid,Expelled into the Unknown Depths of the Unfathomable,Vinyl,Black 2020 press vinyl
BLEMISH - Aristarchos - Aristarchos LP,BLEMISH,Aristarchos - Aristarchos,Vinyl,Black 2021 press vinyl
Albatros - Futile LP,Albatros,Futile,Vinyl,Green 2019 press vinyl
USED - Abnegation – As The Stone Strikes The Cedar Cassette,Abnegation,As The Stone Strikes The Cedar,Cassette,Blue Shell 2021
USED - Chasmal Mire – Chasmal Mire Cassette,Chasmal Mire,Chasmal Mire,Cassette,Grey Shell 2021
USED - Grand Invocation – Ogdra Cassette,Grand Invocation,Ogdra,Cassette,Black Shell 2021
USED - Mutually Assured Destruction – Ascension Cassette,Mutually Assured Destruction,Ascension,Cassette,Cassette 2022
Candy - It's Inside You Cassette,Candy,It's Inside You,Cassette,White Shell 2024
Pain Of Truth - Not Through Blood Cassette,Pain Of Truth,Not Through Blood,Cassette,Cassette 2023
Regional Justice Center - Crime & Punishment Tape,Regional Justice Center,Crime & Punishment,Cassette,Cassette 2021
Zous - No Ground To Give Cassette,Zous,No Ground To Give,Cassette,White Shell 2022
Nightmarer - Deformity Adrift Deluxe LP (MG EXCLUSIVE),Nightmarer,Deformity Adrift Deluxe LP (MG EXCLUSIVE),Vinyl,Alt Cover Slipcase w/ Purple/Red Marbled 2023 press (num/100)
BLEMISH - Nightmarer - Deformity Adrift Deluxe LP (MG EXCLUSIVE),BLEMISH,Nightmarer - Deformity Adrift Deluxe LP (MG EXCLUSIVE),Vinyl,Alt Cover Slipcase w/ Purple/Red Marbled 2023 press (num/100)
"Conservative Military Image - No Squares In Our Circle 12""",Conservative Military Image,No Squares In Our Circle,Vinyl,Clear w/ Splatter 2024 press
Monumental Discharge / Putrid Defecation - Monumental Putridity Cassette,Monumental Discharge / Putrid Defecation,Monumental Putridity,Cassette,Cassette Tape 2021 press
Bad Beat - L.P. 2024 LP,Bad Beat,L.P. 2024,Vinyl,Color 2024 press vinyl
Sinking Ships - Disconnecting LP,Sinking Ships,Disconnecting,Vinyl,Color 2024 press vinyl
Suppression - Spiritual Sepsis LP,Suppression,Spiritual Sepsis,Vinyl,Black 2024 press vinyl
All Pigs Must Die - Hostage Animal LP,All Pigs Must Die,Hostage Animal,Vinyl,Black 2017 press vinyl
High Vis - Blending LP,High Vis,Blending,Vinyl,Color 2024 press vinyl
"Rust - True Decline 12""",Rust,True Decline,Vinyl,Color 2024 press vinyl
End It - Unpleasant Living LP,End It,Unpleasant Living,Vinyl,Color 2023 press vinyl
No Pressure - No Pressure LP,No Pressure,No Pressure,Vinyl,Clear w/ Splatter 2023 press vinyl
Converge - Axe To Fall LP,Converge,Axe To Fall,Vinyl,Yellow 2023 press vinyl
Fuming Mouth - The Grand Descent LP,Fuming Mouth,The Grand Descent,Vinyl,Yellow w/ Blue Splatter 2023 press
No Warning - Ill Blood LP,No Warning,Ill Blood,Vinyl,Silver 2023 press vinyl
Unbroken - Life. Love. Regret. LP,Unbroken,Life. Love. Regret.,Vinyl,Black 2021 press vinyl
"Cast In Blood / Foreign Hands - Lapsed Requiems 10""",Cast In Blood / Foreign Hands,Lapsed Requiems,Vinyl,Color 2020 press vinyl
Drain - Living Proof LP,Drain,Living Proof,Vinyl,Black 2023 press vinyl
Slimelord - Chytridiomycosis Relinquished LP,Slimelord,Chytridiomycosis Relinquished,Vinyl,Color 2024 press vinyl
Iron Lung - White Glove Test LP,Iron Lung,White Glove Test,Vinyl,Blue 2024 press vinyl
Ascended Dead - Evenfall Of The Apocalypse LP,Ascended Dead,Evenfall Of The Apocalypse,Vinyl,Color 2023 press vinyl
Tzompantli – Tlazcaltiliztli LP,Tzompantli,Tlazcaltiliztli,Vinyl,Black 2022 press vinyl
Tzompantli – Tlazcaltiliztli LP,Tzompantli,Tlazcaltiliztli,Vinyl,Red-In-Clear w/ Splatter 2022 press vinyl
Whoresnation - Dearth LP,Whoresnation,Dearth,Vinyl,Black 2022 press vinyl
Whoresnation - Dearth LP,Whoresnation,Dearth,Vinyl,Orange Marbled 2022 press vinyl
Cerebral Engorgement - Cerebral Chronicles LP,Cerebral Engorgement,Cerebral Chronicles,Vinyl,Orange/Black 2019 press
Steel Bearing Hand - Slay In Hell LP,Steel Bearing Hand,Slay In Hell,Vinyl,Splatter 2021 press vinyl
Adversarial - Solitude With The Eternal... LP,Adversarial,Solitude With the Eternal...,Vinyl,Black 2024 press vinyl
Party Cannon - Volumes Of Vomit LP,Party Cannon,Volumes Of Vomit,Vinyl,Black 2022 press vinyl
Ufomammut - Hidden LP,Ufomammut,Hidden,Vinyl,Color 2024 press vinyl
Insect Inside – Into Impending Apotheosis Cassette,Insect Inside,Into Impending Apotheosis,Cassette,Cassette 2022
Drastus – La Croix De Sang LP,Drastus,La Croix De Sang,Vinyl,Black 2019 press vinyl
Inferno – Omniabsence Filled By His Greatness LP,Inferno,Omniabsence Filled By His Greatness,Vinyl,Black 2018 press vinyl
Heaven In Her Arms - White Halo LP,Heaven In Her Arms,White Halo,Vinyl,Electric Blue 2017 press
Many Blessings - Emanation Body LP,Many Blessings,Emanation Body,Vinyl,White-In-Clear 2020 press
Take Life - You Are Nowhere LP,Take Life,You Are Nowhere,Vinyl,Tri-Merge w/ Splatter 2022 press
Witching - Incendium LP,Witching,Incendium,Vinyl,Tri-Merge w/ Splatter 2023 press
Death - Human LP,Death,Human,Vinyl,Foil Jacket + Tri-Merge w/ Splatter 2024 press
Pig Destroyer - Prowler In The Yard LP,Pig Destroyer,Prowler In The Yard,Vinyl,Oxblood/Black Ripple 2024 press
Wiegedood - De Doden Hebben Het Goed I LP,Wiegedood,De Doden Hebben Het Goed I,Vinyl,Color 2021 press vinyl
Deathspell Omega – The Furnaces Of Palingenesia LP,Deathspell Omega,The Furnaces Of Palingenesia,Vinyl,Black 1st press vinyl
"Deathspell Omega - Drought 12""",Deathspell Omega,Drought,Vinyl,Black 1st press vinyl
All Else Failed - Archetype LP,All Else Failed,Archetype,Vinyl,Tri-Merge w/ Splatter 2023 press
Axioma - Sepsis LP,Axioma,Sepsis,Vinyl,Tri-Merge w/ Splatter 2022 press
Thra - Forged In Chaotic Spew LP,Thra,Forged In Chaotic Spew,Vinyl,Metallic Gold 2023 press
Come To Grief - When The World Dies LP,Come To Grief,When The World Dies,Vinyl,Tri-Merge w/ Splatter 2022 press
Labyrinth of Stars - Spectrum Xenomorph LP,Labyrinth of Stars,Spectrum Xenomorph,Vinyl,Tri-Merge w/ Splatter 2022 press
Teeth - The Curse Of Entropy LP,Teeth,The Curse Of Entropy,Vinyl,Moonphase w/ Splatter 2020 press
Wake - Confluence EP,Wake,Confluence,Vinyl,Merge w/ Splatter 2021 press
All Else Failed – A Most Bitter Season LP,All Else Failed,A Most Bitter Season,Vinyl,Split w/ Splatter 2022 press
Rosetta - The Galilean Satellites 2xLP,Rosetta,The Galilean Satellites,Vinyl,Aqua/Mustard 2018 press
Aseitas - False Peace 2xLP,Aseitas,False Peace,Vinyl,Bone w/ Splatter 2020 press
BLEMISH - Inclination - Unaltered Perspective LP,BLEMISH,Inclination - Unaltered Perspective,Vinyl,Yellow 2022 press vinyl
BLEMISH - Frogskin - III - Into Disgust LP,BLEMISH,Frogskin - III - Into Disgust,Vinyl,Marbled 2023 press vinyl
Final Form - The Devil's Game LP,Final Form,The Devil's Game,Vinyl,Splatter 2024 press vinyl
Gray State – Under The Wheels Of Progress LP,Gray State,Under The Wheels Of Progress,Vinyl,Red Marble 2024 press
Exhibit - Medal Of Honor CD,Exhibit,Medal Of Honor,CD,Jewel Case 2024
Gray State – Under The Wheels Of Progress CD,Gray State,Under The Wheels Of Progress,CD,Jewel Case 2024
Cruelty - Grey / Decay Cassette,Cruelty,Grey / Decay,Cassette,Cassette 2024
Exhibit - Medal Of Honor Cassette,Exhibit,Medal Of Honor,Cassette,Cassette 2024
"Dropdead - Discography Vol. 1 1992-1993 12""",Dropdead,Discography Vol. 1 1992-1993,Vinyl,Color 2021 press vinyl
Escalate - Consequences LP,Escalate,Consequences,Vinyl,Color 2024 press vinyl
One King Down - Bloodlust Revenge LP,One King Down,Bloodlust Revenge,Vinyl,Color 2023 press vinyl
Youth Of Today - We're Not In This Alone LP,Youth Of Today,We're Not In This Alone,Vinyl,Color 2024 press vinyl
"Mellow Harsher / Suppression - Split 7""",Mellow Harsher / Suppression,Split,Vinyl,Black 2019 press vinyl
"Most Precious Blood - Demo 7""",Most Precious Blood,Demo,Vinyl,Color 2023 press vinyl
"USED - Anguine – MMXXI / MMXXI² 12""",Anguine,MMXXI / MMXXI²,Vinyl,Black 2022 press vinyl
USED - Auroch – Taman Shud LP,Auroch,Taman Shud,Vinyl,Gold 2014 press vinyl
USED - Carcinoma - Labascation LP,Carcinoma,Labascation,Vinyl,Putrid Green 2022 press
"USED - Exaugurate - Chasm Of Rapturous Delirium 12""",xaugurate,Chasm Of Rapturous Delirium,Vinyl,Black 2020 press vinyl
USED - Intonate – Severed Within LP,Intonate,Severed Within,Vinyl,Gold w/ Black Splatter 2021 press
USED - Necrophagist - Epitaph LP,Necrophagist,Epitaph,Vinyl,Black 2017 press vinyl
USED - Nekrovault – Totenzug: Festering Peregrination LP,Nekrovault,Totenzug: Festering Peregrination,Vinyl,Purple 2020 press vinyl
USED - Seputus - Phantom Indigo 2xLP,eputus,Phantom Indigo,Vinyl,Blue/White 2021 press
USED - Faceless Burial - Speciation LP,Faceless Burial,Speciation,Vinyl,Blue-In-Clear 2020 press
USED - Këkht Aräkh – Night & Love LP,Këkht Aräkh,Night & Love,Vinyl,Black 2020 press vinyl
USED - Kurgan – Ascetic Dissociations LP,Kurgan,Ascetic Dissociations,Vinyl,Black 2022 press vinyl
USED - Lifvsleda – Sepulkral Dedikation LP,Lifvsleda,Sepulkral Dedikation,Vinyl,Black 2022 press vinyl
"USED - Lifvsleda – Lifvspänn 7""",Lifvsleda,Lifvspänn,Vinyl,Black 2022 press vinyl
USED - Revulsed - Cerebral Contamination CD,Revulsed,Cerebral Contamination C,CD,Jewel Case 2023
Cryptworm - Reeking Gunk Of Abhorrence Tape (ASIAN PRESS),Cryptworm,Reeking Gunk Of Abhorrence Tape (ASIAN PRESS),Cassette,Cassette 2024
Necrot - Mortal Cassette (ASIAN PRESS),Necrot,Mortal Cassette (ASIAN PRESS),Cassette,Cassette 2024
Wallowing - Planet Loss Cassette (ASIAN PRESS),Wallowing,Planet Loss Cassette (ASIAN PRESS),Cassette,Splatter 2019 press (lim/100)
USED - Khar Sulde – The Black Banners Of Cosmic War (The Second Battle Mix) Tape,Khar Sulde,The Black Banners Of Cosmic War (The Second Battle Mix),Cassette,Polycase + Black Shell 2022
USED - Caixão – Promo 2023 Cassette,Caixão,Promo 2023,Cassette,Cassette 2023
USED - Chevallier Skrog – Rolnická Renesance Cassette,Chevallier Skrog,Rolnická Renesance,Cassette,Cassette 2022
USED - Chevallier Skrog – Peasant Rebellion Cassette,Chevallier Skrog,Peasant Rebellion,Cassette,Cassette 2022
USED - Dibikimitig – Dibikad Cassette,ibikimitig,Dibikad,Cassette,Cassette 2023
USED - Nebulhaim - As Autumn Wanes Cassette,Nebulhaim,As Autumn Wanes,Cassette,White Shell 2022
USED - Oozing Tunnel - II Cassette,Oozing Tunnel,II,Cassette,White Shell 2022
USED - Satanism - In Conspiracy With... Cassette,atanism,In Conspiracy With...,Cassette,Cassette 2024
USED - Stinging Nettle - Reh'24 Cassette,tinging Nettle,Reh'24,Cassette,Cassette 2024
USED - Third Nail - Shepherd Of Wolves Cassette,Third Nail,Shepherd Of Wolves,Cassette,Cassette 2021
USED - Väki – Kirous Cassette,Väki,Kirous,Cassette,Cassette 2017
USED - Wolftower – At Dusk Of The Dying Stars Tape,Wolftower,At Dusk Of The Dying Stars,Cassette,Cassette 2022
USED - Wolftower – Crownless King Of The Dismal Dark Empire Cassette,Wolftower,Crownless King of the Dismal Dark Empire,Cassette,Cassette 2023
USED - Wyrd – Vandraren Cassette,Wyrd,Vandraren,Cassette,Cassette 2021
USED - Yönsumu – Thunderwords Cassette,Yönsumu,Thunderwords,Cassette,Cassette 2020
BLEMISH - Artica – Thought Pattern Of An Uncivilized Businessman CD,BLEMISH,Artica – Thought Pattern Of An Uncivilized Businessman,CD,Jewel Case 2008
BLEMISH / USED - Chronographs – Nausea CD,BLEMISH / USED,Chronographs – Nausea,CD,Digipak 2012
USED - Goddamn – More Human Than Us CD,Goddamn,More Human Than Us C,CD,Jewel Case 2015
"BLEMISH / USED - Invent, Animate – Stillworld CD",BLEMISH / USED,"Invent, Animate – Stillworld",CD,Digipak 2016
BLEMISH - The Room Colored Charlatan ‎– Primitives CD,BLEMISH,The Room Colored Charlatan ‎– Primitives,CD,Jewel Case 2014
BLEMISH - Wrath Of Vesuvius – Revelation CD,BLEMISH,Wrath Of Vesuvius – Revelation,CD,Jewel Case 2013
Aleska – Aleska CD,Aleska,Aleska,CD,Digipak 2016 (SEALED)
City In The Sky - Blurs CD,City In The Sky,Blurs,CD,Jewel Case 2010
Møl – I / II CD,Møl,I / II,CD,Digisleeve 2019 (SEALED)
Pelagic Records - MMXVIII CD,Pelagic Records,MMXVIII,CD,Digisleeve 2018 (SEALED)
Seila Chiara / Orfèvre – Seila Chiara / Orfèvre CD,Seila Chiara / Orfèvre,Seila Chiara / Orfèvre,CD,Digisleeve 2010 (SEALED)
The Hirsch Effekt – Eskapist CD,The Hirsch Effekt,Eskapist,CD,Jewel Case 2017
