description,artist,album,format,extra
Funeral Winds - Essence - Vinyl,Funeral Winds,Essence,Vinyl,
Fides Inversa - Historia Nocturna - Vinyl,Fides Inversa,Historia Nocturna,Vinyl,
Fides Inversa - Hanc Aciem Sola Retundit Virtus - Vinyl,Fides Inversa,Hanc Aciem Sola Retundit Virtus,Vinyl,
Gorgon - Traditio Satanae - Vinyl,Gorgon,Traditio Satanae,Vinyl,
Meyhnach - Miseria de Profundis - Vinyl,Meyhnach,Miseria de Profundis,Vinyl,
Hats Barn - Y.A.HW.E.H. - Vinyl,Hats Barn,Y.A.HW.E.H.,Vinyl,
Immortal - At The Heart Of Winter - Vinyl,Immortal,At The Heart Of Winter,Vinyl,
Enslaved - Mardraum - Beyond the Within - Vinyl,Enslaved,Mardraum - Beyond the Within,Vinyl,
Enslaved - Blodhemn - Vinyl,Enslaved,Blodhemn,Vinyl,
Enslaved - Frost - Vinyl,Enslaved,Frost,Vinyl,
CMPT - Krv i pepeo - Vinyl,CMPT,Krv i pepeo,Vinyl,
Mütiilation - The Lost Tapes - Vinyl,Mütiilation,The Lost Tapes,Vinyl,
Hate Forest - Hour Of The Centaur - Vinyl,Hate Forest,Hour Of The Centaur,Vinyl,
Samael - Worship Him - Vinyl,Samael,Worship Him,Vinyl,
Ondskapt - Arisen From The Ashes - Vinyl,Ondskapt,Arisen From The Ashes,Vinyl,
"Mütiilation - Remains of a Ruined, Dead, Cursed Soul - Vinyl",Mütiilation,"Remains of a Ruined, Dead, Cursed Soul",Vinyl,
Mütiilation - Black Millenium - Vinyl,Mütiilation,Black Millenium,Vinyl,
Meyhnach - Non Omnis Moriar - Vinyl,Meyhnach,Non Omnis Moriar,Vinyl,
Marduk - Those Of The Unlight - Vinyl,Marduk,Those of the Unlight,Vinyl,
Marduk - Fuck Me Jesus - Vinyl,Marduk,Fuck Me Jesus,Vinyl,
Impaled Nazarene - Ugra Karma - Vinyl,Impaled Nazarene,Ugra Karma,Vinyl,
Impaled Nazarene - Nihil - Vinyl,Impaled Nazarene,Nihil,Vinyl,
Hate Forest - The Most Ancient Ones - Vinyl,Hate Forest,The Most Ancient Ones,Vinyl,
Hate Forest - Sorrow - Vinyl,Hate Forest,Sorrow,Vinyl,
Dark Funeral - Vobiscum Satanas - Vinyl,Dark Funeral,Vobiscum Satanas,Vinyl,
Dark Funeral - The Secrets Of The Black Arts - Vinyl,Dark Funeral,The Secrets Of The Black Arts,Vinyl,
Avslut - Tyranni - Vinyl,Avslut,Tyranni,Vinyl,
Absu - The Third Storm Of Cythrául - Vinyl,Absu,The Third Storm Of Cythrául,Vinyl,
Marduk - Opus Nocturne - Vinyl,Marduk,Opus Nocturne,Vinyl,
Wampyric Rites / Moloch - The Serpent Cult of Darkness - Vinyl,Wampyric Rites / Moloch,The Serpent Cult of Darkness,Vinyl,
Funeral Fullmoon - Unholy Kingdom of Diabolic Emperors - Vinyl,Funeral Fullmoon,Unholy Kingdom of Diabolic Emperors,Vinyl,
Fellmoon - Fellmoon - Vinyl,Fellmoon,Fellmoon,Vinyl,
Virulent Specter - Satanic Territorial Moloch - Vinyl,Virulent Specter,Satanic Territorial Moloch,Vinyl,
Wolftower - Crownless King of the Dismal Dark Empire - Vinyl,Wolftower,Crownless King of the Dismal Dark Empire,Vinyl,
Styga - Tomos I - Vinyl,Styga,Tomos I,Vinyl,
Valac - Howls of Infinite Horror - Vinyl,Valac,Howls of Infinite Horror,Vinyl,
Arazubak - The Haunted Spawn of Torment - Tape,Arazubak,The Haunted Spawn of Torment,Cassette,
Celestia - Delhÿs-cätess - Vinyl,Celestia,Delhÿs-cätess,Vinyl,
Arazubak - Arazubak - Vinyl,Arazubak,Arazubak,Vinyl,
Vetëvrakh - Satanic Black Moloch - Vinyl,Vetëvrakh,Satanic Black Moloch,Vinyl,
Lythany / Vrkolak - Split - Vinyl,Lythany / Vrkolak,Split,Vinyl,
Blood Magic - Medieval Dark Arts - Vinyl,Blood Magic,Medieval Dark Arts,Vinyl,
Nächtlich - Satanas Solum Initium Est - Vinyl,Nächtlich,Satanas Solum Initium Est,Vinyl,
Nansarunai - Ultimul Rege - Vinyl,Nansarunai,Ultimul Rege,Vinyl,
Nidernes - Darkness Cenotaph - Vinyl,Nidernes,Darkness Cenotaph,Vinyl,
Styga - Tomos I - Tape,Styga,Tomos I,Cassette,
Nidernes - Beyond the Gleam of Nightsky - Vinyl,Nidernes,Beyond the Gleam of Nightsky,Vinyl,
Obskuritatem / Nidernes - Somber Winter Evocations - Vinyl,Obskuritatem / Nidernes,Somber Winter Evocations,Vinyl,
Wampyric Rites / Funeral Fullmoon - Spectral Shadows of the Forgotten Castle - Vinyl,Wampyric Rites / Funeral Fullmoon,Spectral Shadows of the Forgotten Castle,Vinyl,
Wampyric Rites - Demo IV - Vinyl,Wampyric Rites,Demo IV,Vinyl,
Wampyric Rites - Demo II - Vinyl,Wampyric Rites,Demo II,Vinyl,
Abduction - All Pain As Penance - Vinyl,Abduction,All Pain As Penance,Vinyl,
Nächtlich - Third Ritual - Vinyl,Nächtlich,Third Ritual,Vinyl,
Old Castles / Winterstorm - Everlasting Black Arts in Supreme Darkness - Vinyl,Old Castles / Winterstorm,Everlasting Black Arts in Supreme Darkness,Vinyl,
Mantiel / Wampyric Rites - Ensomhet (Shattered Memories From A Distant Past) - Vinyl,Mantiel / Wampyric Rites,Ensomhet (Shattered Memories From A Distant Past),Vinyl,
Pyreficativm - Oneiron - Vinyl,Pyreficativm,Oneiron,Vinyl,
Mantiel - Vestiges Engraved in Frozen Mysticism - Vinyl,Mantiel,Vestiges Engraved in Frozen Mysticism,Vinyl,
Ründgard - Ulvmonddomānen - Vinyl,Ründgard,Ulvmonddomānen,Vinyl,
Fonsadera / Biological Warfare - 暴力を表現するもう一つの方法 (Another Way of Expressing the Violence) - Vinyl,Fonsadera / Biological Warfare,暴力を表現するもう一つの方法 (Another Way of Expressing the Violence),Vinyl,
Wampyric Rites - Wandering the Dark Corridors of Oblivion - Tape,Wampyric Rites,Wandering the Dark Corridors of Oblivion,Cassette,
Lunar Tombfields - The Eternal Harvest - Vinyl,Lunar Tombfields,The Eternal Harvest,Vinyl,
Regarde Les Hommes Tomber - Exile - Vinyl,Regarde Les Hommes Tomber,Exile,Vinyl,
Hyrgal - Hyrgal - Vinyl,Hyrgal,Hyrgal,Vinyl,
Miasmes - Vermines - Vinyl,Miasmes,Vermines,Vinyl,
"Deliverance - Doomsday, Please. - Vinyl",Deliverance,"Doomsday, Please.",Vinyl,
Time Lurker / Cepheide - Split - Vinyl,Time Lurker / Cepheide,Split,Vinyl,
Time Lurker / Cepheide - Split - Tape,Time Lurker / Cepheide,Split,Cassette,
Au-Dessus - Mend - Vinyl,Au-Dessus,Mend,Vinyl,
Limbes / Mütterlein - Split - Vinyl,Limbes / Mütterlein,Split,Vinyl,
Déhà - Decadanse - Vinyl,Déhà,Decadanse,Vinyl,
Wesenwille - I: Wesenwille & Live at Roadburn - Vinyl,Wesenwille,I: Wesenwille & Live at Roadburn,Vinyl,
Cepheide - Les Echappées - Vinyl,Cepheide,Les Echappées,Vinyl,
Winterstorm - Vinterstormener - Vinyl,Winterstorm,Vinterstormener,Vinyl,
Gramarye - Necroprophecy - Tape,Gramarye,Necroprophecy,Cassette,
Gramarye - Spellbound In Black Majesty - Tape,Gramarye,Spellbound In Black Majesty,Cassette,
Endalok - Ür Draumend Viðurstyggðar - Vinyl,Endalok,Ür Draumend Viðurstyggðar,Vinyl,
Geistaz'Ika - Trolddomsejd I Skovens Dybe Kedel - Tape,Geistaz'Ika,Trolddomsejd I Skovens Dybe Kedel,Cassette,
Arna - Dragged To A Lunar Grave - Vinyl,Arna,Dragged To A Lunar Grave,Vinyl,
Armnatt - Eternal Flame - Tape,Armnatt,Eternal Flame,Cassette,
Armnatt - Dense Fog - Tape,Armnatt,Dense Fog,Cassette,
Armnatt - Darkness Times - Tape,Armnatt,Darkness Times,Cassette,
Ancient Burial - Beyond The Watchtower - Vinyl,Ancient Burial,Beyond The Watchtower,Vinyl,
Diabolical Fullmoon - The Pagan Wolves Will Rise Again - Vinyl,Diabolical Fullmoon,The Pagan Wolves Will Rise Again,Vinyl,
Wampyric Rites / Ages Of Blood - Southern Temple of Medieval Worship - Tape,Wampyric Rites / Ages Of Blood,Southern Temple of Medieval Worship,Cassette,
Wampyric Rites - Rehearsal MMXX - Tape,Wampyric Rites,Rehearsal MMXX,Cassette,
Wampyric Rites - Demo IV - Tape,Wampyric Rites,Demo IV,Cassette,
Wampyric Rites - Demo III - Tape,Wampyric Rites,Demo III,Cassette,
Wampyric Rites - Demo II - Tape,Wampyric Rites,Demo II,Cassette,
Wampyric Rites - Demo I - Tape,Wampyric Rites,Demo I,Cassette,
Wampyric Rites - Rehearsal MMXXI - Tape,Wampyric Rites,Rehearsal MMXXI,Cassette,
Ordem Satânica / Mons Veneris - Negros Manifestos De Ordem Venusiana - Vinyl,Ordem Satânica / Mons Veneris,Negros Manifestos De Ordem Venusiana,Vinyl,
Mons Veneris / Seance Of - Split - Vinyl,Mons Veneris / Seance Of,Split,Vinyl,
Mons Veneris / Broken Spirit - Voices: Herald to the Master - Vinyl,Mons Veneris / Broken Spirit,Voices: Herald to the Master,Vinyl,
Wømb / Ordem Satânica / Irae - Expurgação Da Ira Pelo Ventre De Satanás - Vinyl,Wømb / Ordem Satânica / Irae,Expurgação Da Ira Pelo Ventre De Satanás,Vinyl,
Vetus Supulcrum - A Shroud Of Desolation - Tape,Vetus Supulcrum,A Shroud Of Desolation,Cassette,
Vermisst - Zmierzch Stalowej Ciemności - Vinyl,Vermisst,Zmierzch Stalowej Ciemności,Vinyl,
Vel'Har - Letania 1 - Tape,Vel'Har,Letania 1,Cassette,
Valais - Valais - Tape,Valais,Valais,Cassette,
Valais - Valais - Vinyl,Valais,Valais,Vinyl,
Seance Of - The Color Of Magik - Vinyl,Seance Of,The Color Of Magik,Vinyl,
Ründgard - Stronghold of Majestic Ruins - Tape,Ründgard,Stronghold of Majestic Ruins,Cassette,
Ründgard - Stronghold of Majestic Ruins - Vinyl,Ründgard,Stronghold of Majestic Ruins,Vinyl,
Pestis Cultus - S/T - Tape,Pestis Cultus,S/T,Cassette,
Pestis Cultus - S/T - Vinyl,Pestis Cultus,S/T,Vinyl,
Nosophoros / Concordia Diaboli - Split - Tape,Nosophoros / Concordia Diaboli,Split,Cassette,
Nigrum Pluviam - Eternal Fall Into The Abyss - Vinyl,Nigrum Pluviam,Eternal Fall Into The Abyss,Vinyl,
Mons Veneris - My Dark Perpetual Winter - CD,Mons Veneris,My Dark Perpetual Winter,CD,
Irae - Lurking In The Depths - Tape,Irae,Lurking in the Depths,Cassette,
Irae - The Maniac Perversion Of My Soul - Tape,Irae,The Maniac Perversion Of My Soul,Cassette,
Irae - Lurking In The Depths - Vinyl,Irae,Lurking in the Depths,Vinyl,
Pensées Nocturnes - Douce Fange - Vinyl,Pensées Nocturnes,Douce Fange,Vinyl,
Wesenwille - II: A Material God - Vinyl,Wesenwille,II: A Material God,Vinyl,
Sordide - Les Idées Blanches - Vinyl,Sordide,Les Idées Blanches,Vinyl,
Rüyyn - Rüyyn - Vinyl,Rüyyn,Rüyyn,Vinyl,
Pensées Nocturnes - Grand Guignol Orchestra - Vinyl,Pensées Nocturnes,Grand Guignol Orchestra,Vinyl,
Pensées Nocturnes - Grotesque - Vinyl,Pensées Nocturnes,Grotesque,Vinyl,
Penitence Onirique - Vestige - Vinyl,Penitence Onirique,Vestige,Vinyl,
Numen - Numen - Vinyl,Numen,Numen,Vinyl,
Mur - Truth - Vinyl,Mur,Truth,Vinyl,
Les Chants De Nihil - Le Tyran et l'Esthète - Vinyl,Les Chants De Nihil,Le Tyran et l'Esthète,Vinyl,
Jours Pâles - Éclosion - Vinyl,Jours Pâles,Éclosion,Vinyl,
Hegemon - Sidereus Nuncius - Vinyl,Hegemon,Sidereus Nuncius,Vinyl,
Deluge - Æther - Vinyl,Deluge,Æther,Vinyl,
Darkenhöld - Echoes From The Stone Keeper - Vinyl,Darkenhöld,Echoes From The Stone Keeper,Vinyl,
Darkenhöld - A Passage To The Towers - Vinyl,Darkenhöld,A Passage To The Towers,Vinyl,
Darkenhöld - Castellum - Vinyl,Darkenhöld,Castellum,Vinyl,
Coldcell - The Greater Evil - Vinyl,Coldcell,The Greater Evil,Vinyl,
Crépuscule d'Hiver - Par-delà Noireglaces et Brumes-Sinistres - Vinyl,Crépuscule d'Hiver,Par-delà Noireglaces et Brumes-Sinistres,Vinyl,
Blurr Thrower - Les Voûtes - Vinyl,Blurr Thrower,Les Voûtes,Vinyl,
Borgne - Temps Morts - Vinyl,Borgne,Temps Morts,Vinyl,
Borgne - Y - Vinyl,Borgne,Y,Vinyl,
Bait - Revelation of the Pure - Vinyl,Bait,Revelation of the Pure,Vinyl,
Au-Dessus - Au-Dessus - Vinyl,Au-Dessus,Au-Dessus,Vinyl,
Au-Dessus - End of chapter - Vinyl,Au-Dessus,End of chapter,Vinyl,
Aorlhac - L’Esprit des Vents - Vinyl,Aorlhac,L’Esprit des Vents,Vinyl,
Aorlhac - Pierres brûlées - Vinyl,Aorlhac,Pierres brûlées,Vinyl,
Wampyric Rites - Demo III - Vinyl,Wampyric Rites,Demo III,Vinyl,
Revenant Marquis - Anti-Universal Compassion / Orphans - Vinyl,Revenant Marquis,Anti-Universal Compassion / Orphans,Vinyl,
Glemt - Eclipsing Through The Womb Of Twilight And Dementia - Vinyl,Glemt,Eclipsing Through The Womb Of Twilight And Dementia,Vinyl,
Crucifixion Bell - Eternal Grip Of The Nocturnal Empire - Vinyl,Crucifixion Bell,Eternal Grip of the Nocturnal Empire,Vinyl,
Aarkanne - Mysterii - Vinyl,Aarkanne,Mysterii,Vinyl,
VVitchnight - Old Perverted Nightmare - Tape,VVitchnight,Old Perverted Nightmare,Cassette,
VVitchnight - Demo II - Tape,VVitchnight,Demo II,Cassette,
Vamlúrnia - Bloodmoon Sacrifices - Tape,Vamlúrnia,Bloodmoon Sacrifices,Cassette,
Nigrum Pluviam - Eternal Fall into the Abyss - Tape,Nigrum Pluviam,Eternal Fall Into The Abyss,Cassette,
Mürmurio - Demo I - Tape,Mürmurio,Demo I,Cassette,
Mörmoo - Escombros Da Alma - Tape,Mörmoo,Escombros Da Alma,Cassette,
Mörmoo / Nigrum Pluviam - Mizmor / Crachin - Tape,Mörmoo / Nigrum Pluviam,Mizmor / Crachin,Cassette,
Mörmbrztröm - Les Portes De L’oubli - Tape,Mörmbrztröm,Les Portes De L’oubli,Cassette,
Mons Veneris - Sibilando Com O Mestre Negro - Tape,Mons Veneris,Sibilando com o Mestre Negro,Cassette,
Gorsedd FM - Parhad - Tape,Gorsedd FM,Parhad,Cassette,
Embodied Spectre - La vall - Tape,Embodied Spectre,La vall,Cassette,
Condescendance - Chao Wampirii - Tape,Condescendance,Chao Wampirii,Cassette,
Concordia Diaboli - Concordia Diaboli - Tape,Concordia Diaboli,Concordia Diaboli,Cassette,
Coffinweaver - Sombre Passage - Tape,Coffinweaver,Sombre Passage,Cassette,
Atrium Malum - Vacuité Existentielle - Tape,Atrium Malum,Vacuité Existentielle,Cassette,
Atrax Morgue - A Tribute To Marco Borbelli - Tape,Atrax Morgue,A Tribute To Marco Borbelli,Cassette,
Tolaeth - Tolaeth - Tape,Tolaeth,Tolaeth,Cassette,
Crimson Moon - Oneironaut - Tape,Crimson Moon,Oneironaut,Cassette,
Velo Misere - Genealogía Del Eterno Desasosiego - Tape,Velo Misere,Genealogía Del Eterno Desasosiego,Cassette,
Human Serpent - Heirlooms Eternal - Vinyl,Human Serpent,Heirlooms Eternal,Vinyl,
Korgonthurus - Korgonthurus / Ristillä Mädäntyen - Vinyl,Korgonthurus,Korgonthurus / Ristillä Mädäntyen,Vinyl,
Avsky - Mass Destruction - Vinyl,Avsky,Mass Destruction,Vinyl,
Nöldr - Misanthropic Forest - CD,Nöldr,Misanthropic Forest,CD,
Wampyric Rites / Satanic Count / Winterstorm / Demonic War - Night of Consecration - CD,Wampyric Rites / Satanic Count / Winterstorm / Demonic War,Night of Consecration,CD,
Grógaldr - Grógaldr - CD,Grógaldr,Grógaldr,CD,
Versifist - The Power of the Word / The Devilry of Air - CD,Versifist,The Power of the Word / The Devilry of Air,CD,
"Sørgelig - We, The Oblvious - CD",Sørgelig,"We, The Oblvious",CD,
Atra Mors - Dominate Upon the Throne of Might - CD,Atra Mors,Dominate Upon the Throne of Might,CD,
Idolatry - In Nomine Mortis - CD,Idolatry,In Nomine Mortis,CD,
Spiritwood - Cold Moon Blasphemies - CD,Spiritwood,Cold Moon Blasphemies,CD,
Wolves' Winter - Necrosophic Illumination - CD,Wolves' Winter,Necrosophic Illumination,CD,
Ancestral Shadows - Preserving All Darkness in This World - CD,Ancestral Shadows,Preserving All Darkness in This World,CD,
Kult ov Azael / Idolatry - Luciferian Vengeance - CD,Kult ov Azael / Idolatry,Luciferian Vengeance,CD,
Idolatry - Visions from the Throne of Eyes - CD,Idolatry,Visions From The Throne of Eyes,CD,
Malepeste - Deliquiscent Exaltation - CD,Malepeste,Deliquiscent Exaltation,CD,
Graatindr / Skógr - Wisdom of Old - CD,Graatindr / Skógr,Wisdom of Old,CD,
Pure - Kingdom of Wrath - CD,Pure,Kingdom of Wrath,CD,
Paimonia - Disease Named Humanity - CD,Paimonia,Disease Named Humanity,CD,
Skógr - In Obscure Darkness - CD,Skógr,In Obscure Darkness,CD,
Pestreiter - Todeswiehe - CD,Pestreiter,Todeswiehe,CD,
Suicidal Winds - Devil's Feast - CD,Suicidal Winds,Devil's Feast,CD,
Moloch - Sterben unter der Blasse der Unvermeidlichkeit - CD,Moloch,Sterben unter der Blasse der Unvermeidlichkeit,CD,
Kveste / Neftaraka - Finis Coronat Opus - CD,Kveste / Neftaraka,Finis Coronat Opus,CD,
Hats Barn - Primitive Humans Desecration - CD,Hats Barn,Primitive Humans Desecration,CD,
Decline of the I - Rebellion - Vinyl,Decline of the I,Rebellion,Vinyl,
Vèrmyapre Kommando - Crache-la-Mört - Vinyl,Vèrmyapre Kommando,Crache-la-Mört,Vinyl,
"Black Cilice - A Corpse, A Temple - Vinyl",Black Cilice,"A Corpse, A Temple",Vinyl,
Black Cilice - Mysteries - Vinyl,Black Cilice,Mysteries,Vinyl,
Solar Temple - Fertile Descent - Vinyl,Solar Temple,Fertile Descent,Vinyl,
Tezcatlipoca - Tlayohualtlapelani - Vinyl,Tezcatlipoca,Tlayohualtlapelani,Vinyl,
Mahr - Antelux - Vinyl,Mahr,Antelux,Vinyl,
Mahr - Soulmare (I & II) - Vinyl,Mahr,Soulmare (I & II),Vinyl,
Obsequiae - The Palms of Sorrowed Kings - Vinyl,Obsequiae,The Palms of Sorrowed Kings,Vinyl,
Vleddermos - Worshippers of the Unhuly Gather Under the Fullmoon - Vinyl,Vleddermos,Worshippers of the Unhuly Gather Under the Fullmoon,Vinyl,
I Myrkri - Black Fortress of Solitude - Vinyl,I Myrkri,Black Fortress of Solitude,Vinyl,
Mahr - Maelstrom - Vinyl,Mahr,Maelstrom,Vinyl,
Black Cilice - Banished From Time - Vinyl,Black Cilice,Banished From Time,Vinyl,
Windir - Likeferd - Vinyl,Windir,Likeferd,Vinyl,
Windir - Sóknardalr - Vinyl,Windir,Sóknardalr,Vinyl,
Windir - Arntor - Vinyl,Windir,Arntor,Vinyl,
Windir - 1184 - Vinyl,Windir,1184,Vinyl,
Abkehr - In Blut - Vinyl,Abkehr,In Blut,Vinyl,
Pan-Amerikan Native Front - Little Turtle's War - Vinyl,Pan-Amerikan Native Front,Little Turtle's War,Vinyl,
Baxaxaxa - Catacomb Cult - Vinyl,Baxaxaxa,Catacomb Cult,Vinyl,
Svartrit - III - Vinyl,Svartrit,III,Vinyl,
Svartrit - II - Vinyl,Svartrit,II,Vinyl,
Svartrit - I - Vinyl,Svartrit,I,Vinyl,
Murmur - Mainlining the Lugubrious - Vinyl,Murmur,Mainlining The Lugubrious,Vinyl,
Wampyric Rites - Reflections Of A Frostbitten Moon - Vinyl,Wampyric Rites,Reflections Of A Frostbitten Moon,Vinyl,
Attic Presence - The Unwelcomed Ones - Vinyl,Attic Presence,The Unwelcomed Ones,Vinyl,
Funeral Fullmoon - Poetry of the Death Poison - Vinyl,Funeral Fullmoon,Poetry of the Death Poison,Vinyl,
Anaal Nathrakh - The Whole of the Law - Vinyl,Anaal Nathrakh,The Whole of the Law,Vinyl,
Grabunhold - Heldentod - Vinyl,Grabunhold,Heldentod,Vinyl,
Lampir - Awaiting the Predatory Dreamscape - Vinyl,Lampir,Awaiting the Predatory Dreamscape,Vinyl,
Hulder - Godslastering Hymns of a Forlorn Peasantry - Vinyl,Hulder,Godslastering Hymns of a Forlorn Peasantry,Vinyl,
Hwwauoch - Protest Against Sanity - Vinyl,Hwwauoch,Protest Against Sanity,Vinyl,
Azketem - Inzernznytazure - Tape,Azketem,Inzernznytazure,Cassette,
Dkharmakhaoz - Proclamation ov the Black Suns - Vinyl,Dkharmakhaoz,Proclamation ov the Black Suns,Vinyl,
Black Funeral - Scourge of Lamashtu - Vinyl,Black Funeral,Scourge of Lamashtu,Vinyl,
Dodenbezweerder - Vrees de toorn van de wezens verscholen achter majestueuze vleugels - Vinyl,Dodenbezweerder,Vrees de toorn van de wezens verscholen achter majestueuze vleugels,Vinyl,
Black Cilice - Transfixion of Spirits - Vinyl,Black Cilice,Transfixion of Spirits,Vinyl,
Arkhaaik - *dʰg̑ʰm̥tós - Vinyl,Arkhaaik,*dʰg̑ʰm̥tós,Vinyl,
Mesarthim - The Density Parameter - Vinyl,Mesarthim,The Density Parameter,Vinyl,
Pa Vesh En - Burial - Vinyl,Pa Vesh En,Burial,Vinyl,
Pa Vesh En - Pyrefication - Vinyl,Pa Vesh En,Pyrefication,Vinyl,
Pa Vesh En - Cryptic Rights of Necromancy - Vinyl,Pa Vesh En,Cryptic Rights of Necromancy,Vinyl,
Pa Vesh En - Church of Bones - Vinyl,Pa Vesh En,Church of Bones,Vinyl,
Pa Vesh En - Knife Ritual / Dead Womb - Vinyl,Pa Vesh En,Knife Ritual / Dead Womb,Vinyl,
Pa Vesh En / Temple Moon - Same - Vinyl,Pa Vesh En / Temple Moon,Same,Vinyl,
Black Funeral - Moon of Characith - Vinyl,Black Funeral,Moon of Characith,Vinyl,
Darkspace - I - Vinyl,Darkspace,I,Vinyl,
Immortal - Blizzard Beasts - Vinyl,Immortal,Blizzard Beasts,Vinyl,
Immortal - Pure Holocaust - Vinyl,Immortal,Pure Holocaust,Vinyl,
Immortal - Diabolical Fullmoon Mysticism - Vinyl,Immortal,Diabolical Fullmoon Mysticism,Vinyl,
Panopticon - The Scars Of Man On The Once Nameless Wilderness Pt. I - Vinyl,Panopticon,The Scars Of Man On The Once Nameless Wilderness Pt. I,Vinyl,
Panopticon - The Scars Of Man On The Once Nameless Wilderness Pt. II - Vinyl,Panopticon,The Scars Of Man On The Once Nameless Wilderness Pt. II,Vinyl,
Mütiilation - The Lost Tapes - Vinyl,Mütiilation,The Lost Tapes,Vinyl,
"Mütiilation - Destroy Your Life For Satan (10"" LP) - Vinyl",Mütiilation,"Destroy Your Life For Satan (10"" LP)",Vinyl,
The Committee - Utopian Deception - Vinyl,The Committee,Utopian Deception,Vinyl,
Mgła - Presence / Power And Will - Vinyl,Mgła,Presence / Power And Will,Vinyl,
Marduk - Panzer Division Marduk - Vinyl,Marduk,Panzer Division Marduk,Vinyl,
Caladan Brood - Echoes Of Battle - Vinyl,Caladan Brood,Echoes Of Battle,Vinyl,
Afsky - Ofte Jeg Drømmer Mig Død (Digipak CD) - CD,Afsky,Ofte Jeg Drømmer Mig Død (Digipak CD),CD,
Kalmankantaja - Korpi - Vinyl,Kalmankantaja,Korpi,Vinyl,
Wolves In The Throne Room -  Celestite - Vinyl,Wolves In The Throne Room,Celestite,Vinyl,
Emperor - Emperor (EP) - Vinyl,Emperor,Emperor (EP),Vinyl,
