"4000 x 4""x6"" Split Flyers | Vinyl",,,,
Helios Fundraiser - Logo T Shirt | Vinyl,,,,
Helios Fundraiser - Tote Bag | Vinyl,,,,
Helleruin / De Gevreesde Ziekte Split LP | Vinyl,,,,
Hellfire Deathcult / Nigrummagia  Split LP | Vinyl,,,,
Hideous Chaos / Front Terror Split LP (Late 80's Polish Thrash/Grind) | Vinyl,,,,
Ifernach / Mort Aux Gueux Split LP (GoatowaRex) | Vinyl,,,,
Impurity / Sex Messiah Split Rising Sun Color LP | Vinyl,,,,
Impurity / Sex Messiah Split Test Press LP | Vinyl,,,,
Klanen / ​Μνήμα​ / Celestial Sword / The Oracle Split LP | Vinyl,,,,
"Knife Hits ‎""Eris"" LP | Vinyl",,,,
Korgonthurus / Musta Kappeli Split LP | Vinyl,,,,
Krieg / Moloch Split LP | Vinyl,,,,
"LVTHN / Häxenzijrkell Split 10"" | Vinyl",,,,
Lymphatic Phlegm / Morgue Breath Split LP | Vinyl,,,,
Macabro Genocidio / Morbosatan Split LP | Vinyl,,,,
Maeströ Cröque Mört / Wunderwaffe Split LP | Vinyl,,,,
Monstraat / Hinsides Split LP | Vinyl,,,,
Monstraat ¨Monstraat¨ LP | Vinyl,,,,
"Muspellzheimr / Aiwigaz Undergangaz Split 10"" | Vinyl",,,,
Múspellzheimr / Cage of Creation Split LP | Vinyl,,,,
Nahtrunar / Hesychia Split LP | Vinyl,,,,
"Nightbringer / Serpentinam Split 10"" | Vinyl",,,,
"Nirvana 2002 – Recordings 89-91"" Test Press LP | Vinyl",,,,
Nunslaughter / Blood Split LP | Vinyl,,,,
Omegavortex / Pious Levus Split LP | Vinyl,,,,
Opera IX / Black Oath Split LP | Vinyl,,,,
"Óreiða / Holocausto Em Chamas Split 10"" | Vinyl",,,,
Ormgard / Sons of Fenris Split LP | Vinyl,,,,
Orodruin / Warden Split LP (Lim to 100) | Vinyl,,,,
Osculum Infame / Funeral Split LP | Vinyl,,,,
Ossuarium / Draghkar Split LP | Vinyl,,,,
Outo / The Clay Split LP | Vinyl,,,,
"Poison Leather ‎""Trapped In The Abyss Of Chauvet"" LP | Vinyl",,,,
Product Assar / Akkut Ingelesse Split LP | Vinyl,,,,
Regere Sinister / Reptile Womb Split LP | Vinyl,,,,
Regere Sinister / Reptile Womb Test Press Split LP | Vinyl,,,,
Ripper / Venus Torment Split LP | Vinyl,,,,
"Sabbat / Filii Nigrantium Infernalium Split 10"" | Vinyl",,,,
"Sacrilegious Rite / Bestial Holocaust Split 7"" | Vinyl",,,,
Satanic Warmaster / Clandestine Blaze Split LP | Vinyl,,,,
"Shining / Monumentum Split 10"" | Vinyl",,,,
Shrine of the Serpent / Black Urn Split LP | Vinyl,,,,
Skinliv / Vermisst Split LP | Vinyl,,,,
Sonic Terrorism / Morbid Agression Split LP | Vinyl,,,,
"Stygian Temple - In the Sign of the Five Angles"" LP | Vinyl",,,,
Sulphuric Night / Borda's Rope Split LP | Vinyl,,,,
"Team Robespierre / Brevator split 10"" | Vinyl",,,,
Tetragrammacide / Lord of Depression / Infernal Sacrament Split LP | Vinyl,,,,
The Sexual / A.T. Det Split LP | Vinyl,,,,
Trhä / Misotheismus Split LP | Vinyl,,,,
Trhä / Starcave Nebula Split LP | Vinyl,,,,
Trhä / Μνήμα (Mnhma) Split LP | Vinyl,,,,
Trono Além Morte / Vetala Split LP | Vinyl,,,,
"Turbocharged ‎""Branded And Arrogant (The Early Heresies)"" LP | Vinyl",,,,
Turia / Vilkacis Split LP | Vinyl,,,,
Undergang / Anatomia Split LP | Vinyl,,,,
"V/A Complete Death Live LP (With S.O.B., Poison Arts, Outo, Sqwad) | Vinyl",,,,
V/A Constellation of Death LP | Vinyl,,,,
V/A Death Lives! LP | Vinyl,,,,
V/A Five Continents of Barbaric Hordes and Storming Hatred LP | Vinyl,,,,
V/A Four Winds of Revelation LP (GoatowaRex) | Vinyl,,,,
V/A Frostmoon Eclipse / Somrak / The Stone / Horned Almighty LP | Vinyl,,,,
"V/A Metal Mania LP (Judas Priest, BOC, Fastway, etc.) | Vinyl",,,,
V/A Vestibule of Hell LP + Booklet | Vinyl,,,,
"Vetter ""Av Sublim Natur""LP | Vinyl",,,,
W.B.I. / Tumor Split LP | Vinyl,,,,
Wacht / Balest Split LP | Vinyl,,,,
Wolfthorn / Erhabenheit Split LP | Vinyl,,,,
"Wyzard ""Knights Of Metal"" LP (Original 2nd Press 1984) | Vinyl",,,,
Μνήμα (Mnhma) / Spider God Split LP | Vinyl,,,,
Крюкокрест / Niteris Split LP | Vinyl,,,,
"Alcoholic Rites / Lustrum Split 7"" | Vinyl",,,,
"Altars / Whip and the Body split 7"" | Vinyl",,,,
"Anatomia / Druid Lord Split 7"" | Vinyl",,,,
"Ancient Necromancy / Pissmoon Split 7"" | Vinyl",,,,
"Anguish / Below Split 7"" | Vinyl",,,,
"Annihilation 666 / Bliss of Flesh split 7"" | Vinyl",,,,
"Apocalyptic Noise Syndicate / Nibiru Split Flexi 7"" | Vinyl",,,,
Apolion / Eswiel Split 7” | Vinyl,,,,
"Ascended Dead / Evil Priest Split 7"" | Vinyl",,,,
"Ater Tenebrae / Ravenshades Split 7"" | Vinyl",,,,
"Aytnachr / Sacellum Luciferi Split 7"" | Vinyl",,,,
"Azoth /Bleakwood   Split 7"" | Vinyl",,,,
Behalf Fiend ”A Step To Chaos” 7’’ | Vinyl,,,,
"Betrayer/Neolith Split 7"" | Vinyl",,,,
"Bitterness / Witchburner Split 7"" | Vinyl",,,,
"Black Ops / Leng Tch'e Split 7"" | Vinyl",,,,
"Black Priest of Satan / Crucifixion Wounds Split 7"" | Vinyl",,,,
"Black Winter / Nethescerial Split 7"" | Vinyl",,,,
"Cadaver / Voice of Hate Silver Vinyl Split 7"" | Vinyl",,,,
"Clotted Symmetric Sexual Organ / Vivisection Green Vinyl Split 7"" | Vinyl",,,,
"Conceived by Hate / Nuclear Split 7"" | Vinyl",,,,
"Daemonlord / Key of Mythras Split 7"" | Vinyl",,,,
Daemonlord ”Coil Of Devastation” 7’’ | Vinyl,,,,
"Dangerous Force / Solitude Split 7"" | Vinyl",,,,
"Death Courier / Conspiracy Split 7"" | Vinyl",,,,
"Deathevokation / Graveyard Test Press Split 7"" | Vinyl",,,,
"Decrepitaph / Eternal Solstice Split 7"" | Vinyl",,,,
"Deinonychus ‎""The Audial Representation Of Misery And Despair"" 7"" | Vinyl",,,,
"Déliquescence / Neige Et Noirceur Split 7"" | Vinyl",,,,
"Demonic Compulsion / Infernal Puke Split 7"" | Vinyl",,,,
"Desekryptor / Draghkar Split 7"" | Vinyl",,,,
"Disclose / G.A.T.E.S. Black Vinyl Split 7"" | Vinyl",,,,
"Dogtag / Infanticide Split 7"" | Vinyl",,,,
"Endwarfment / Victimised Split 7"" (Norse thrash/grind retards) | Vinyl",,,,
"Entrapment / Massive Assault Split 7"" | Vinyl",,,,
"Erectile Dementia / Madre Coca Split 7"" | Vinyl",,,,
"Erzfeynd / Rraaumm Split 7"" | Vinyl",,,,
Eulogy ”Eulogy” 7’’ | Vinyl,,,,
"Evil / Siege Column Split 7"" | Vinyl",,,,
"Excessum / Orcivus Split 7"" | Vinyl",,,,
"Gharmelicht / Pissmoon Split 7"" | Vinyl",,,,
Gig Ticket: Blasphemy / Death Worship etc. 12/7/24 Mexico City | Vinyl,,,,
"Goat Vengeance ”We Bring The Goat Massacre On..."" 7"" | Vinyl",,,,
"Gra / Gnosis of the Witch Split 7"" | Vinyl",,,,
"Gride / Turbokrieg Split 6"" | Vinyl",,,,
"Grind Crusher / Cut Your Throat Split 7"" | Vinyl",,,,
"Hand of Orlac / Sodomizer Split 7"" | Vinyl",,,,
"Harassor / Moon Dark Split 7"" + Demo CDR | Vinyl",,,,
Helios Fundraiser - 500 LPs Package | Vinyl,,,,
Helios Fundraiser - Eternal Thanks List | Vinyl,,,,
Helios Fundraiser - Factory Tour Plus | Vinyl,,,,
Helios Fundraiser - Logo Patches | Vinyl,,,,
Helios Fundraiser - Logo T Shirt | Vinyl,,,,
Helios Fundraiser - Tote Bag | Vinyl,,,,
"Hell Torment / Slaughter Command Split 7"" | Vinyl",,,,
"Ignivomous / Tzun Tzu Split Test Press 7"" | Vinyl",,,,
"Ill Omened / Sickrites Split 7"" | Vinyl",,,,
"In League With Satan / Blaspherian Split 7"" | Vinyl",,,,
"Inculter / Reptillian Split 7"" | Vinyl",,,,
"Inhuman Nature / Road Mutant Split 7"" | Vinyl",,,,
Inkblack / Fondlecorpse ”Inkblack Versus Fondlecorpse” 7’’ | Vinyl,,,,
"Inner Helvete / Front Beast Split 7"" | Vinyl",,,,
"Isaz / Wolfsschrei Split 7"" | Vinyl",,,,
"Isolation / Sleeping Village Split 7"" | Vinyl",,,,
"Kadaverficker / Semen Split 7"" (Gore Grind) | Vinyl",,,,
"Kandar / No God RhetoricSplit 7"" | Vinyl",,,,
"Karnarium / Defiler Split 7"" | Vinyl",,,,
Koldbrann ”Atomvinter” 7’’ | Vinyl,,,,
"Kommandant / Absentia Lunae Split 7"" | Vinyl",,,,
"Locusta / Night Soil split 7"" | Vinyl",,,,
"Macabre / Capitalist Casualties Split Red Vinyl 7"" | Vinyl",,,,
"Maléfices / Vilktakai Split 7"" | Vinyl",,,,
"Malfeitor / Amok Split 7"" | Vinyl",,,,
"Malokarpatan / Necromante Split 7"" (Boob demon cover) | Vinyl",,,,
"Malokarpatan / Necromante Split 7"" (Downs Vampire Cover) | Vinyl",,,,
Metal Execution Zine #1 | Vinyl,,,,
"Midryasi / Doomraiser Split 7"" | Vinyl",,,,
"Mine / Dawnbreed Split 7"" | Vinyl",,,,
"Moenen of Xezbeth / Obrok split 7"" | Vinyl",,,,
"MORAST / VIDARGÄNGR Split 7"" | Vinyl",,,,
"Mordhell / Moloch Letalis Split 7"" | Vinyl",,,,
Mordichrist ”Dressed In Menace” 7’’ | Vinyl,,,,
My Minds Mine / Suffering Quota Split 7” | Vinyl,,,,
"Necroplasma / Dom Dracul / Capitis Damnare / Sarin Split 7"" | Vinyl",,,,
"Nocturnal Evil / Master of Cruelty Split 7"" | Vinyl",,,,
"Nocturnal Vomit / Empheris Split 7"" | Vinyl",,,,
"NunSlaughter / Bloodsick Split Picture 7"" | Vinyl",,,,
"NunSlaughter / Sloth Split Picture 7"" | Vinyl",,,,
"NunSlaughter / Unholy Grave Split Silver Cover 7"" | Vinyl",,,,
"Obscure Infinity / Deathronation Split 7"" | Vinyl",,,,
"Order of the Ebon Hand / Akrotheism Split 7"" | Vinyl",,,,
"Orthrelm / Behold... The Arctopus Split 7"" | Vinyl",,,,
"Osiron / The Black Death Split 7"" | Vinyl",,,,
Paganfire ”Hate Vanishing Point” 7’’ | Vinyl,,,,
"Phlegethon's Majesty / Gouffre Split 7"" | Vinyl",,,,
"Prayer of the Dying / Thy Legion Split 7"" | Vinyl",,,,
"Primigenium / Aversio Humanitatis Split 7"" | Vinyl",,,,
"Profanal / Into Darkness Split 7"" | Vinyl",,,,
"Profezia / Ancestors Blood Split 7"" | Vinyl",,,,
"Ride For Revenge / Satanic Torment Split 7"" | Vinyl",,,,
"Rites of Cleansing / Torch of War Split 7"" | Vinyl",,,,
"Sacrenoir/Ende Split 7"" | Vinyl",,,,
"Sadistic Lingam Cult / Sexmord Split 7"" | Vinyl",,,,
"Sadistik Exekution / Doomed and Disgusting Split 7"" | Vinyl",,,,
"Sadistik Exekution / Doomed and Disgusting Test Press Split 7"" | Vinyl",,,,
"Satanize / Vetala Split 7"" | Vinyl",,,,
Shadowbreed ”Avatar” 7’’ | Vinyl,,,,
"Sheol / For Split Black 7"" | Vinyl",,,,
Sodomizer / Farscape ”The Horror Can't Stop” 7’’ | Vinyl,,,,
"Solitude / Dangerous Force Split 7"" | Vinyl",,,,
"Sorrower / Violence of Humanity Split 7"" | Vinyl",,,,
"Stench Collector / Seep Split 7"" | Vinyl",,,,
"Street Walker / Catheter Split 7"" | Vinyl",,,,
"Szarlem / Wolfspirit Split 7"" | Vinyl",,,,
"Terrorazor/Carnivore Mind split 7"" | Vinyl",,,,
The Amenta ”Mictlan” 7’’ | Vinyl,,,,
"The Stone ”Serbian Woods” Picture 7"" | Vinyl",,,,
"The Syre / Audiopain Split Black Vinyl 7"" | Vinyl",,,,
"The Syre / Audiopain Split Brown Vinyl 7"" (Lim to 100) | Vinyl",,,,
"Thy Serpent / Ash Pool Split 7"" | Vinyl",,,,
"Toxic Holocaust ”Death Master” Test Press 7"" | Vinyl",,,,
"Troll/Aeon Winds Split 7"" | Vinyl",,,,
"Unclean/Agmen split 7"" | Vinyl",,,,
"V/A A Crash Course in Noise 7"" | Vinyl",,,,
"V/A Black Metal Terror with Malign / Ofermod / Triumphator / Watain 4 x Picture 7"" Boxset | Vinyl",,,,
"V/A Thrash Metal Blitzkrieg Vol. 3 7"" | Vinyl",,,,
Vexed / Hatework ”Nuclear Babylon / Bastard” Split 7’’ | Vinyl,,,,
Villainy ¨Heir to the Throne¨ 7¨ | Vinyl,,,,
"Vinterriket / Manifesto split 7"" | Vinyl",,,,
"Virus of Koch / Aenaon Split 7"" | Vinyl",,,,
"Void Prayer / Nidernes Split 7"" | Vinyl",,,,
"Voidd / Kathode Split 7"" | Vinyl",,,,
"Vorkuta / Kratornas split 7"" | Vinyl",,,,
"White Medal / Arcane North Split 7"" | Vinyl",,,,
"White Medal / Dommedagssalme Split 7"" | Vinyl",,,,
"Zarach 'Baal' Tharagh* / Karbonized Traitor Split 7"" | Vinyl",,,,
Abscess / Bonesaw Split CD | CD,,,,
Ancestors Blood / Heervader Split CD | CD,,,,
Arazubak / Nansarunai Split Digipak CD | CD,,,,
Ares Kingdom ¨Incendiary¨ CD | CD,,,,
Avsked / Schlaflos Split CD | CD,,,,
Bahimiron / Unchrist Split CD | CD,,,,
"Bewitched Hibernum in Perpetuum - 22th Anniversary Celebration"" Double CD | CD",,,,
Black Torment / Nodens / Tyrannizer Örder Split CD | CD,,,,
Blackhorned / Hak-Ed Damm Split CD | CD,,,,
Blessed in Sin / Ordo Templi Aeternae Lucis Split CD | CD,,,,
Blood I  Bleed / Lycanthropy Split CD | CD,,,,
Botulistum / Göll Split CD | CD,,,,
Bunkur / Mordor Split CD | CD,,,,
Carathis / Sulfure Split CD | CD,,,,
Conceived by Hate / Akheron Split CD | CD,,,,
Crystalline Darkness / Maldicao Split CD | CD,,,,
Crystalline Darkness / Pestilencia Split CD | CD,,,,
Dark Filth / Gutricyde Split CD | CD,,,,
"Dead Infection ‎""Brain Corrosion"" Digipak CD | CD",,,,
Diabolical Messiah / Swarm of Terror Split CD | CD,,,,
Drengskapur / Häxenzijrkell Split Digipak CD | CD,,,,
"Embracing Dreams Left Behind"" CD | CD",,,,
Enemy ¨Cruda Realidad¨ CD | CD,,,,
Evil / Moloch Split CD | CD,,,,
Evil Madness / Infant Death Split CD | CD,,,,
Eviscerate ¨Beneath Dyingskies¨Digipak CD | CD,,,,
Gig Ticket: Blasphemy / Death Worship etc. 12/7/24 Mexico City | CD,,,,
Grizzly Fetish / Flaggelik Kommando 666 Split CD | CD,,,,
Helios Fundraiser - 500 LPs Package | CD,,,,
Helios Fundraiser - Eternal Thanks List | CD,,,,
Helios Fundraiser - Factory Tour Plus | CD,,,,
Helios Fundraiser - Logo Patches | CD,,,,
Helios Fundraiser - Logo T Shirt | CD,,,,
Helios Fundraiser - Tote Bag | CD,,,,
Helleruin / De Gevreesde Ziekte Split Digipak CD | CD,,,,
Infesticide / In Obscurity Revealed Split CD | CD,,,,
Infesticide / In Obscurity Revealed Split MC | CD,,,,
Kalmankantaja / Oþalan Split CD | CD,,,,
Kratherion ¨Mantra Lucifer Flagelantes¨ CD | CD,,,,
Marblebog / Draugurz Split CD | CD,,,,
mardraum | CD,,,,
"Miserist ‎""Miserist"" Digipak CD | CD",,,,
Mortuus Caelum ''Macto Interitum Mundi'' CD | CD,,,,
Nächtlich / Grundhyrde Split Digipak CD | CD,,,,
Necronomicon Beast / Fetid Zombie Split CD | CD,,,,
"Necrophobic ‎""Mark Of The Necrogram"" CD | CD",,,,
Necrosound / Schipanski Split CD | CD,,,,
Omegavortex / Pious Levus Split CD | CD,,,,
Ostots / Gaua Split CD | CD,,,,
Oxalate / Perpetuated / Blood Spore / Vivisect Split CD | CD,,,,
Paracoccidioidomicos... / Butcher ABC Split CD | CD,,,,
"Piarevaracien - Nad Krajem Braslauskich Aziorau"" A5 Digipak CD (Belarusian folk BM) | CD",,,,
Postmortem / Casket Grinder Split CD | CD,,,,
Psykotisk / Vredgad split CD | CD,,,,
Satanic Warmaster / Clandestine Blaze Split Digipak CD | CD,,,,
Seges Findre / Doomsday Cult Split CD | CD,,,,
Sodamned / Dark Celebration Split CD | CD,,,,
Solgrav / F split CD | CD,,,,
Sonneillon BM / Sardonic Witchery / Black Command / Saterdum Split CD | CD,,,,
"Stiny Plamenu Propadle Vody"" Digipak CD | CD",,,,
"Stiny Plamenu ‎""Sum V Poloserech"" CD | CD",,,,
Szarlem ¨Black Medieval Battle Hymns¨ CD | CD,,,,
Temple / Mischievous Augury / The Fallen Split CD | CD,,,,
The Day of the Beast ¨The Day of the Beast¨ CD | CD,,,,
The Ruins of Beverast / Almyrkvi Split MC | CD,,,,
Throneum / Ejecutor Split CD | CD,,,,
Unburied / Seeking Obscure Split CD | CD,,,,
"V/A A Sixth Sense of Darkness CD (Vordr, Arkha Sva, Impious Havoc, etc.) | CD",,,,
V/A Folk Song America 4 x CD Boxset | CD,,,,
"V/A Hail to Bombarder CD (Nifelheim, Avenger, Bombarder, etc) | CD",,,,
V/A Hellenic Metal of Black Death CD | CD,,,,
V/A Non Con CDR | CD,,,,
V/A Sadness & Beauty CD | CD,,,,
"V/A Southamerican Hellfire CD (With Ad Terrorem, Necrovomit, Beheader, Feretrum) | CD",,,,
V/A USBM Digipak CD | CD,,,,
V/A We Are French... Fuck You! Double Digipak CD | CD,,,,
V/A We Don't Give a Fuck! CD | CD,,,,
Veineliis / Kältetod Split Digipak CD | CD,,,,
"Vilifier ‎""Ritual Obscuration"" Digipak CD | CD",,,,
Violent Scum / Coffin Curse Split CD | CD,,,,
Abigail / Compulsion to Kill Split MC | Cassette,,,,
Alkilith / Riesenbaude Split MC | Cassette,,,,
Archaic Tomb / Cryptworm Split MC | Cassette,,,,
"Audduekhon Ausswad / Filth Womb Militant Ascendancy"" Split MC | Cassette",,,,
Bloody Master / Sempiternal Dusk Split MC | Cassette,,,,
Capel Beulah / Olkoth Spit MC | Cassette,,,,
Chevallier Skrog / Люгер Split Demo | Cassette,,,,
Death Vanish / Misanthropos Split MC | Cassette,,,,
Demonthrone ”Angel Slayer” Demo | Cassette,,,,
"Détente ‎""Recognize No Authority"" MC | Cassette",,,,
Eliminator / Fornication ”Bomb Raiding Hell Metal” Split MC | Cassette,,,,
Gastric Phantasm / Offal Grinder Split MC | Cassette,,,,
Gig Ticket: Blasphemy / Death Worship etc. 12/7/24 Mexico City | Cassette,,,,
Grógaldr / Äkth Gánahëth Split MC | Cassette,,,,
Grundhyrde / Klagesturm Split Demo | Cassette,,,,
GSTNK / Keiler Split MC | Cassette,,,,
"Hatework The First Strikes of Hate"" Demo | Cassette",,,,
Helios Fundraiser - 500 LPs Package | Cassette,,,,
Helios Fundraiser - Eternal Thanks List | Cassette,,,,
Helios Fundraiser - Factory Tour Plus | Cassette,,,,
Helios Fundraiser - Logo Patches | Cassette,,,,
Helios Fundraiser - Logo T Shirt | Cassette,,,,
Helios Fundraiser - Tote Bag | Cassette,,,,
Herald Ov Wizborg / Ceremonial Crypt Desecration Split Demo | Cassette,,,,
Ivar's Burial / Goatchurch Split Demo | Cassette,,,,
Moongate / Todlicht Split MC | Cassette,,,,
Nebran / Zmyrna Split MC | Cassette,,,,
Ossements / Wilczyca Split MC | Cassette,,,,
Possessor ¨Electric Hell¨ MC | Cassette,,,,
Pseudotsuga / Heroic Depletion Split MC | Cassette,,,,
Sāriġ / Zbitec Split MC | Cassette,,,,
Satanic Supremacy / Akerbeltz Split Demo | Cassette,,,,
Shrine of the Serpent / Black Urn Split Demo | Cassette,,,,
Spikes / Merciless Onslaught Split Demo | Cassette,,,,
Stench Collector / Seep Split MC | Cassette,,,,
Threshing Spirit / Anti-God Hand Split MC | Cassette,,,,
Torresian Call / Welldweller Split MC | Cassette,,,,
V/A Death Metal Power From Beyond MC | Cassette,,,,
V/A Dirty Business Vol. I MC | Cassette,,,,
V/A Gore Mordant Comp. I MC | Cassette,,,,
"V/A Waste Collections in Finland MC (Ride For Revenge,Oksennus, etc.) | Cassette",,,,
Wolfthorn / Erhabenheit Split Demo | Cassette,,,,
Xirgan / Till split MC | Cassette,,,,
