description,artist,album,format,extra
"Nözaakr ""Sanguinem Nebula"" Demo | Cassette",Nözaakr,Sanguinem Nebula,Cassette,
"Demonic Cremator ""My Dying Breath"" 7"" | Vinyl",Demonic Cremator,My Dying Breath,Vinyl,
"Iku Turso ""Pakana"" LP | Vinyl",Iku Turso,Pakana,Vinyl,
"Cruel Force ""The Rise Of Satanic Might"" LP | Vinyl",Cruel Force,The Rise Of Satanic Might,Vinyl,
"Wapentake ""Madrigals"" Digipak CD | CD",Wapentake,Madrigals,CD,
"Elimi ""The Seed"" CD | CD",Elimi,The Seed,CD,
"Isolation / Sleeping Village Split 7"" | Vinyl",,,,
"Spiral Wheel ""Resurrection For Revenge"" CD | CD",Spiral Wheel,Resurrection For Revenge,CD,
"Thangorodrim ""Towers of the Teeth"" MC | Cassette",Thangorodrim,Towers of the Teeth,Cassette,
"Hermóðr ""Tidens Tand"" Digipak CD | CD",Hermóðr,Tidens Tand,CD,
"Drawn And Quartered ""Congregation Pestilence"" LP | Vinyl",Drawn And Quartered,Congregation Pestilence,Vinyl,
"V/A Blasphemous Mockery Productions ""Fetching Items of Power Vol. I"" CD | CD",V/A Blasphemous Mockery Productions,Fetching Items of Power Vol. I,CD,
Nunslaughter / Blood Split LP | Vinyl,,,,
"Warahraan ""Stellar Shine"" Demo | Cassette",Warahraan,Stellar Shine,Cassette,
"Grand Celestial Nightmare ""The Great Apocalyptic Desolation"" LP | Vinyl",Grand Celestial Nightmare,The Great Apocalyptic Desolation,Vinyl,
"Auroch / Mitochondrion ""In Cronian Hour"" 7"" | Vinyl",Auroch / Mitochondrion,In Cronian Hour,Vinyl,
"Writhing ""Of Earth & Flesh"" LP | Vinyl",Writhing,Of Earth & Flesh,Vinyl,
"Forgotten Shrines ""Remembrance"" LP | Vinyl",Forgotten Shrines,Remembrance,Vinyl,
"Sulphurous ""Encircling Darkness"" 7"" | Vinyl",Sulphurous,Encircling Darkness,Vinyl,
"Sol Invictus ""Blood is Thicker than Water"" CD | CD",Sol Invictus,Blood is Thicker than Water,CD,
"One Master ""The Quiet Eye Of Eternity"" LP | Vinyl",One Master,The Quiet Eye Of Eternity,Vinyl,
"Vuajtje ""Lost Under the Stygian Shade"" LP | Vinyl",Vuajtje,Lost Under the Stygian Shade,Vinyl,
"Gorugoth ""Gorugoth"" CD | CD",Gorugoth,Gorugoth,CD,
"Runespell ""Voice of Opprobrium"" LP | Vinyl",Runespell,Voice of Opprobrium,Vinyl,
"Rabbath Ammon ""Ammonites' Knights' Nights"" 7"" | Vinyl",Rabbath Ammon,Ammonites' Knights' Nights,Vinyl,
"Palus Somni ""Monarch of Dark Matter"" LP | Vinyl",Palus Somni,Monarch of Dark Matter,Vinyl,
"Wagner Ödegård ""Om Twenne Kosmos"" LP | Vinyl",Wagner Ödegård,Om Twenne Kosmos,Vinyl,
"Forest Mysticism ""Blood Of The Woodland"" Demo | Cassette",Forest Mysticism,Blood Of The Woodland,Cassette,
"Revenge ""Infiltration Downfall Death"" LP | Vinyl",Revenge,Infiltration Downfall Death,Vinyl,
"Mortala ""Demo Live Compilation"" A5 Digipak CD | CD",Mortala,Demo Live Compilation,CD,
"Trajeto de Cabra ""Supreme Command of Satanic Will"" LP | Vinyl",Trajeto de Cabra,Supreme Command of Satanic Will,Vinyl,
"Daniel ""Šakal"" Švarc & GIWMÜR - Varuji nebe!!!"" CD (Ex Torr) | CD",Daniel,Šakal,CD,
Sonneillon BM / Sardonic Witchery / Black Command / Saterdum Split CD | CD,,,,
"Solstice ""New Dark Age"" Double LP | Vinyl",Solstice,New Dark Age,Vinyl,
"Necromantia ""Ancient Pride"" LP | Vinyl",Necromantia,Ancient Pride,Vinyl,
The Amenta ”Mictlan” 7’’ | Vinyl,,,,
"Old Forest ""Into the Old Forest"" Test Press LP | Vinyl",Old Forest,Into the Old Forest,Vinyl,
"Gyotrelem / Haunted Sanity ""Gyotrelem / Haunted Sanity"" Split CD | CD",Gyotrelem / Haunted Sanity,Gyotrelem / Haunted Sanity,CD,
"Ignivomous ""Hieroglossia"" Test Press LP | Vinyl",Ignivomous,Hieroglossia,Vinyl,
"Black Witchery ""Desecration of the Holy Kingdom"" Test Press LP | Vinyl",Black Witchery,Desecration of the Holy Kingdom,Vinyl,
Bunkur / Mordor Split CD | CD,,,,
"Hersker ""Befængt"" MC | Cassette",Hersker,Befængt,Cassette,
"Gowl ""Blurrr"" 7"" | Vinyl",Gowl,Blurrr,Vinyl,
"Requiem ""Nunc Et Semper"" LP | Vinyl",Requiem,Nunc Et Semper,Vinyl,
"Gorgoroth ""Under the Sign of Hell"" White Marble Vinyl LP | Vinyl",Gorgoroth,Under The Sign Of Hell,Vinyl,
"Machinery ""The Passing"" CD | CD",Machinery,The Passing,CD,
"Gräfenstein ""Death Born"" Black Vinyl LP | Vinyl",Gräfenstein,Death Born,Vinyl,
"Ossuary ""Supreme Degradation"" LP | Vinyl",Ossuary,Supreme Degradation,Vinyl,
"Ex Inferiis ""Ngul A Crist"" Black Vinyl 7"" | Vinyl",Ex Inferiis,Ngul A Crist,Vinyl,
"Fornace ""Deep Melancholic Wrath"" CD | CD",Fornace,Deep Melancholic Wrath,CD,
"S.F.H. ""Cold Death"" LP | Vinyl",S.F.H.,Cold Death,Vinyl,
"Vulturine ""Tentácvlos Da Aberração"" Digipak CD | CD",Vulturine,Tentácvlos Da Aberração,CD,
"Gnaargakh ""Zhymørkh Demo I"" 10"" | Vinyl",Gnaargakh,Zhymørkh Demo I,Vinyl,
"Wulkanaz ""Paúrpura Fræovíbôkôs"" LP | Vinyl",Wulkanaz,Paúrpura Fræovíbôkôs,Vinyl,
"Malokarpatan / Necromante Split 7"" (Boob demon cover) | Vinyl",,,,
"Deeds of Flesh ""Trading Pieces"" LP | Vinyl",Deeds Of Flesh,Trading Pieces,Vinyl,
"Blood Tyrant ""Codex Cruor"" MC | Cassette",Blood Tyrant,Codex Cruor,Cassette,
Regere Sinister / Reptile Womb Split LP | Vinyl,,,,
"Ildjarn-Nidhogg ""Hardangervidda Part I"" LP (The Devil's Elixirs Press) | Vinyl",Ildjarn-Nidhogg,Hardangervidda Part I,Vinyl,
"Disorder ""En El Rio Del Olvido"" CD | CD",Disorder,En El Rio Del Olvido,CD,
"Nam-Khar ""Dok-Pa"" Digipak CD | CD",Nam-Khar,Dok-Pa,CD,
"Kawir ""Kydoimos"" LP | Vinyl",Kawir,Kydoimos,Vinyl,
"Angel Witch ""Angel Witch / Gorgon"" MC | Cassette",Angel Witch,Angel Witch / Gorgon,Cassette,
"Clotted Symmetric Sexual Organ / Vivisection Green Vinyl Split 7"" | Vinyl",,,,
"The Mezmerist “The Innocent, the Forsaken, the Guilty” Blue Vinyl Test Press LP | Vinyl",The Mezmerist,"The Innocent, the Forsaken, the Guilty",Vinyl,
"Gorgoroth ""Bergen 1996"" Digipak CD | CD",Gorgoroth,Bergen 1996,CD,
"Black Flame ""Imperivm"" CD | CD",Black Flame,Imperivm,CD,
"Mutilate ""Contagium"" LP | Vinyl",Mutilate,Contagium,Vinyl,
"Morbid Holocaust ""Atmospheric Armageddon"" CD | CD",Morbid Holocaust,Atmospheric Armageddon,CD,
"Osculum Infame ""Manifesto from the Dark Age"" Double LP (Demos Collection) | Vinyl",Osculum Infame,Manifesto from the Dark Age,Vinyl,
"Pest ""Vado Mori"" CD | CD",Pest,Vado Mori,CD,
"Akhkharu ""Celebratum"" CD | CD",Akhkharu,Celebratum,CD,
V/A USBM Digipak CD | CD,,,,
"Doombringer ""Walpurgis Fires"" CD | CD",Doombringer,Walpurgis Fires,CD,
"Sallow Moth ""Deathspore"" CD | CD",Sallow Moth,Deathspore,CD,
"Acid Drinkers ""The State Of Mind Report"" MC | Cassette",Acid Drinkers,The State Of Mind Report,Cassette,
"V/A ""Drzite Skupaj? Front Rock"" CD | CD",V/A,Drzite Skupaj? Front Rock,CD,
"Radioactive Vomit ""Ratsflesh"" 7"" | Vinyl",Radioactive Vomit,Ratsflesh,Vinyl,
"Desultory ""Through Aching Aeons"" LP | Vinyl",Desultory,Through Aching Aeons,Vinyl,
"Kiira ""Lättömän Sanat"" Digipak CD | CD",Kiira,Lättömän Sanat,CD,
"Opium Grave ""Black Sun Hexes - Two"" Double LP | Vinyl",Opium Grave,Black Sun Hexes - Two,Vinyl,
"Erscheinung ""Spokerij I"" MC | Cassette",Erscheinung,Spokerij I,Cassette,
"Amon Acid ""Cosmogony"" Double LP | Vinyl",Amon Acid,Cosmogony,Vinyl,
"Funeral Nation ""30 Years in the Sign of the Baphomet"" Double LP | Vinyl",Funeral Nation,30 Years in the Sign of the Baphomet,Vinyl,
"Niundi ""Niundi"" Digipak CD | CD",Niundi,Niundi,CD,
"Skinless ""Savagery"" LP | Vinyl",Skinless,Savagery,Vinyl,
"Gosforth ""Scourge of Dark Dominion"" MC | Cassette",Gosforth,Scourge of Dark Dominion,Cassette,
Macabro Genocidio / Morbosatan Split LP | Vinyl,,,,
"Dead Will Walk ""Unleash the Dead"" 7"" | Vinyl",Dead Will Walk,Unleash the Dead,Vinyl,
"Castle Zagyx ""Doors to the Battlefields of Ertbe"" MC | Cassette",Castle Zagyx,Doors to the Battlefields of Ertbe,Cassette,
"Black Cilice ""Curses and Oaths"" 3LP Boxset | Vinyl",Black Cilice,Curses and Oaths,Vinyl,
Ignis Serpentis “Ad Chao : I” MC | Cassette,Ignis Serpentis,Ad Chao : I,Cassette,
"Alkaloid ""Invisible world"" LP (Female fronted Japanese HM '86) | Vinyl",Alkaloid,Invisible world,Vinyl,
"Anthropophagous ""Abuse of a Corpse"" LP | Vinyl",Anthropophagous,Abuse of a Corpse,Vinyl,
"Phlegein ""Labyrinth of Wonder"" LP | Vinyl",Phlegein,Labyrinth of Wonder,Vinyl,
"Dhak ""Demos & Rarezas"" CD | CD",Dhak,Demos & Rarezas,CD,
"Funeral In Heaven / Plecto Aliquem Capite ""Astral Mantras Of Dyslexia"" Split LP | Vinyl",Funeral In Heaven / Plecto Aliquem Capite,Astral Mantras Of Dyslexia,Vinyl,
"Conjüratör ""Erosplattered"" Black Vinyl 10"" | Vinyl",Conjüratör,Erosplattered,Vinyl,
"Burzum ""Fallen"" CD | CD",Burzum,Fallen,CD,
"Drakonhail ""L'autre Lieu"" LP | Vinyl",Drakonhail,L'autre Lieu,Vinyl,
V/A Four Winds of Revelation LP (GoatowaRex) | Vinyl,,,,
"Massacred ""The Devil's Awakening"" MC | Cassette",Massacred,The Devil's Awakening,Cassette,
"Extermination Alchemist ""Black Magic Of Genocide"" LP | CD",Extermination Alchemist,Black Magic Of Genocide,CD,
"Zatyr ""Ornament of Proposition"" LP | Vinyl",Zatyr,Ornament of Proposition,Vinyl,
"Sabbat ""The Dwelling"" CD (Iron Pegasus Edition) | CD",Sabbat,The Dwelling,CD,
"Fjeldtaagen ""Promo 2020"" Demo (Lim to 100) | Cassette",Fjeldtaagen,Promo 2020,Cassette,
"Fleurety ""The White Death"" LP | Vinyl",Fleurety,The White Death,Vinyl,
"Old Tower ""Draconic Synthesis"" Digibook CD | CD",Old Tower,Draconic Synthesis,CD,
"Throneum ""Organic Death Temple MMXVI"" LP | Vinyl",Throneum,Organic Death Temple MMXVI,Vinyl,
"Voodus / Domgård ""Ginnungagap / Ljungeld över Människan"" Split Double CD | CD",Voodus / Domgård,Ginnungagap / Ljungeld över Människan,CD,
"Squash Bowels ""Tnyribal"" LP | Vinyl",Squash Bowels,Tnyribal,Vinyl,
"Dead Night Boostin ""Nitesharade"" Demo | Cassette",Dead Night Boostin,Nitesharade,Cassette,
"Kaliya / Vaginal Bear Trap ""Ripped Off"" Split MC | Cassette",Kaliya / Vaginal Bear Trap,Ripped Off,Cassette,
