description,artist,album,format,extra
Aoratos | Gods Without Name | /category/261,Aoratos,Gods Without Name,Vinyl,
Yeruselem | The Sublime | /category/261,Yeruselem,The Sublime,Vinyl,
Imperial Crystalline Entombment | Ancient Glacial Resurgence | /category/303,Imperial Crystalline Entombment,Ancient Glacial Resurgence,Cassette,
Godkiller | We Are The Black Knights | /category/261,Godkiller,We Are The Black Knights,Vinyl,
Aara | Triade III: Nyx (special edition) | /category/26,Aara,Triade III: Nyx,CD,special edition
Mütterlein | Bring Down The Flags | /category/26,Mütterlein,Bring Down The Flags,CD,
V/A | Servants Of Chaos II | /category/263,V/A,Servants Of Chaos II,Vinyl,
Behexen | Rituale Satanum | /category/261,Behexen,Rituale Satanum,Vinyl,
Dodsengel | Interequinox | /category/26,Dodsengel,Interequinox,CD,
Kryptan | Kryptan | /category/26,Kryptan,Kryptan,CD,
Cultus Profano | Accursed Possession (half black / half red) | /category/261,Cultus Profano,Accursed Possession,Vinyl,half black / half red
Akhlys | House of the Black Geminus | /category/303,Akhlys,House of the Black Geminus,Cassette,
Taubra | Therizo | /category/26,Taubra,Therizo,CD,
Selbst | Despondency Chord Progressions | /category/303,Selbst,Despondency Chord Progressions,Cassette,
Eitrin | S/T | /category/26,Eitrin,S/T,CD,
Cailleach Calling | Dreams Of Fragmentation | /category/26,Cailleach Calling,Dreams Of Fragmentation,CD,
Blut Aus Nord | What Once Was... Liber I | /category/26,Blut Aus Nord,What Once Was... Liber I,CD,
Blut Aus Nord | Ultima Thulée (cloudy effect) | /category/261,Blut Aus Nord,Ultima Thulée,Vinyl,cloudy effect
Power From Hell | Shadows Devouring Light | /category/261,Power From Hell,Shadows Devouring Light,Vinyl,
Suhnopfer | Hic Regnant Borbonii Manes | /category/26,Suhnopfer,Hic Regnant Borbonii Manes,CD,
Lychgate | Thus sprach Futura | /category/26,Lychgate,Thus sprach Futura,CD,
Ulcerate | Cutting the Throat of God | /category/263,Ulcerate,Cutting the Throat of God,Vinyl,
Aara | Triade III: Nyx | /category/261,Aara,Triade III: Nyx,Vinyl,
Blut Aus Nord | Ultima Thulée | /category/26,Blut Aus Nord,Ultima Thulée,CD,
Perilaxe Occlusion | Vapor Chamber | /category/26,Perilaxe Occlusion,VAPOR CHAMBER,CD,
Crimson Moon | Mors Vincit Omnia | /category/263,Crimson Moon,Mors Vincit Omnia,Vinyl,
Selbst | Despondency Chord Progressions | /category/261,Selbst,Despondency Chord Progressions,Vinyl,
White Ward | Debemur Morti | /category/26,White Ward,Debemur Morti,CD,
Akhlys | House of the Black Geminus (DMP Exclusive) | /category/263,Akhlys,House of the Black Geminus,Vinyl,DMP Exclusive
Blut Aus Nord | Memoria Vetusta I | /category/261,Blut Aus Nord,Memoria Vetusta I,Vinyl,
Blut Aus Nord | ​Disharmonium - Nahab | /category/26,Blut Aus Nord,​Disharmonium - Nahab,CD,
Manes | Slow Motion Death Sequence | /category/26,Manes,Slow Motion Death Sequence,CD,
V/A | Servants Of Chaos II | /category/263,V/A,Servants Of Chaos II,Vinyl,
Aara | Triade I: Eos (black vinyl) | /category/261,Aara,Triade I: Eos,Vinyl,black vinyl
Imperial Crystalline Entombment | Ancient Glacial Resurgence | /category/26,Imperial Crystalline Entombment,Ancient Glacial Resurgence,CD,
La Morte Viene Dallo Spazio | Sky Over Giza | /category/261,La Morte Viene Dallo Spazio,Sky Over Giza,Vinyl,
Anarkhon | Phantasmagorical Personification Of The Death Temple | /category/26,Anarkhon,Phantasmagorical Personification Of The Death Temple,CD,
Kaleikr | Heart Of Lead | /category/26,Kaleikr,Heart Of Lead,CD,
Waidelotte | Celestial Shrine | /category/26,Waidelotte,Celestial Shrine,CD,
Modern Rites | Monuments | /category/26,Modern Rites,Monuments,CD,
Kryptan | Kryptan (Grey/Black merge) | /category/250,Kryptan,Kryptan,Vinyl,Grey/Black merge
In The Woods... | Cease The Day | /category/263,In The Woods...,Cease The Day,Vinyl,
Aara | Triade II: Hemera | /category/261,Aara,Triade II: Hemera,Vinyl,
Imperial Crystalline Entombment | Ancient Glacial Resurgence (galaxy effect) | /category/261,Imperial Crystalline Entombment,Ancient Glacial Resurgence,Vinyl,galaxy effect
Akhlys | The Dreaming I | /category/263,Akhlys,The Dreaming I,Vinyl,
Arkona | Lunaris | /category/26,Arkona,Lunaris,CD,
Óreiða | The Eternal | /category/261,Óreiða,The Eternal,Vinyl,
Blut Aus Nord | Memoria Vetusta II - Dialogue With The Stars | /category/26,Blut Aus Nord,Memoria Vetusta II - Dialogue With The Stars,CD,
Pestilent Hex | The Ashen Abhorrence | /category/26,Pestilent Hex,The Ashen Abhorrence,CD,
Yeruselem | The Sublime | /category/26,Yeruselem,The Sublime,CD,
Nightbringer | Death and the Black Work + Rex Ex Ordine Throni | /category/353,Nightbringer,Death and the Black Work + Rex Ex Ordine Throni,Vinyl,
The Lovecraft Sextet | Black†White | /category/251,The Lovecraft Sextet,Black†White,Vinyl,
Insect Ark | Raw Blood Singing | /category/261,Insect Ark,Raw Blood Singing,Vinyl,
White Ward | Origins | /category/26,White Ward,Origins,CD,
Terra Tenebrosa | The Purging | /category/26,Terra Tenebrosa,The Purging,CD,
Blut Aus Nord | Deus Salutis Meae | /category/261,Blut Aus Nord,Deus Salutis Meae,Vinyl,
Aara | Triade II: Hemera | /category/26,Aara,Triade II: Hemera,CD,
Blut Aus Nord | Memoria Vetusta II - Dialogue With The Stars | /category/263,Blut Aus Nord,Memoria Vetusta II - Dialogue With The Stars,Vinyl,
Akhlys | Melinoë (Yellow merge) | /category/261,Akhlys,Melinoë,Vinyl,Yellow merge
Crimson Moon | Mors Vincit Omnia | /category/26,Crimson Moon,Mors Vincit Omnia,CD,
Archgoat | Black Mass XXX | /category/26,Archgoat,Black Mass XXX,CD,
Insect Ark | Raw Blood Singing (DMP exclusive) | /category/261,Insect Ark,Raw Blood Singing,Vinyl,DMP exclusive
Aara | En Ergô Einai | /category/26,Aara,En Ergô Einai,CD,
Other World | Tenebrous | /category/26,Other World,Tenebrous,CD,
The Amenta | Revelator | /category/26,The Amenta,Revelator,CD,
Akhlys | House of the Black Geminus | /category/26,Akhlys,House of the Black Geminus,CD,
Anarkhon | Obiasot Dwybat Ptnotun | /category/26,Anarkhon,Obiasot Dwybat Ptnotun,CD,
Tenebrae In Perpetuum | Anorexia Obscura (special white slipcase edition) | /category/261,Tenebrae In Perpetuum,Anorexia Obscura,Vinyl,special white slipcase edition
Light of the Morning Star | Charnel Noir (special edition) | /category/26,Light of the Morning Star,Charnel Noir,CD,special edition
Suhnopfer | Nous sommes d'Hier (blue / gold merge) | /category/263,Suhnopfer,Nous sommes d'Hier,Vinyl,blue / gold merge
Inferno | PARADEIGMA (Phosphenes of Aphotic Eternity) | /category/261,Inferno,Paradeigma,Vinyl,Phosphenes of Aphotic Eternity
Syberia | Resiliency | /category/26,Syberia,Resiliency,CD,
White Ward | Futility Report | /category/26,White Ward,Futility Report,CD,
Aversio Humanitatis | Behold The Silent Dwellers | /category/26,Aversio Humanitatis,Behold The Silent Dwellers,CD,
Akhlys | House of the Black Geminus | /category/263,Akhlys,House of the Black Geminus,Vinyl,
Archgoat | All Christianity Ends | /category/261,Archgoat,All Christianity Ends,Vinyl,
Eitrin | S/T | /category/303,Eitrin,S/T,Cassette,
Latitudes | Part Island | /category/26,Latitudes,Part Island,CD,
Eitrin | S/T | /category/261,Eitrin,S/T,Vinyl,
White Ward | Futility Report | /category/261,White Ward,Futility Report,Vinyl,
Arkona | Age Of Capricorn | /category/261,Arkona,Age Of Capricorn,Vinyl,
Suhnopfer | Nous sommes d'Hier | /category/26,Suhnopfer,Nous sommes d'Hier,CD,
Mütterlein | Bring Down The Flags | /category/261,Mütterlein,Bring Down The Flags,Vinyl,
Aversio Humanitatis | Longing for the Untold (DMP exclusive) | /category/261,Aversio Humanitatis,Longing for the Untold,Vinyl,DMP exclusive
White Ward | Love Exchange Failure | /category/263,White Ward,LOVE EXCHANGE FAILURE,Vinyl,
Aara | Triade I: Eos | /category/261,Aara,Triade I: Eos,Vinyl,
TheNightTimeProject | Pale Season | /category/26,TheNightTimeProject,Pale Season,CD,
Archgoat | Whore Of Bethlehem | /category/261,Archgoat,Whore Of Bethlehem,Vinyl,
Manes | Be All End All | /category/26,Manes,Be All End All,CD,
Kryptan | Kryptan (Grey w/ splatters) | /category/250,Kryptan,Kryptan,Vinyl,Grey w/ splatters
Forhist | Forhist | /category/26,Forhist,Forhist,CD,
Godkiller | We Are The Black Knights (red vinyl) | /category/261,Godkiller,We Are The Black Knights,Vinyl,red vinyl
Pestilength | Solar Clorex | /category/26,Pestilength,Solar Clorex,CD,
Ershetu | Xibalba | /category/261,Ershetu,Xibalba,Vinyl,
Modern Rites | Endless | /category/261,Modern Rites,Endless,Vinyl,
Power From Hell | Shadows Devouring Light (DMP Exclusive) | /category/261,Power From Hell,Shadows Devouring Light,Vinyl,DMP Exclusive
Aara | Triade II: Hemera (special edition) | /category/26,Aara,Triade II: Hemera,CD,special edition
Archgoat | Worship The Eternal Darkness (spinner effect) | /category/261,Archgoat,Worship The Eternal Darkness,Vinyl,spinner effect
Ulcerate | Cutting the Throat of God (DMP exclusive) | /category/263,Ulcerate,Cutting the Throat of God,Vinyl,DMP exclusive
Anarkhon | Obiasot Dwybat Ptnotun | /category/261,Anarkhon,Obiasot Dwybat Ptnotun,Vinyl,
Selbst | Relatos De Angustia | /category/261,Selbst,Relatos De Angustia,Vinyl,
Blut Aus Nord | Triunity | /category/26,Blut Aus Nord,Triunity,CD,
Behexen | Rituale Satanum | /category/26,Behexen,Rituale Satanum,CD,
Ulcerate | Stare Into Death And Be Still | /category/263,Ulcerate,Stare Into Death And Be Still,Vinyl,
Anarkhon | Obiasot Dwybat Ptnotun (DMP Exclusive) | /category/261,Anarkhon,Obiasot Dwybat Ptnotun,Vinyl,DMP Exclusive
Blut Aus Nord | Memoria Vetusta I | /category/26,Blut Aus Nord,Memoria Vetusta I,CD,
Archgoat | The Apocalyptic Triumphator | /category/261,Archgoat,The Apocalyptic Triumphator,Vinyl,
Modern Rites | Endless | /category/26,Modern Rites,Endless,CD,
Óreiða | The Eternal | /category/26,Óreiða,The Eternal,CD,
Doedsvangr | Serpents Ov Old | /category/26,Doedsvangr,Serpents Ov Old,CD,
Behexen | The Poisonous Path | /category/263,Behexen,The Poisonous Path,Vinyl,
Inferno | Paradeigma (oxblood / black) | /category/261,Inferno,Paradeigma,Vinyl,oxblood / black
Blut Aus Nord | Ultima Thulée (black vinyl) | /category/261,Blut Aus Nord,Ultima Thulée,Vinyl,black vinyl
Blut Aus Nord | Memoria Vetusta III - Saturnian Poetry | /category/261,Blut Aus Nord,Memoria Vetusta III - Saturnian Poetry,Vinyl,
Bacchus | II | /category/303,Bacchus,II,Cassette,
Archgoat | Worship The Eternal Darkness (ultra clear w/ splatters) | /category/261,Archgoat,Worship The Eternal Darkness,Vinyl,ultra clear w/ splatters
Inferno | PARADEIGMA (Phosphenes of Aphotic Eternity) | /category/26,Inferno,Paradeigma,CD,Phosphenes of Aphotic Eternity
Bacchus | II | /category/26,Bacchus,II,CD,
Blut Aus Nord | ​Disharmonium - Nahab (galaxy effect) | /category/261,Blut Aus Nord,​Disharmonium - Nahab,Vinyl,galaxy effect
Cultus Profano | Sacramentum Obscurus | /category/26,Cultus Profano,Sacramentum Obscurus,CD,
Aversio Humanitatis | Longing for the Untold | /category/261,Aversio Humanitatis,Longing for the Untold,Vinyl,
Doedsvangr | Serpents Ov Old | /category/261,Doedsvangr,Serpents Ov Old,Vinyl,
Hegemone | We Disappear | /category/26,Hegemone,We Disappear,CD,
Infestus | Thrypsis | /category/261,Infestus,Thrypsis,Vinyl,
Blut Aus Nord | 777 - The Desanctification | /category/26,Blut Aus Nord,777 - The Desanctification,CD,
The Lovecraft Sextet | Miserere | /category/261,The Lovecraft Sextet,Miserere,Vinyl,
Rauhnacht | Unterm Gipfelthron | /category/26,Rauhnacht,Unterm Gipfelthron,CD,
Ershetu | Xibalba | /category/303,Ershetu,Xibalba,Cassette,
White Ward | False Light | /category/26,White Ward,FALSE LIGHT,CD,
"Throane | Derrière-Nous, La Lumière | /category/26",Throane,"Derrière-Nous, La Lumière",CD,
TheNightTimeProject | Pale Season | /category/261,TheNightTimeProject,Pale Season,Vinyl,
Throane | Plus Une Main A Mordre | /category/26,Throane,Plus Une Main A Mordre,CD,
Other World | Tenebrous | /category/261,Other World,Tenebrous,Vinyl,
Suhnopfer | Nous sommes d'Hier (silver) | /category/263,Suhnopfer,Nous sommes d'Hier,Vinyl,silver
The Amenta | Revelator | /category/303,The Amenta,Revelator,Cassette,
Archgoat | Black Mass XXX | /category/263,Archgoat,Black Mass XXX,Vinyl,
Tenebrae In Perpetuum | Anorexia Obscura (special black slipcase edition) | /category/261,Tenebrae In Perpetuum,Anorexia Obscura,Vinyl,special black slipcase edition
Akhlys | The Dreaming I | /category/26,Akhlys,The Dreaming I,CD,
Archgoat | All Christianity Ends (spinner effect) | /category/261,Archgoat,All Christianity Ends,Vinyl,spinner effect
Plebeian Grandstand | Rien ne suffit | /category/263,Plebeian Grandstand,Rien ne suffit,Vinyl,
Ershetu | Xibalba | /category/26,Ershetu,Xibalba,CD,
Archgoat | Angelcunt (Tales Of Desecration) | /category/261,Archgoat,Angelcunt,Vinyl,Tales Of Desecration
