description,artist,album,format,extra
Aara | Anthropozän (black/oxblood) | /category/251,Aara,Anthropozän,Vinyl,black/oxblood
Cailleach Calling | Dreams Of Fragmentation | /category/26,Cailleach Calling,Dreams Of Fragmentation,CD,
Crimson Moon | Mors Vincit Omnia | /category/26,Crimson Moon,Mors Vincit Omnia,CD,
Crimson Moon | Mors Vincit Omnia | /category/263,Crimson Moon,Mors Vincit Omnia,Vinyl,
Cultus Profano | Accursed Possession | /category/26,Cultus Profano,Accursed Possession,CD,
Cultus Profano | Accursed Possession (half black / half red) | /category/261,Cultus Profano,Accursed Possession,Vinyl,half black / half red
Cultus Profano | Accursed Possession (red / milky merge) | /category/261,Cultus Profano,Accursed Possession,Vinyl,red / milky merge
Cultus Profano | Sacramentum Obscurus | /category/26,Cultus Profano,Sacramentum Obscurus,CD,
Death Fetishist | Clandestine Sacrament | /category/26,Death Fetishist,Clandestine Sacrament,CD,
Dirge | Lost Empyrean | /category/26,Dirge,Lost Empyrean,CD,
Dodsengel | Bab Al On | /category/263,Dodsengel,Bab Al On,Vinyl,
Dodsengel | Bab Al On | /category/26,Dodsengel,Bab Al On,CD,
Dodsengel | Interequinox | /category/26,Dodsengel,Interequinox,CD,
Doedsvangr | Serpents Ov Old | /category/26,Doedsvangr,Serpents Ov Old,CD,
Doedsvangr | Serpents Ov Old | /category/261,Doedsvangr,Serpents Ov Old,Vinyl,
Eitrin | S/T | /category/26,Eitrin,S/T,CD,
Eitrin | S/T | /category/261,Eitrin,S/T,Vinyl,
Eitrin | S/T | /category/303,Eitrin,S/T,Cassette,
Eitrin | S/T (DMP Exclusive) | /category/26,Eitrin,S/T,CD,DMP Exclusive
Ershetu | Xibalba | /category/303,Ershetu,Xibalba,Cassette,
Ershetu | Xibalba | /category/261,Ershetu,Xibalba,Vinyl,
Ershetu | Xibalba | /category/26,Ershetu,Xibalba,CD,
Forhist | Forhist | /category/26,Forhist,Forhist,CD,
Godkiller | We Are The Black Knights | /category/26,Godkiller,We Are The Black Knights,CD,
Godkiller | We Are The Black Knights | /category/261,Godkiller,We Are The Black Knights,Vinyl,
Godkiller | We Are The Black Knights (red vinyl) | /category/261,Godkiller,We Are The Black Knights,Vinyl,red vinyl
Hegemone | We Disappear | /category/26,Hegemone,We Disappear,CD,
Horna / Behexen | Split | /category/26,Horna / Behexen,Split,CD,
Imperial Crystalline Entombment | Ancient Glacial Resurgence | /category/26,Imperial Crystalline Entombment,Ancient Glacial Resurgence,CD,
Imperial Crystalline Entombment | Ancient Glacial Resurgence | /category/303,Imperial Crystalline Entombment,Ancient Glacial Resurgence,Cassette,
Imperial Crystalline Entombment | Ancient Glacial Resurgence (galaxy effect) | /category/261,Imperial Crystalline Entombment,Ancient Glacial Resurgence,Vinyl,galaxy effect
Imperial Crystalline Entombment | Apocalyptic End In White | /category/303,Imperial Crystalline Entombment,Apocalyptic End In White,Cassette,
Imperial Crystalline Entombment | Apocalyptic End In White | /category/26,Imperial Crystalline Entombment,Apocalyptic End In White,CD,
In The Woods... | Cease The Day | /category/263,In The Woods...,Cease The Day,Vinyl,
In The Woods... | Cease The Day | /category/26,In The Woods...,Cease The Day,CD,
Inferno | Paradeigma (oxblood / black) | /category/261,Inferno,Paradeigma,Vinyl,oxblood / black
Inferno | PARADEIGMA (Phosphenes of Aphotic Eternity) | /category/261,Inferno,Paradeigma,Vinyl,Phosphenes of Aphotic Eternity
Inferno | PARADEIGMA (Phosphenes of Aphotic Eternity) | /category/26,Inferno,Paradeigma,CD,Phosphenes of Aphotic Eternity
Infestus | Thrypsis | /category/261,Infestus,Thrypsis,Vinyl,
Insect Ark | Raw Blood Singing | /category/26,Insect Ark,Raw Blood Singing,CD,
Insect Ark | Raw Blood Singing | /category/261,Insect Ark,Raw Blood Singing,Vinyl,
Insect Ark | Raw Blood Singing (DMP exclusive) | /category/261,Insect Ark,Raw Blood Singing,Vinyl,DMP exclusive
Kaleikr | Heart Of Lead | /category/26,Kaleikr,Heart Of Lead,CD,
Kryptan | Kryptan | /category/26,Kryptan,Kryptan,CD,
Kryptan | Kryptan (Grey w/ splatters) | /category/250,Kryptan,Kryptan,Vinyl,Grey w/ splatters
Kryptan | Kryptan (Grey/Black merge) | /category/250,Kryptan,Kryptan,Vinyl,Grey/Black merge
La Morte Viene Dallo Spazio | Sky Over Giza | /category/261,La Morte Viene Dallo Spazio,Sky Over Giza,Vinyl,
Latitudes | Part Island | /category/26,Latitudes,Part Island,CD,
Light of the Morning Star | Charnel Noir | /category/26,Light of the Morning Star,Charnel Noir,CD,
Light of the Morning Star | Charnel Noir | /category/261,Light of the Morning Star,Charnel Noir,Vinyl,
Light of the Morning Star | Charnel Noir (special edition) | /category/26,Light of the Morning Star,Charnel Noir,CD,special edition
Lychgate | Thus sprach Futura | /category/26,Lychgate,Thus sprach Futura,CD,
Lychgate | Thus sprach Futura | /category/250,Lychgate,Thus sprach Futura,Vinyl,
Manes | Be All End All | /category/26,Manes,Be All End All,CD,
Manes | Slow Motion Death Sequence | /category/26,Manes,Slow Motion Death Sequence,CD,
Modern Rites | Endless | /category/26,Modern Rites,Endless,CD,
Modern Rites | Endless | /category/261,Modern Rites,Endless,Vinyl,
Modern Rites | Monuments | /category/26,Modern Rites,Monuments,CD,
Modern Rites | Monuments | /category/261,Modern Rites,Monuments,Vinyl,
Mütterlein | Bring Down The Flags | /category/26,Mütterlein,Bring Down The Flags,CD,
Mütterlein | Bring Down The Flags | /category/261,Mütterlein,Bring Down The Flags,Vinyl,
Nightbringer | Death and the Black Work + Rex Ex Ordine Throni | /category/353,Nightbringer,Death and the Black Work + Rex Ex Ordine Throni,Vinyl,
Óreiða | The Eternal | /category/26,Óreiða,The Eternal,CD,
Óreiða | The Eternal | /category/261,Óreiða,The Eternal,Vinyl,
Other World | Tenebrous | /category/26,Other World,Tenebrous,CD,
Other World | Tenebrous | /category/261,Other World,Tenebrous,Vinyl,
Perilaxe Occlusion | Vapor Chamber | /category/263,Perilaxe Occlusion,VAPOR CHAMBER,Vinyl,
Perilaxe Occlusion | Vapor Chamber | /category/303,Perilaxe Occlusion,VAPOR CHAMBER,Cassette,
Perilaxe Occlusion | Vapor Chamber | /category/26,Perilaxe Occlusion,VAPOR CHAMBER,CD,
Pestifer | Defeat Of The Nemesis | /category/261,Pestifer,DEFEAT OF THE NEMESIS,Vinyl,
Pestifer | Defeat Of The Nemesis | /category/26,Pestifer,DEFEAT OF THE NEMESIS,CD,
Pestilength | Solar Clorex | /category/26,Pestilength,Solar Clorex,CD,
Pestilength | Solar Clorex | /category/261,Pestilength,Solar Clorex,Vinyl,
Pestilent Hex | The Ashen Abhorrence | /category/26,Pestilent Hex,The Ashen Abhorrence,CD,
Pestilent Hex | The Ashen Abhorrence | /category/261,Pestilent Hex,The Ashen Abhorrence,Vinyl,
Plebeian Grandstand | Rien ne suffit | /category/26,Plebeian Grandstand,Rien ne suffit,CD,
Plebeian Grandstand | Rien ne suffit | /category/263,Plebeian Grandstand,Rien ne suffit,Vinyl,
Power From Hell | Shadows Devouring Light | /category/261,Power From Hell,Shadows Devouring Light,Vinyl,
Power From Hell | Shadows Devouring Light | /category/26,Power From Hell,Shadows Devouring Light,CD,
Power From Hell | Shadows Devouring Light (DMP Exclusive) | /category/261,Power From Hell,Shadows Devouring Light,Vinyl,DMP Exclusive
Pure Wrath | Hymn To The Woeful Hearts | /category/26,Pure Wrath,Hymn To The Woeful Hearts,CD,
Rauhnacht | Unterm Gipfelthron | /category/26,Rauhnacht,Unterm Gipfelthron,CD,
Selbst | Despondency Chord Progressions | /category/26,Selbst,Despondency Chord Progressions,CD,
Selbst | Despondency Chord Progressions | /category/303,Selbst,Despondency Chord Progressions,Cassette,
Selbst | Despondency Chord Progressions | /category/261,Selbst,Despondency Chord Progressions,Vinyl,
Selbst | Relatos De Angustia | /category/261,Selbst,Relatos De Angustia,Vinyl,
Suhnopfer | Hic Regnant Borbonii Manes | /category/26,Suhnopfer,Hic Regnant Borbonii Manes,CD,
Suhnopfer | Nous sommes d'Hier | /category/26,Suhnopfer,Nous sommes d'Hier,CD,
Suhnopfer | Nous sommes d'Hier (blue / gold merge) | /category/263,Suhnopfer,Nous sommes d'Hier,Vinyl,blue / gold merge
Suhnopfer | Nous sommes d'Hier (silver) | /category/263,Suhnopfer,Nous sommes d'Hier,Vinyl,silver
Syberia | Resiliency | /category/26,Syberia,Resiliency,CD,
Taubra | Therizo | /category/26,Taubra,Therizo,CD,
Tenebrae In Perpetuum | Anorexia Obscura | /category/26,Tenebrae In Perpetuum,Anorexia Obscura,CD,
Tenebrae In Perpetuum | Anorexia Obscura (special black slipcase edition) | /category/261,Tenebrae In Perpetuum,Anorexia Obscura,Vinyl,special black slipcase edition
Tenebrae In Perpetuum | Anorexia Obscura (special white slipcase edition) | /category/261,Tenebrae In Perpetuum,Anorexia Obscura,Vinyl,special white slipcase edition
Terra Tenebrosa | The Purging | /category/26,Terra Tenebrosa,The Purging,CD,
Terra Tenebrosa | The Reverses | /category/26,Terra Tenebrosa,The Reverses,CD,
The Amenta | Revelator | /category/26,The Amenta,Revelator,CD,
The Amenta | Revelator | /category/303,The Amenta,Revelator,Cassette,
The Amenta | Revelator (US exclusive) | /category/263,The Amenta,Revelator,Vinyl,US exclusive
The Amenta | Solipschism | /category/251,The Amenta,Solipschism,Vinyl,
The Lovecraft Sextet | Black†White | /category/251,The Lovecraft Sextet,Black†White,Vinyl,
The Lovecraft Sextet | Miserere | /category/261,The Lovecraft Sextet,Miserere,Vinyl,
The Lovecraft Sextet | Miserere | /category/26,The Lovecraft Sextet,Miserere,CD,
TheNightTimeProject | Pale Season | /category/26,TheNightTimeProject,Pale Season,CD,
TheNightTimeProject | Pale Season | /category/261,TheNightTimeProject,Pale Season,Vinyl,
"Throane | Derrière-Nous, La Lumière | /category/26",Throane,"Derrière-Nous, La Lumière",CD,
Throane | Plus Une Main A Mordre | /category/26,Throane,Plus Une Main A Mordre,CD,
Ulcerate | Cutting the Throat of God | /category/263,Ulcerate,Cutting the Throat of God,Vinyl,
Ulcerate | Cutting the Throat of God | /category/26,Ulcerate,Cutting the Throat of God,CD,
Ulcerate | Cutting the Throat of God (DMP exclusive) | /category/263,Ulcerate,Cutting the Throat of God,Vinyl,DMP exclusive
Ulcerate | Stare Into Death And Be Still | /category/263,Ulcerate,Stare Into Death And Be Still,Vinyl,
Ulcerate | Stare Into Death And Be Still | /category/26,Ulcerate,Stare Into Death And Be Still,CD,
V/A | Servants Of Chaos II | /category/263,V/A,Servants Of Chaos II,Vinyl,
V/A | Servants Of Chaos II | /category/263,V/A,Servants Of Chaos II,Vinyl,
Waidelotte | Celestial Shrine | /category/261,Waidelotte,Celestial Shrine,Vinyl,
Waidelotte | Celestial Shrine | /category/26,Waidelotte,Celestial Shrine,CD,
White Ward | Debemur Morti | /category/26,White Ward,Debemur Morti,CD,
White Ward | False Light | /category/26,White Ward,FALSE LIGHT,CD,
White Ward | False Light | /category/263,White Ward,FALSE LIGHT,Vinyl,
White Ward | False Light | /category/263,White Ward,FALSE LIGHT,Vinyl,
White Ward | Futility Report | /category/261,White Ward,Futility Report,Vinyl,
White Ward | Futility Report | /category/26,White Ward,Futility Report,CD,
White Ward | Love Exchange Failure | /category/26,White Ward,LOVE EXCHANGE FAILURE,CD,
White Ward | Love Exchange Failure | /category/263,White Ward,LOVE EXCHANGE FAILURE,Vinyl,
White Ward | Origins | /category/26,White Ward,Origins,CD,
Yeruselem | The Sublime | /category/26,Yeruselem,The Sublime,CD,
Yeruselem | The Sublime | /category/261,Yeruselem,The Sublime,Vinyl,
