"(DOLCH) ""Tonight"" 10"" | Vinyl",(DOLCH),Tonight,Vinyl,
"Aihos ""Ikuisuuden Suojaan"" LP | Vinyl",Aihos,Ikuisuuden Suojaan,Vinyl,
"Aima ""Tragos"" Gold Vinyl Test Press LP | Vinyl",Aima,Tragos,Vinyl,
"AK-47 ""The Badge Means You Suck"" LP | Vinyl",AK-47,The Badge Means You Suck,Vinyl,
"Akefal ""Opus Darkness"" LP | Vinyl",Akefal,Opus Darkness,Vinyl,
"Akitsa ""Au crépuscule de l'espérance"" Double LP | Vinyl",Akitsa,Au crépuscule de l'espérance,Vinyl,
"Akitsa ""Devenir le Diable"" LP | Vinyl",Akitsa,Devenir le Diable,Vinyl,
"Akitsa ""Goétie"" Double LP | Vinyl",Akitsa,Goétie,Vinyl,
"Akitsa ""Grands Tyrans"" LP | Vinyl",Akitsa,Grands Tyrans,Vinyl,
"Akitsa ""La Grande Infamie"" Double LP | Vinyl",Akitsa,La Grande Infamie,Vinyl,
"Akitsa ""Sang Nordique"" Double LP | Vinyl",Akitsa,Sang Nordique,Vinyl,
"Akitsa ""Totale Servitude"" Double LP | Vinyl",Akitsa,Totale Servitude,Vinyl,
"Akrotheism / Septuagint ""Sphinx: The Great Enigma Of Times"" LP (Limited to 100) | Vinyl",Akrotheism / Septuagint,Sphinx: The Great Enigma Of Times,Vinyl,
"Albionic Hermeticism / Ynkleudherhenavogyon ""Swēsaz Ambos"" Split Double LP | Vinyl",Albionic Hermeticism / Ynkleudherhenavogyon,Swēsaz Ambos,Vinyl,
"Algaion ""Oimai Algeiou"" LP | Vinyl",Algaion,Oimai Algeiou,Vinyl,
"Alghol ""The Osseus Key"" LP | Vinyl",Alghol,The Osseus Key,Vinyl,
"Aliénante Damnation ""Le Chantre Du Charnier"" LP | Vinyl",Aliénante Damnation,Le Chantre Du Charnier,Vinyl,
"Alkaloid ""Invisible world"" LP (Female fronted Japanese HM '86) | Vinyl",Alkaloid,Invisible world,Vinyl,
"Alkerdeel ""Slonk"" LP | Vinyl",Alkerdeel,Slonk,Vinyl,
"Allegiance ""Blodörnsoffer"" LP | Vinyl",Allegiance,Blodörnsoffer,Vinyl,
"Allegiance ""Vrede"" LP | Vinyl",Allegiance,Vrede,Vinyl,
"Altar of Gore ""Obscure & Obscene Gods"" LP | Vinyl",Altar of Gore,Obscure & Obscene Gods,Vinyl,
"Altarage ""Worst Case Scenario"" Casewrapped Gatefold LP | Vinyl",Altarage,Worst Case Scenario,Vinyl,
"Alverna Gunn ""Rabies Can Damage Your Health"" LP | Vinyl",Alverna Gunn,Rabies Can Damage Your Health,Vinyl,
"Amaguq ""Occult Rituals of Anthropophagous Worship"" LP | Vinyl",Amaguq,Occult Rituals of Anthropophagous Worship,Vinyl,
"Amebix ""Demo 1979 / Right to Rise Demo + Live"" LP | Vinyl",Amebix,Demo 1979 / Right to Rise Demo + Live,Vinyl,
"Amebix ""No Gods No Masters - The Spiderleg Years"" LP | Vinyl",Amebix,No Gods No Masters - The Spiderleg Years,Vinyl,
"American Xpress ""Three On A Meathook - OST"" 7"" | Vinyl",American Xpress,Three On A Meathook - OST,Vinyl,
"Amon ""Kniha Smrti"" LP | Vinyl",Amon,Kniha Smrti,Vinyl,
"Amon ""The Worship"" LP | Vinyl",Amon,The Worship,Vinyl,
"Amon Acid ""Cosmogony"" Double LP | Vinyl",Amon Acid,Cosmogony,Vinyl,
"Amon Amarth ""The Crusher"" Picture LP | Vinyl",Amon Amarth,The Crusher,Vinyl,
"Amy Winehouse ""The Ska Collection"" LP | Vinyl",Amy Winehouse,The Ska Collection,Vinyl,
"Anael ""From Arcane Fires"" Double LP | Vinyl",Anael,From Arcane Fires,Vinyl,
"Anal Vomit ""Demoniac Flagellations"" LP | Vinyl",Anal Vomit,Demoniac Flagellations,Vinyl,
"Anal Vomit ""Depravation"" LP | Vinyl",Anal Vomit,Depravation,Vinyl,
"Anarchos ""Invocation Of Moribund Spirits"" LP | Vinyl",Anarchos,Invocation Of Moribund Spirits,Vinyl,
"Anatomia / Mausoleum ""Split"" LP | Vinyl",Anatomia / Mausoleum,Split,Vinyl,
"Anatomy ""Twisting Depths Of Horror"" Double LP | Vinyl",Anatomy,Twisting Depths Of Horror,Vinyl,
"Ancestors ""I"" LP (Youth Attack) | Vinyl",Ancestors,I,Vinyl,
"Ancestral Shadows ""Eldritch Illuminations"" LP | Vinyl",Ancestral Shadows,Eldritch Illuminations,Vinyl,
"Ancestral Shadows ""Eldritch Illuminations"" Test Press LP | Vinyl",Ancestral Shadows,Eldritch Illuminations,Vinyl,
"Ancestral Shadows ""Wolven Mysteries of Ancient Lore"" LP | Vinyl",Ancestral Shadows,Wolven Mysteries of Ancient Lore,Vinyl,
"Ancestral Shadows ""Wolven Mysteries of Ancient Lore"" Test Press LP | Vinyl",Ancestral Shadows,Wolven Mysteries of Ancient Lore,Vinyl,
"Ancient ""The Cainian Chronicle"" Double LP | Vinyl",Ancient,The Cainian Chronicle,Vinyl,
"Ancient Burial ""Beyond The Watchtowers"" LP | Vinyl",Ancient Burial,Beyond The Watchtowers,Vinyl,
"Ancient Guard ""Nightfall Enthroned"" LP | Vinyl",Ancient Guard,Nightfall Enthroned,Vinyl,
"Ancient Necromancy ""Diabolical Forest Alchemy"" LP | Vinyl",Ancient Necromancy,Diabolical Forest Alchemy,Vinyl,
"Ancient Stone ""Feed on the Dead"" LP | Vinyl",Ancient Stone,Feed on the Dead,Vinyl,
"Ancient Wisdom ""For Snow Covered The Northland"" LP | Vinyl",Ancient Wisdom,For Snow Covered The Northland,Vinyl,
"Andhord ""Pleroma of Uncreation"" LP | Vinyl",Andhord,Pleroma of Uncreation,Vinyl,
Angel Death “Memoirs of death: the history 1986-1995” Double LP | Vinyl,Angel Death,Memoirs of death: the history 1986-1995,Vinyl,
"Angelcorpse ""Exterminate"" LP | Vinyl",Angelcorpse,Exterminate,Vinyl,
"Angelcorpse ""Of Lucifer And Lightning"" LP | Vinyl",Angelcorpse,Of Lucifer And Lightning,Vinyl,
"Angelcorpse ""The Inexorable"" LP | Vinyl",Angelcorpse,The Inexorable,Vinyl,
"Angra Mainyu ""Die kalte Dunkelheit"" LP | Vinyl",Angra Mainyu,Die kalte Dunkelheit,Vinyl,
"Angrenost ""Nox et Hiems"" Double LP (Altare) | Vinyl",Angrenost,Nox et Hiems,Vinyl,
"Angstloch ""The Shades of Pale Night"" LP | Vinyl",ANGSTLOCH,The Shades of Pale Night,Vinyl,
"ANGUISH ""Under The Influence"" LP | Vinyl",ANGUISH,Under The Influence,Vinyl,
"Anialator ""Anialator"" Picture LP (Wild Rags 1989) | Vinyl",Anialator,Anialator,Vinyl,
"Annihilatus ""Blood and War"" LP | Vinyl",Annihilatus,Blood and War,Vinyl,
"Antaeus / Aosoth ""Wrath Of The Evangelikum"" Double LP | Vinyl",Antaeus / Aosoth,Wrath Of The Evangelikum,Vinyl,
"Antediluvian ""Logos"" LP | Vinyl",Antediluvian,Logos,Vinyl,
"Antediluvian ""Logos"" Test Press Blue Vinyl LP | Vinyl",Antediluvian,Logos,Vinyl,
"Antediluvian ""The Divine Punishment"" Test Press Double LP | Vinyl",Antediluvian,The Divine Punishment,Vinyl,
"Änterbila ""Änterbila"" LP | Vinyl",Änterbila,Änterbila,Vinyl,
"Anthropophagous ""Abuse of a Corpse"" LP | Vinyl",Anthropophagous,Abuse of a Corpse,Vinyl,
"Anthropophagous ""Death Fugue"" LP | Vinyl",Anthropophagous,Death Fugue,Vinyl,
"Anti-Cimex ""The Complete Demos Collection 1982 - 1983"" LP | Vinyl",Anti-Cimex,The Complete Demos Collection 1982 - 1983,Vinyl,
"Antidote ""Thou Shalt Not Kill"" LP (NYHC Classic!) | Vinyl",Antidote,Thou Shalt Not Kill,Vinyl,
"Antigama ""Stop the Chaos"" Red Vinyl LP | Vinyl",Antigama,Stop the Chaos,Vinyl,
"Antiversum ""Cosmos Comedenti"" LP | Vinyl",Antiversum,Cosmos Comedenti,Vinyl,
"Anton Lavey ""The Devil Speaks (and Plays!)"" LP | Vinyl",Anton Lavey,The Devil Speaks (and Plays!),Vinyl,
"Anubis ""A Halál Oldalán"" LP | Vinyl",Anubis,A Halál Oldalán,Vinyl,
"Anwyl ""Postmortem Apocalypse"" LP | Vinyl",Anwyl,Postmortem Apocalypse,Vinyl,
"Apochryphal Revelation ""Reverence for the Kings of Hell"" LP | Vinyl",Apochryphal Revelation,Reverence for the Kings of Hell,Vinyl,
"Apogeion ""Astrolatria I: Initiatio."" LP | Vinyl",Apogeion,Astrolatria I: Initiatio.,Vinyl,
"Apparitional Glare ""Black Candle Negativity"" LP | Vinyl",Apparitional Glare,Black Candle Negativity,Vinyl,
"Apraxic ""Edge of Human"" LP | Vinyl",Apraxic,Edge of Human,Vinyl,
"Ara ""Blutroter Mond"" LP | Vinyl",Ara,Blutroter Mond,Vinyl,
"Ara Solis ""Ashvattha"" LP | Vinyl",Ara Solis,Ashvattha,Vinyl,
"Årabrot ""Revenge"" Double LP | Vinyl",Årabrot,Revenge,Vinyl,
Arcane Shadows “From the Dungeons” LP | Vinyl,Arcane Shadows,From the Dungeons,Vinyl,
"Arcane Sun ""Arcane Sun"" LP (Cult Irish Death Doom 1998) | Vinyl",Arcane Sun,Arcane Sun,Vinyl,
"Archaic Thorn ""Eradication"" LP | Vinyl",Archaic Thorn,Eradication,Vinyl,
"Archaist ""Cosmogonic Eyes"" Digipak CD | Vinyl",Archaist,Cosmogonic Eyes,Vinyl,
"Archaist ""Cosmogonic Eyes"" LP | Vinyl",Archaist,Cosmogonic Eyes,Vinyl,
"Arckanum ""Antikosmos"" Picture LP | Vinyl",Arckanum,Antikosmos,Vinyl,
"Arckanum ""Den förstfödde"" LP | Vinyl",Arckanum,Den förstfödde,Vinyl,
"Arckanum ""Kampen"" Double LP | Vinyl",Arckanum,Kampen,Vinyl,
"Arckanum ""PPPPPPPPPPP"" Picture LP | Vinyl",Arckanum,PPPPPPPPPPP,Vinyl,
"Arditi ""Emblem Of Victory"" LP | Vinyl",Arditi,Emblem Of Victory,Vinyl,
"Ares Kingdom ""In Darkness at Last"" LP | Vinyl",Ares Kingdom,In Darkness at Last,Vinyl,
"Aria ""Hero of a Speedway Герой Асфальта"" LP (1988 Cult USSR HM) | Vinyl",Aria,Hero of a Speedway Герой Асфальта,Vinyl,
"Arjen ""Kad Se Slika Iskrivi Dovoljno"" LP | Vinyl",Arjen,Kad Se Slika Iskrivi Dovoljno,Vinyl,
"Arjen ""Lice čovjeka Koji je Rekao Ne"" LP | Vinyl",Arjen,Lice čovjeka koji je rekao Ne,Vinyl,
"Arkhaaik ""*dʰg̑ʰm̥tós"" LP | Vinyl",Arkhaaik,*dʰg̑ʰm̥tós,Vinyl,
"Arkhon Infaustus ""In Sperma Infernum"" LP | Vinyl",Arkhon Infaustus,In Sperma Infernum,Vinyl,
"Arkhtinn ""三度目の災害"" LP | Vinyl",Arkhtinn,三度目の災害,Vinyl,
"Arkona ""An Eternal Curse of the Pagan Godz"" LP | Vinyl",Arkona,An Eternal Curse of the Pagan Godz,Vinyl,
"Armagedda ""Only True Believers"" LP | Vinyl",Armagedda,Only True Believers,Vinyl,
"Armagedda ""Svindeldjup Ättestup"" LP | Vinyl",Armagedda,Svindeldjup Ättestup,Vinyl,
"Armagh ""Serpent Storm"" LP | Vinyl",Armagh,Serpent Storm,Vinyl,
"Armnatt ""Eternal Flame"" LP | Vinyl",Armnatt,Eternal Flame,Vinyl,
"Armnatt ""Immortal Nature"" LP | Vinyl",Armnatt,Immortal Nature,Vinyl,
"Armory ""Mercurion"" LP | Vinyl",Armory,Mercurion,Vinyl,
"Arpia ""De Lusioni"" Double LP (Italian Heavy Metal Doom 1987) | Vinyl",Arpia,De Lusioni,Vinyl,
"Ars Hmu ""The Dawn Of Black Pansophy"" LP | Vinyl",Ars Hmu,The Dawn Of Black Pansophy,Vinyl,
"Arsantiqva ""Scavengers"" LP | Vinyl",Arsantiqva,Scavengers,Vinyl,
"ArsGoatia ""Hiding Amongst Humans"" Red Smoke Vinyl LP | Vinyl",ArsGoatia,Hiding Amongst Humans,Vinyl,
"Arstidir Lifsins ""Saga a Tveim Tungum I: Vapn ok Vidr"" Double LP | Vinyl",Arstidir Lifsins,Saga a Tveim Tungum I: Vapn ok Vidr,Vinyl,
"Arstidir Lifsins ""Saga á Tveim Tungum II: Eigi Fjoll né Firðir"" Double LP | Vinyl",Arstidir Lifsins,Saga á Tveim Tungum II: Eigi Fjoll né Firðir,Vinyl,
"Arthuros ""Ithildin"" LP | Vinyl",Arthuros,Ithildin,Vinyl,
"Arvalastra ""Meditation on the Lunar Steppes"" LP | Vinyl",Arvalastra,Meditation on the Lunar Steppes,Vinyl,
"Ascended Dead ""Arcane Malevolence"" LP | Vinyl",Ascended Dead,Arcane Malevolence,Vinyl,
"Ascendency ""A Manifest of Imperious Destiny"" LP | Vinyl",Ascendency,A Manifest of Imperious Destiny,Vinyl,
"Ascendency ""Birth of an Eternal Empire"" LP | Vinyl",Ascendency,Birth of an Eternal Empire,Vinyl,
"Ascension ""Consolamentum"" White Vinyl LP | Vinyl",Ascension,Consolamentum,Vinyl,
"Ascension ""Fire and Faith"" MLP | Vinyl",Ascension,Fire and Faith,Vinyl,
"Aske ""Goatfuck / Saatan Legio"" LP | Vinyl",Aske,Goatfuck / Saatan Legio,Vinyl,
"Askeregn ""Brennende Åkres Grøde"" LP | Vinyl",Askeregn,Brennende Åkres Grøde,Vinyl,
"Asocial / Bedrövlers ""How Could Hardcore Be Any Worse"" Split LP | Vinyl",Asocial / Bedrövlers,How Could Hardcore Be Any Worse,Vinyl,
"Asphyx ""Abomination Echoes"" 3 x LP Boxset (All Demos + Rare) | Vinyl",Asphyx,Abomination Echoes,Vinyl,
"Asphyx ""Death...The Brutal Way"" LP | Vinyl",Asphyx,Death...The Brutal Way,Vinyl,
"Asphyx ""God Cries"" LP | Vinyl",Asphyx,God Cries,Vinyl,
"Asphyx ""Necroceros"" LP | Vinyl",Asphyx,Necroceros,Vinyl,
"Asphyx ""On The Wings Of Inferno"" LP | Vinyl",Asphyx,On The Wings Of Inferno,Vinyl,
"Aspid ""Effusion of Blood"" LP | Vinyl",Aspid,Effusion of Blood,Vinyl,
"Assassination ""Red Magick Faction"" LP | Vinyl",Assassination,Red Magick Faction,Vinyl,
"Assembly at Dusk ""Assembly at Dusk"" LP | Vinyl",Assembly at Dusk,Assembly at Dusk,Vinyl,
"Astarte ""Rise from Within"" LP | Vinyl",Astarte,Rise from Within,Vinyl,
"Astral Sacrifice To Ganymede ""Scattered Celestial Remains"" LP | Vinyl",Astral Sacrifice To Ganymede,Scattered Celestial Remains,Vinyl,
"Astral Tomb ""Soulgazer"" LP | Vinyl",Astral Tomb,Soulgazer,Vinyl,
"At The Gates ""The Nightmare Of Being"" DLP + 3CD Boxset | Vinyl",At The Gates,The Nightmare Of Being,Vinyl,
"At The Gates ""To Drink From The Night Itself"" Red Vinyl LP | Vinyl",At The Gates,To Drink From The Night Itself,Vinyl,
"Ataraxy ""The Last Mirror"" LP | Vinyl",Ataraxy,The Last Mirror,Vinyl,
"Athothep ""MCMXCII – MCMXCVI"" LP | Vinyl",Athothep,MCMXCII – MCMXCVI,Vinyl,
"Atlain ""G.O.E."" LP | Vinyl",Atlain,G.O.E.,Vinyl,
"Atman ""L' Assassi de Venus"" LP | Vinyl",Atman,L' Assassi de Venus,Vinyl,
"Atomicide ""Atomic Genocide"" LP | Vinyl",Atomicide,Atomic Genocide,Vinyl,
"Atonement ""Merciless Blasphemy"" LP | Vinyl",Atonement,Merciless Blasphemy,Vinyl,
"Atonement ""Muerte, Perdición, Destrucción y Dolor"" MLP | Vinyl",Atonement,"Muerte, Perdición, Destrucción y Dolor",Vinyl,
"Atra ""Death Coven"" LP | Vinyl",Atra,Death Coven,Vinyl,
"Atra ""Of Demise, Evil & Necromancy"" Double LP | Vinyl",Atra,"Of Demise, Evil & Necromancy",Vinyl,
"Atrament ""Scum Sect"" LP | Vinyl",Atrament,Scum Sect,Vinyl,
"Atrocity ""To Be... Or Not To Be Demo 1989"" LP + Booklet | Vinyl",Atrocity,To Be... Or Not To Be Demo 1989,Vinyl,
Atrofia Cerebral “Matanza Extrema” LP | Vinyl,Atrofia Cerebral,Matanza Extrema,Vinyl,
"Audiopain ""1986"" LP | Vinyl",Audiopain,1986,Vinyl,
"Audiopain ""Contagious"" LP | Vinyl",Audiopain,Contagious,Vinyl,
"Audiopain ""Revel In Desecration"" LP | Vinyl",Audiopain,Revel In Desecration,Vinyl,
"Audiopain ""The Switch To Turn Off Mankind"" LP | Vinyl",Audiopain,The Switch To Turn Off Mankind,Vinyl,
"Audiopain ""The Traumatizer"" LP | Vinyl",Audiopain,The Traumatizer,Vinyl,
"Aura Noir ""Deep Tracts Of Hell"" LP | Vinyl",Aura Noir,Deep Tracts Of Hell,Vinyl,
"Aussichtslos ""Völlig Aussichtslos"" LP | Vinyl",Aussichtslos,Völlig Aussichtslos,Vinyl,
Autarkia “Gobiernate a Ti Mismo” LP | Vinyl,Autarkia,Gobiernate a Ti Mismo,Vinyl,
"Autokrator ""The Obedience to Authority"" LP | Vinyl",Autokrator,The Obedience to Authority,Vinyl,
"Autophagy ""Bacteriophage"" LP | Vinyl",Autophagy,Bacteriophage,Vinyl,
"Autopsy ""Fiend for Blood"" MLP | Vinyl",Autopsy,Fiend for Blood,Vinyl,
"Auxilio ""Tormenta"" LP | Vinyl",Auxilio,Tormenta,Vinyl,
"Avatar ""Emperors Of The Night"" LP | Vinyl",Avatar,Emperors Of The Night,Vinyl,
"Avzhia ""Immense Dark Sky"" LP | Vinyl",Avzhia,Immense Dark Sky,Vinyl,
"Awaketh ""Awaketh"" LP | Vinyl",Awaketh,Awaketh,Vinyl,
"Azaghal ""Alttarini on Luista Tehty"" LP | Vinyl",Azaghal,Alttarini on Luista Tehty,Vinyl,
"Azathoth's Dream ""Nocturnal Vampyric Bewitchment"" LP | Vinyl",Azathoth's Dream,Nocturnal Vampyric Bewitchment,Vinyl,
"Azazel ""Crucify The Jesus Christ Again"" LP | Vinyl",Azazel,Crucify The Jesus Christ Again,Vinyl,
"Azelisassath ""Total Desecration of Existence"" LP | Vinyl",Azelisassath,Total Desecration of Existence,Vinyl,
"Azelsgard ""Under The Sign Of The Black Wolf"" LP | Vinyl",Azelsgard,Under the Sign of the Black Wolf,Vinyl,
"Azketem ""Azetik"" LP | Vinyl",Azketem,Azetik,Vinyl,
"Azothyst ""Blood of Dead God"" LP (Members of Adversarial, Nuclearhammer, Sortilegia) | Vinyl",Azothyst,Blood of Dead God,Vinyl,
"Bahratal ""Kladivo Intolerance"" LP | Vinyl",Bahratal,Kladivo Intolerance,Vinyl,
"Baise Ma Hache ""Ab Origine Fidelis"" LP | Vinyl",Baise Ma Hache,Ab Origine Fidelis,Vinyl,
"Baise Ma Hache ""F.E.R.T"" LP | Vinyl",Baise Ma Hache,F.E.R.T,Vinyl,
"Baise Ma Hache ""Le Grand Suicide"" LP | Vinyl",Baise Ma Hache,Le Grand Suicide,Vinyl,
"Bal-Sagoth ""The Chthonic Chronicles"" Double LP | Vinyl",Bal-Sagoth,The Chthonic Chronicles,Vinyl,
"Balmog ""Eve"" LP | Vinyl",Balmog,Eve,Vinyl,
"Balmog ""Pillars Of Salt"" LP | Vinyl",Balmog,Pillars Of Salt,Vinyl,
"Bang ""Music"" LP + Promo Pack (OG Press) | Vinyl",Bang,Music,Vinyl,
"Banished From Inferno ""Minotaur"" LP | Vinyl",Banished From Inferno,Minotaur,Vinyl,
"Baphorator ""I​.​B​.​L​.​I​.​S."" LP | Vinyl",Baphorator,I​.​B​.​L​.​I​.​S.,Vinyl,
"Barathrum ""Demo(no)s"" 3 x LP | Vinyl",Barathrum,Demo(no)s,Vinyl,
"Barathrum ""Devilry"" Picture LP | Vinyl",Barathrum,Devilry,Vinyl,
"Barathrum ""Hailstorm"" Double LP | Vinyl",Barathrum,Hailstorm,Vinyl,
"Barathrum ""Hailstorm"" Test Press Double LP | Vinyl",Barathrum,Hailstorm,Vinyl,
Barathrum “Eerie” Double LP | Vinyl,Barathrum,Eerie,Vinyl,
"Barbarian ""Live At Thrash Nightmare Vol. 9"" LP | Vinyl",Barbarian,Live At Thrash Nightmare Vol. 9,Vinyl,
"Bastard Grave ""Diorama Of Human Suffering"" LP | Vinyl",Bastard Grave,Diorama Of Human Suffering,Vinyl,
"Bastard Grave ""Vortex of Disgust"" LP | Vinyl",Bastard Grave,Vortex of Disgust,Vinyl,
"Bastard Priest ""Ghouls Of The Endless Night"" LP | Vinyl",Bastard Priest,Ghouls Of The Endless Night,Vinyl,
"Bastard Priest ""Under the Hammer of Destruction"" LP | Vinyl",Bastard Priest,Under the Hammer of Destruction,Vinyl,
"Bathory ""Jubileum Volume I"" Double LP (Official Pressing) | Vinyl",Bathory,Jubileum Volume I,Vinyl,
"Bathory ""Jubileum Volume II"" Double LP (Official Pressing) | Vinyl",Bathory,Jubileum Volume II,Vinyl,
"Bathory ""Jubileum Volume III"" Double LP (Official Pressing) | Vinyl",Bathory,Jubileum Volume III,Vinyl,
"Bathory ""The Return..."" LP (Official Pressing) | Vinyl",Bathory,The Return...,Vinyl,
