description,artist,album,format,extra
"ASTRAL SPECTRE ""Ars Notoria"" CD (digipak)",ASTRAL SPECTRE,Ars Notoria,CD,(digipak)
"[SOLD OUT] DIM ""Steeped Sky, Stained Light"" CD",Dim,"Steeped Sky, Stained Light",CD,
"WOE BATHER ""Oh Achlys Please Love Me Once More"" Vinyl LP (2 color options)",WOE BATHER,Oh Achlys Please Love Me Once More,Vinyl,(2 color options)
"GATES OF DAWN ""II"" CD (digipak)",Gates of Dawn,II,CD,(digipak)
"GATES OF DAWN ""I"" CD (digipak)",Gates of Dawn,I,CD,(digipak)
"[SOLD OUT] SOLAR CROSS ""To The Ever Gleaming Pinnacle of Timeless Mastery"" vinyl LP (color)",Solar Cross,To The Ever Gleaming Pinnacle Of Timeless Mastery,Vinyl,(color)
"CHAUCERIAN MYTH ""The Canterbury Tales"" Deluxe 4xTape Set (library album case, patch, booklet, sticker, certificate)",CHAUCERIAN MYTH,The Canterbury Tales,Cassette,"(library album case, patch, booklet, sticker, certificate)"
"CORVUS NEBLUS ""Strahd's Possession"" Deluxe 2xTape Set (foil stamped box, patch, poster)",CORVUS NEBLUS,Strahd's Possession,Cassette,"(foil stamped box, patch, poster)"
"PUTRID MARSH ""Hymns of Despair"" cassette tape (oversized album case, 2.25"" badge, lim.250)",Putrid Marsh,Hymns of Despair,Cassette,"(oversized album case, 2.25"" badge, lim.250)"
"[SOLD OUT] KATAKLYSM ""Sorcery & the Mystical Gate... / Temple of Knowledge"" 2xCD (fat double cd jewel box)",Kataklysm,Sorcery & the Mystical Gate... / Temple of Knowledge,CD,(fat double cd jewel box)
"BATHORY ""Nordland I-II"" vinyl 2xLP (double LP, gatefold)",Bathory,Nordland I-II,Vinyl,"(double LP, gatefold)"
"GRIM REAPER ""The Grimm Chronicles 1983-1987"" 3xCD [triple CD jewel case]",GRIM REAPER,The Grimm Chronicles 1983-1987,CD,[triple CD jewel case]
"SISTERS OF MERCY ""Original Album Series"" 5xCD set (slipcase)",SISTERS OF MERCY,Original Album Series,CD,(slipcase)
"VISIGOTH ""Conqueror's Oath"" vinyl LP (gatefold w/ giant poster)",VISIGOTH,Conqueror's Oath,Vinyl,(gatefold w/ giant poster)
"DEPARTURE CHANDELIER ""Satan Soldier of Fortune"" CD",Departure Chandelier,Satan Soldier of Fortune,CD,
"BYZANTIUM ""A Seamless Robe"" CD (digipak)",BYZANTIUM,A Seamless Robe,CD,(digipak)
"DIMINISHING SPIRIT ""Surpassing the Barrier of Burning Infinity"" vinyl LP (two color options) [KLANEN]",DIMINISHING SPIRIT,Surpassing the Barrier of Burning Infinity,Vinyl,(two color options) [KLANEN]
"[SOLD OUT] BYZANTIUM ""A Seamless Robe"" vinyl LP (two color options)",BYZANTIUM,A Seamless Robe,Vinyl,(two color options)
"MUMMELRATZ ""Kindermord im Zauberwald"" vinyl LP (180g, obi)",Mummelratz,Kindermord Im Zauberwald,Vinyl,"(180g, obi)"
"THULCANDRA ""Hail the Abyss""  vinyl LP (gatefold)",Thulcandra,Hail The Abyss,Vinyl,(gatefold)
"[SOLD OUT] MIAMI NIGHTS '84 ""Early Summer"" vinyl LP (color, 180g, die cut jacket)",MIAMI NIGHTS '84,Early Summer,Vinyl,"(color, 180g, die cut jacket)"
"VANDALORUM ""Maewyn"" Vinyl LP (lim. 125)",Vandalorum,Maewyn,Vinyl,(lim. 125)
"DEORC WEG ""The Chateau of Unrest"" Vinyl LP (lim. 125)",DEORC WEG,The Chateau of Unrest,Vinyl,(lim. 125)
"SERPENT'S ISLE ""Herald of the Cyan Sea"" vinyl LP (lim.100 w/ insert)",Serpent's Isle,Herald of the Cyan Sea,Vinyl,(lim.100 w/ insert)
"TALES UNDER THE OAK ""The Toad King"" vinyl LP (180g color, poster, booklet)",TALES UNDER THE OAK,The Toad King,Vinyl,"(180g color, poster, booklet)"
"MORTIIS ""Født til å Herske"" vinyl LP (gatefold w/ gold print + poster - BROWN/MUSTARD / 300)",Mortiis,Født til å Herske,Vinyl,(gatefold w/ gold print + poster - BROWN/MUSTARD / 300)
"HILLSFAR ""Flames on the Moonsea"" CD (w/ slipcase, lim.250)",Hillsfar,Flames on the Moonsea,CD,"(w/ slipcase, lim.250)"
"[SOLD OUT] CELESTIAL SWORD ""Nocturnal Divinity"" CD (digipak, lim.200)",Celestial Sword,Nocturnal Divinity,CD,"(digipak, lim.200)"
"[SOLD OUT] QUEST MASTER ""LSODR Bonus Tracks"" vinyl 7"" EP (lim.330)",Quest Master,LSODR Bonus Tracks,Vinyl,(lim.330)
"FROSTGARD ""The Last Letter of Winter"" vinyl LP (w/ insert, lim.200)",FROSTGARD,The Last Letter of Winter,Vinyl,"(w/ insert, lim.200)"
"L.O.T.I.O.N. Multinational Corporation ""B.E.S.T. OF 2013-2024"" CD (w/ OBI, lim.300)",L.O.T.I.O.N. Multinational Corporation,B.E.S.T. OF 2013-2024,CD,"(w/ OBI, lim.300)"
"GHOËST ""The Sad Spirit"" vinyl LP (lim.300 w/ insert)",GHOËST,The Sad Spirit,Vinyl,(lim.300 w/ insert)
"ERRETH-AKBE ""A Lantern Swathed"" vinyl LP (orange, lim.300)",ERRETH-AKBE,A Lantern Swathed,Vinyl,"(orange, lim.300)"
"AN OLD SAD GHOST ""s/t"" vinyl LP (clear, lim.300 w/insert)",AN OLD SAD GHOST,s/t,Vinyl,"(clear, lim.300 w/insert)"
"TINY MOUSE ""A Ragtime Dream"" Vinyl LP (2 color options)",TINY MOUSE,A Ragtime Dream,Vinyl,(2 color options)
"MUSHROOM VILLAGE ""Mushroom Wonderland"" Vinyl LP (2 color options)",MUSHROOM VILLAGE,Mushroom Wonderland,Vinyl,(2 color options)
"VICTORIAN SPECTER ""The Sower in Open Fields"" Vinyl LP (2 color options)",VICTORIAN SPECTER,The Sower in Open Fields,Vinyl,(2 color options)
"[SOLD OUT] AURA MERLIN ""Illuminations"" vinyl LP (color)",AURA MERLIN,Illuminations,Vinyl,(color)
"HVERGELMIR ""Urskog"" vinyl LP (lim.100 w/insert) [Ornatorpet]",Hvergelmir,Urskog,Vinyl,(lim.100 w/insert) [Ornatorpet]
"HVERGELMIR ""Och Allt Blir Återfött"" vinyl LP (lim.100 w/insert) [Ornatorpet]",Hvergelmir,Och Allt Blir Återfött,Vinyl,(lim.100 w/insert) [Ornatorpet]
"[SOLD OUT] KOBOLD ""The Curse of the Ancient Abbey"" vinyl LP (w/OBI & RPG Module!)",KOBOLD,The Curse of the Ancient Abbey,Vinyl,(w/OBI & RPG Module!)
"[SOLD OUT] BASIC DUNGEON ""Tunnels & Treasures"" CD (w/ 20 page booklet)",BASIC DUNGEON,Tunnels & Treasures,CD,(w/ 20 page booklet)
"[SOLD OUT] WRAITH KNIGHT ""Deep in the Dungeons of the Dragonlord"" CD (lim.300)",WRAITH KNIGHT,Deep in the Dungeons of the Dragonlord,CD,(lim.300)
"[SOLD OUT] LAMP OF MURMUUR ""Melancholy Howls In Ceremonial Penitence"" vinyl LP",Lamp of Murmuur,Melancholy Howls in Ceremonial Penitence,Vinyl,
"[SOLD OUT] LAMP OF MURMUUR ""Heir of Ecliptical Romanticism"" vinyl LP",Lamp of Murmuur,Heir Of Ecliptical Romanticism,Vinyl,
"SILENT THUNDER ""Thousand Hammers"" vinyl LP [Lamp of Murmuur]",Silent Thunder,Thousand Hammers,Vinyl,[Lamp of Murmuur]
"[SOLD OUT] LAMP OF MURMUUR ""Saturnian Bloodstorm"" vinyl LP",Lamp of Murmuur,Saturnian Bloodstorm,Vinyl,
"CURTA'N WALL ""Siege Ubsessed"" vinyl LP (3 color options, 180g)",CURTA'N WALL,Siege Ubsessed,Vinyl,"(3 color options, 180g)"
"MYSTIKA SKOGEN ""Mystika Skogen"" Vinyl LP (lim.200)",MYSTIKA SKOGEN,Mystika Skogen,Vinyl,(lim.200)
"ULK ""This Divine Shelter"" Vinyl LP (lim.200)",ULK,This Divine Shelter,Vinyl,(lim.200)
"BRONZEN OATH ""Eulogy For A Noble Age"" Vinyl LP (lim.200)",BRONZEN OATH,Eulogy For A Noble Age,Vinyl,(lim.200)
"[SOLD OUT] EARTHLY FORM ""The Sufferings of the Universe"" Vinyl LP",Earthly Form,The Sufferings of the Universe,Vinyl,
"[SOLD OUT] MYCORRHIZAE ""The Great Filtration"" Vinyl LP",Mycorrhizae,The Great Filtration,Vinyl,
"[SOLD OUT] PIYAKDU ""Vissiones Ov Naeku..."" Cassette Tape",PIYAKDU,Vissiones Ov Naeku...,Cassette,
"[SOLD OUT] WITCH'S AMULET ""Tome of Infinite Splendour"" Cassette Tape",WITCH'S AMULET,Tome of Infinite Splendour,Cassette,
"[SOLD OUT] YSBRYDNOS/SOURCERIOR ""Exorcism by Knife"" Split Cassette Tape",YSBRYDNOS/SOURCERIOR,Exorcism by Knife,Cassette,
"[SOLD OUT] BAERDCYN ""The Ways of The Wizard"" Cassette Tape",BAERDCYN,The Ways of The Wizard,Cassette,
"[SOLD OUT] NATHAIR ""Gilera"" Cassette Tape",NATHAIR,Gilera,Cassette,
"[SOLD OUT] CURTA'N WALL ""Siege Ubsessed!"" Cassette Tape (reissue)",CURTA'N WALL,Siege Ubsessed!,Cassette,(reissue)
"MYCOLOGIA ""Assorted Mushrooms of New England Vol.2"" vinyl LP",MYCOLOGIA,Assorted Mushrooms of New England Vol.2,Vinyl,
"MYCOLOGIA ""Assorted Mushrooms of New England Vol.1"" vinyl LP (2 options)",MYCOLOGIA,Assorted Mushrooms of New England Vol.1,Vinyl,(2 options)
"FETH ""Mot"" vinyl LP (2 options)",FETH,Mot,Vinyl,(2 options)
"SPIFE ""Songs About Fyelings"" vinyl LP (2 options)",SPIFE,Songs About Fyelings,Vinyl,(2 options)
"COMFY WIZARD ""Wizards, Gnomes, Elves & Tombs"" vinyl LP (w/ OBI)",COMFY WIZARD,"Wizards, Gnomes, Elves & Tombs",Vinyl,(w/ OBI)
"[SOLD OUT] CURTA'N WALL ""Siege Ubsessed!"" CD [DVD case]",CURTA'N WALL,Siege Ubsessed!,CD,[DVD case]
"[SOLD OUT] SECRET STAIRWAYS ""Secret Stairways"" 2xCD (double CD digipak, lim.200)",SECRET STAIRWAYS,Secret Stairways,CD,"(double CD digipak, lim.200)"
"[SOLD OUT] DIM ""Compendium Collection"" 2xCD (double CD jewel case, lim.250)",Dim,Compendium Collection,CD,"(double CD jewel case, lim.250)"
"GRYMMSTALT ""Anthems of Mournful Despondency"" Vinyl LP (lim.150)",GRYMMSTALT,Anthems of Mournful Despondency,Vinyl,(lim.150)
"VOËMMR ""Negras Sessões No Abismo Sul"" Vinyl LP (lim.100)",VOËMMR,Negras Sessões No Abismo Sul,Vinyl,(lim.100)
"TRUE IRON WILL ""True Iron Will"" CD",True Iron Will,True Iron Will,CD,
"VINDALF ""Legion of Spectral Blood"" CD",Vindalf,Legion of Spectral Blood,CD,
"[SOLD OUT] BURIAL MOON ""Burial Moon"" Vinyl LP (lim.100)",Burial Moon,Burial Moon,Vinyl,(lim.100)
"GINNUNGAGAP ""Heliacal Arising"" CD",GINNUNGAGAP,Heliacal Arising,CD,
"HOLLOW WOODS ""Like Twisted Bones of Fallen Giants"" CD",Hollow Woods,Like Twisted Bones of Fallen Giants,CD,
"OSCUROS INFERNAL ""Místicos Portales Astrales"" CD (lim.200)",OSCUROS INFERNAL,Místicos Portales Astrales,CD,(lim.200)
"VOËMMR ""Negras Sessões No Abismo Sul"" CD (lim.200)",VOËMMR,Negras Sessões No Abismo Sul,CD,(lim.200)
"NÄCHTLICH ""Howling Depths Rehearsal"" CD (lim.200)",NÄCHTLICH,Howling Depths Rehearsal,CD,(lim.200)
"[SOLD OUT] SUMMONING ""Stronghold"" vinyl 2xLP (Double LP Gatefold)",SUMMONING,Stronghold,Vinyl,(Double LP Gatefold)
"[SOLD OUT] SATYRICON ""Dark Medieval Times"" Vinyl 2xLP (double LP gatefold)",Satyricon,Dark Medieval Times,Vinyl,(double LP gatefold)
"WARLOCK CORPSE ""Cosmic Spell"" CD [w/ OBI, lim.50]",Warlock Corpse,Cosmic Spell,CD,"[w/ OBI, lim.50]"
"WARLOCK CORPSE ""Leaving This Rotten World"" CD (lim.50)",Warlock Corpse,Leaving this Rotten World,CD,(lim.50)
"MORTIIS ""Crypt of the Wizard (Live)"" Deluxe 2xLP vinyl (gatefold, gold print, screenprint D-side, poster)",Mortiis,Crypt of the Wizard (Live),Vinyl,"(gatefold, gold print, screenprint D-side, poster)"
"MORTIIS ""Crypt of the Wizard (Live)"" CD (jewel case w/ gold print)",Mortiis,Crypt of the Wizard (Live),CD,(jewel case w/ gold print)
"[SOLD OUT] MIDORAN ""Symphonic Ritual of Mysterious Times"" vinyl LP (color)",Midoran,Symphonic Ritual of Mysterious Times,Vinyl,(color)
"VANHELLIG ""The Ghost in the Spire"" CD [digipak]",VANHELLIG,The Ghost in the Spire,CD,[digipak]
"HOLE DWELLER ""With Dreams of Hereafter"" Vinyl LP (color, 180g, lim.200)",Hole Dweller,With Dreams of Hereafter,Vinyl,"(color, 180g, lim.200)"
"[SOLD OUT] WINDOWS96 ""Enchanted Instrumentals And Whispers"" vinyl LP (color) [lim.800]",WINDOWS96,Enchanted Instrumentals And Whispers,Vinyl,(color) [lim.800]
"FAIDRA ""Militant : Penitent : Triumphant"" CD (digipak, lim.999)",Faidra,Militant : Penitent : Triumphant,CD,"(digipak, lim.999)"
"DEPRESSIVE SILENCE ""II: The Darkened Empires"" CD (digipak, lim.500)",Depressive Silence,II: The Darkened Empires,CD,"(digipak, lim.500)"
"[SOLD OUT] DEPRESSIVE SILENCE ""I"" CD (digipak, lim.500)",Depressive Silence,I,CD,"(digipak, lim.500)"
"[SOLD OUT] EQUIP ""I Dreamed Of A Palace In The Sky"" vinyl 2xLP (color, double LP gatefold)",EQUIP,I Dreamed Of A Palace In The Sky,Vinyl,"(color, double LP gatefold)"
"[SOLD OUT] FM SKYLINE ""Deluxe Memory Suite™"" vinyl LP (color) [lim.500]",FM SKYLINE,Deluxe Memory Suite™,Vinyl,(color) [lim.500]
"[SOLD OUT] WINDOWS96 ""One Hundred Mornings"" vinyl LP (color)",WINDOWS96,One Hundred Mornings,Vinyl,(color)
"[SOLD OUT] SKRATTE ""Akt II: Des Wolfes Klagen"" Vinyl 2xLP [lim.199] (gatefold, color)",SKRATTE,Akt II: Des Wolfes Klagen,Vinyl,"[lim.199] (gatefold, color)"
"[SOLD OUT] SKRATTE ""Akt I: Ein Feuer entfacht"" Vinyl 2xLP [lim.199] (gatefold, color)",SKRATTE,Akt I: Ein Feuer entfacht,Vinyl,"[lim.199] (gatefold, color)"
"[SOLD OUT] NORNĺR ""Verdandi"" Vinyl LP (color, lim.199)",NORNĺR,Verdandi,Vinyl,"(color, lim.199)"
"[SOLD OUT] DEPRESSIVE SILENCE ""I"" Vinyl LP (grey/black swirl, lim.199)",Depressive Silence,I,Vinyl,"(grey/black swirl, lim.199)"
"[SOLD OUT] EQUIP ""Cursebreaker X"" vinyl LP (color w/ OBI)",EQUIP,Cursebreaker X,Vinyl,(color w/ OBI)
"[SOLD OUT] ESPRIT 空想 ""virtua.zip"" vinyl LP (color)",ESPRIT 空想,virtua.zip,Vinyl,(color)
"OLD NICK ""Witch Lymph / Flying Ointment"" vinyl LP",Old Nick,Witch Lymph / Flying Ointment,Vinyl,
"SATCHEL BEARER ""The Dead Leaves Strew the Forest Walk"" Vinyl LP (color, 180g) [DIM]",SATCHEL BEARER,The Dead Leaves Strew the Forest Walk,Vinyl,"(color, 180g) [DIM]"
"BESPIN MOONS ""A Binding Force"" vinyl LP (color w/ giant poster)",BESPIN MOONS,A Binding Force,Vinyl,(color w/ giant poster)
"CIMERION ""Vers la Montagne Noire"" vinyl LP (yellow/100 or splatter/200 + insert)",Cimerion,Vers la Montagne Noire,Vinyl,(yellow/100 or splatter/200 + insert)
"SERPENT'S ISLE ""Serpent's Isle"" Vinyl 2xLP (Gatefold Double LP, ocean waves/300)",Serpent's Isle,Serpent's Isle,Vinyl,"(Gatefold Double LP, ocean waves/300)"
"ÛKCHEÂNSÂLÂWIT ""Mjijaqamij"" vinyl LP (w/ insert)",ÛKCHEÂNSÂLÂWIT,Mjijaqamij,Vinyl,(w/ insert)
"MIDORAN / COEUR DORE ""Stardust Saga Vol.1"" vinyl LP(2 color options, 180g)",MIDORAN / COEUR DORE,Stardust Saga Vol.1,Vinyl,
"PHANTOM SPIRE ""Formless Wraiths of the Black Ascension"" vinyl LP (lim.300)",PHANTOM SPIRE,Formless Wraiths of the Black Ascension,Vinyl,(lim.300)
"PHANTOM SPIRE ""Black Spells of Heart So Pure"" vinyl LP",PHANTOM SPIRE,Black Spells of Heart So Pure,Vinyl,
"[SOLD OUT] NORNĺR ""Skuld"" Vinyl LP (Gatefold, Color)",NORNĺR,Skuld,Vinyl,"(Gatefold, Color)"
"HERETOIR ""Nightsphere"" CD (digipak)",Heretoir,Nightsphere,CD,(digipak)
"BORÉALYS ""L'héritage"" CD (digipak)",BORÉALYS,L'héritage,CD,(digipak)
"BELENOS ""Yen Sonn Gardis (10 Year Anniversary)"" CD [digipak, lim.500]",BELENOS,Yen Sonn Gardis (10 Year Anniversary),CD,"[digipak, lim.500]"
"[SOLD OUT] IMMORTAL ""The Northern Upir's Death"" CD",Immortal,The Northern Upir's Death,CD,
"EMYN MUIL ""Turin Turambar Dagnir Glaurunga"" Vinyl LP (Color, Gatefold, Poster)",EMYN MUIL,Turin Turambar Dagnir Glaurunga,Vinyl,"(Color, Gatefold, Poster)"
"[SOLD OUT] EMYN MUIL ""10th Anniversary Trilogy Boxset"" Deluxe 4xLP Vinyl Wood Box Set (lim.100, pendant, back patch, flag, etc)",EMYN MUIL,10th Anniversary Trilogy Boxset,Vinyl,"(lim.100, pendant, back patch, flag, etc)"
"ELDAMAR ""Lost Songs from the Ancient Land"" Vinyl LP (2 color options)",Eldamar,Lost Songs from the Ancient Land,Vinyl,(2 color options)
"[SOLD OUT] FAIDRA ""Militant : Penitent : Triumphant"" Vinyl LP (color)",Faidra,Militant : Penitent : Triumphant,Vinyl,(color)
"EMYN MUIL ""Elenion Ancalima"" Vinyl LP (Color, Gatefold, Poster)",EMYN MUIL,Elenion Ancalima,Vinyl,"(Color, Gatefold, Poster)"
"[SOLD OUT] HERETOIR ""Nightsphere"" Vinyl LP (color, lim. 222)",Heretoir,Nightsphere,Vinyl,"(color, lim. 222)"
"[SOLD OUT] CÂN BARDD ""The Last Rain"" Vinyl 2xLP (color, lim. 114)",CÂN BARDD,The Last Rain,Vinyl,"(color, lim. 114)"
"[SOLD OUT] CÂN BARDD ""Nature Stays Silent"" Vinyl 2xLP (color, lim. 111)",CÂN BARDD,Nature Stays Silent,Vinyl,"(color, lim. 111)"
"[SOLD OUT] CALADAN BROOD ""Echoes of Battle"" DELUXE Vinyl 2xLP (color, lim. 300, gatefold, 2 posters, 3 stickers)",Caladan Brood,Echoes Of Battle,Vinyl,"(color, lim. 300, gatefold, 2 posters, 3 stickers)"
"ELFFOR ""Son of the Shades"" CD",Elffor,Son of the Shades,CD,
"[SOLD OUT] WINDIR ""Arntor"" Vinyl 2xLP (gatefold, lim.300)",Windir,Arntor,Vinyl,"(gatefold, lim.300)"
"[SOLD OUT] ALL SOUNDS OF GDLEEN  ""ガデュリン全曲集"" vinyl LP (w/ insert)",ALL SOUNDS OF GDLEEN,ガデュリン全曲集,Vinyl,(w/ insert)
"[SOLD OUT] BELORE ""Artefacts"" CD",Belore,Artefacts,CD,
"ELFFOR ""Unblessed Woods"" CD",Elffor,Unblessed Woods,CD,
"[SOLD OUT] ELFFOR ""From the Throne of Hate"" CD",Elffor,From the Throne of Hate,CD,
"DIES ATER ""Reign of Tempests + Rabenflug"" CD [digipak, lim.500]",DIES ATER,Reign of Tempests + Rabenflug,CD,"[digipak, lim.500]"
"BILWIS ""Pan"" CD (digipak)",BILWIS,Pan,CD,(digipak)
"[SOLD OUT] ELDAMAR ""A Dark Forgotten Past"" CD",Eldamar,A Dark Forgotten Past,CD,
"[SOLD OUT] EMYN MUIL ""Elenion Ancalima"" CD",EMYN MUIL,Elenion Ancalima,CD,
"[SOLD OUT] BELORE ""Journey Through Mountains and Valleys"" CD",Belore,Journey Through Mountains And Valleys,CD,
"ELDAMAR ""The Force of the Ancient Land"" CD",Eldamar,The Force of the Ancient Land,CD,
"MACTÄTUS ""Provenance of Cruelty"" CD [digipak, lim.500]",MACTÄTUS,Provenance Of Cruelty,CD,"[digipak, lim.500]"
"MIDNIGHT BETROTHED ""Bewitched By Destiny's Gaze"" CD [Digipak]",Midnight Betrothed,Bewitched By Destiny's Gaze,CD,[Digipak]
